a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-32533,2021-03-13,2021-05-19,['1'],nettoyage des locaux du bâtiment de bourg en bresse,joue,directive24,appeloffre,initial,SCI DE CHALLES,01000,Bourg en Bresse,,['Nettoyage de locaux'],[239],oui,oui
21-32609,2021-03-13,2021-04-10,['1'],transfert des déchets encombrants ménagers entre le quai de crozet et l'u.v.e. de valserhône,joue,directive24,attribution,initial,Cté d'Agglomération du Pays de Gex,01170,Gex,"[('2021-02-11', 'MAUFFREY RHONE ALPES', (254000, 'EUR'), ""Transfert des déchets encombrants ménagers entre le quai de Crozet et l'U.V.E. de Valserhône"")]",['Transport'],[347],non,non
21-32537,2021-03-13,2021-04-12,['1'],Dépollution du site en vue de la requalification de l'ancien site Pechiney en complexe sportif et récréatif (intégrant un pôle rugby et un pôle tennis) à Valserhône (Ain),joue,directive24,appeloffre,initial,Commune de Valserhone,01206,Valserhône cedex,,['Dépollution'],[442],non,non
21-32457,2021-03-13,2021-06-08,['2'],Acquisition De Sel De Deneigement,joue,directive24,attribution,initial,COMMUNE DE SAINT QUENTIN,02107,Saint-Quentin,"[('2021-03-05', 'Rock', (64588, 'EUR'), 'Sel de déneigement en sac'), ('2021-03-05', 'Maxisalt', (155400, 'EUR'), 'Sel de déneigement en vrac')]",['Sel de déneigement'],[320],non,non
21-32654,2021-03-13,2021-05-14,['4'],Construction D'Un Centre Aqualudique Communautaire,joue,directive24,appeloffre,initial,DURANCE LUBERON VERDON AGGLOMERATION,04100,Manosque,,['Piscine'],[265],oui,non
21-32655,2021-03-13,2021-04-12,['5'],Marché à procédure adaptée - Traitement des gravats de la déchetterie des piles suite à infructueux,joue,directive24,appeloffre,initial,Communauté d'agglomérat. du gapençais,05007,Gap,,['Déchetterie (exploitation)'],[405],non,non
21-32236,2021-03-13,2021-03-26,['6'],Prestation d'entretien et de maintenance d'équipements hôteliers et logistiques,joue,autre,rectificatif,rectificatif,C.H.U. de Nice,06003,Nice cédex 1,,['Prestations de services'],[274],non,non
21-32744,2021-03-13,2021-04-15,['6'],Fourniture et livraison de produits d'entretien,joue,directive24,appeloffre,initial,COMMUNE DE ROQUEBRUNE CAP MARTIN,06190,Roquebrune cap martin,,"[""Produits d'entretien""]",[278],non,non
21-32428,2021-03-13,2021-05-07,['6'],"Vérification, maintenance et dépannage sur les systèmes de sécurité incendie",joue,directive24,attribution,initial,CENTRE COMMUNAL D ACTION SOCIALE,06359,NICE Cedex 4,"[('2020-10-30', 'ELECTRICITE INDUSTRIELLE JP FAUCHE', (60413, 'EUR'), ""Vérification, maintenance et réparation des systèmes de sécurité incendie pour les EHPAD, résidences autonomie et le CHU 'Abbé Pierre'.""), ('2020-10-30', 'ELECTRICITE INDUSTRIELLE JP FAUCHE', (19839, 'EUR'), 'Vérification, maintenance et réparation pour les autres bâtiments et les services du CCAS.')]",['Sécurité incendie'],[332],non,non
21-32558,2021-03-13,2021-05-10,['6'],20V0325 - Location et entretien de WC autonome en bordure de la mer - entretien des douches publiques et vidange de cuves d'eaux usées,joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,"[('2020-12-17', 'SARL CLIMAT', (67026, 'EUR'), ""LOCATION ET ENTRETIEN DE WC AUTONOME EN BORDURE DE LA MER- ENTRETIEN DES DOUCHES PUBLIQUES ET VIDANGE DE CUVES D'EAUX USEES."")]","['Hygiène (articles)', 'Location (matériels)', 'Prestations de services']","[153, 185, 274]",non,non
21-32642,2021-03-13,2021-05-11,['6'],19N0919 - Maintenance de matériel d'imprimerie des Ateliers du Livre,joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,"[('2021-02-22', 'SARL AD2I', (2687, 'EUR'), 'MAINTENANCE DU MASSICOT SCHNEIDER E LINE 92'), ('2021-02-22', 'SARL AD2I', (1286, 'EUR'), 'MAINTENANCE DU MASSICOT IDEAL 4850.95.EP'), ('2021-02-24', 'DMT SOLUTIONS FRANCE SAS', (10590, 'EUR'), 'MAINTENANCE DE LA MACHINE DE MISE SOUS PLIS TECHNOPLI DI4000')]","['Impression', 'Maintenance', ""Matériel d'imprimerie""]","[160, 196, 211]",non,non
21-32385,2021-03-13,2021-04-12,['6'],Fourniture de jouets et de friandises pour Noel pour les enfants du personnel de la Ville de Cannes,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"['Jeux, jouets']",[175],non,non
21-32827,2021-03-13,2021-04-13,['6'],Fourniture de pièces détachées pour machines de plages de marque Kassbohrer,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,['Pièces détachées'],[266],non,non
