a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-50678,2020-04-11,2020-05-15,['2'],ACQUISITION D'EFFETS VESTIMENTAIRES,joue,directive24,attribution,initial,Cté d'Agglo du Saint-Quentinois,02108,SAINT QUENTIN CEDEX,,"['Chaussures ou articles chaussants', 'Habillement']","[79, 150]",non,non
20-50811,2020-04-11,2020-05-14,['3'],Fourniture et transport de liants nécessaires à la réalisation des travaux effectués par les services du Département de l'Allier,joue,directive24,appeloffre,initial,DEPARTEMENT DE L ALLIER,03016,Moulins,,['Matériaux routiers'],[199],non,oui
20-50929,2020-04-11,2020-05-14,['5'],Magazine Départemental Des Hautes-Alpes,joue,directive24,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,Gap,,"['Publicité, Communication']",[285],non,non
20-51064,2020-04-11,2020-05-15,['5'],Fourniture de vêtements de travail et d'équipement de protection individuelle pour le Département des Hautes-Alpes,joue,directive24,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,Gap,,"['Chaussures ou articles chaussants', 'Equipements spécialisés']","[79, 115]",non,non
20-50802,2020-04-11,2020-05-29,['6'],fourniture de trophées et de médailles pour les besoins des services départementaux (rectificatif),joue,autre,rectificatif,rectificatif,Département des Alpes-Maritimes,06201,Nice Cedex 3,,['Produits travail des métaux'],[281],non,non
20-51081,2020-04-11,2020-05-12,['6'],Location pose dépose et maintenance d'éléments décoratifs lumineux,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"['Illumination', 'Prestations de services']","[170, 274]",non,non
20-50744,2020-04-11,2020-06-09,['10'],création de la nouvelle placette palissy à la chapelle saint-luc,joue,directive24,attribution,initial,Troyes Champagne Métropole,10000,Troyes,,['Abris'],[1],non,non
20-50944,2020-04-11,2020-05-28,['12'],fourniture et réparation de signalisation embarquée et remorquée sur véhicules et engins (rectificatif),joue,autre,rectificatif,rectificatif,Conseil Départemental de l AVEYRON,12007,RODEZ cedex,,['Signalisation'],[322],non,non
20-50991,2020-04-11,2020-05-28,['12'],"routes departementales fourniture, transport et pose de signalisation verticale de police et de signalisation temporaire (rectificatif)",joue,autre,rectificatif,rectificatif,Conseil Départemental de l AVEYRON,12450,Flavin,,"['Panneaux', 'Signalisation']","[261, 322]",non,non
20-51026,2020-04-11,2020-05-11,['13'],Fourniture de dispositifs médicaux stériles à usage unique,joue,directive24,appeloffre,initial,CENTRE HOSPITALIER REG DE MARSEILLE,13005,Marseille,,['Consommables médicaux'],[69],non,non
20-50773,2020-04-11,2020-05-25,"['13', '83', '84', '4', '5', '6']",Mission de commissariat aux comptes pour les besoins de la CCI de Région PACA,joue,directive24,appeloffre,initial,CCIR PACA,13221,Marseille cedex 01,,['Expertise comptable'],[446],oui,non
20-50750,2020-04-11,2020-05-12,['13'],"Réalisation De Sondages Et D'Essais Géotechniques Terrestres, In Situ Et En Laboratoire, Pour Le Grand Port Maritime De Marseille",joue,directive24,appeloffre,initial,GRAND PORT MARITIME DE MARSEILLE,13226,Marseille,,"['Etude', 'Sondage']","[118, 323]",non,non
20-50835,2020-04-11,2020-05-09,['13'],Mission MOE pour des interventions de confortement et de réhabilitation du patrimoine immobilier de l'op. Grand Centre-Ville (Marseille) et de l'op. Interface Vallée de l'Huveaune/Bras,joue,directive24,attribution,initial,SOLEAM,13232,Marseille cedex 01,,"[""Maîtrise d'oeuvre""]",[197],non,non
20-45428,2020-04-11,2020-05-29,['13'],prestations d'entretien des espaces verts pour le site du campus joseph aiguier à marseille de la délégation provence et corse du c.n.r.s.,joue,directive24,appeloffre,initial,CNRS Marseille,13402,Marseille,,['Espaces verts'],[116],oui,oui
20-50862,2020-04-11,2020-05-15,['13'],Mission d'Assistance pour la valorisation et la mise en synergie des lauréats Filidechet,joue,directive24,appeloffre,initial,Région Provence Alpes Côte d'Azur,13481,Marseille,,"['Assistance technique', 'Ordures ménagères (prestations)', 'Prestations de services', 'Déchets non ménagers (prestations)']","[19, 249, 274, 404]",non,non
20-51046,2020-04-11,2020-05-11,['13'],"Impression du carnet de correspondance, repiquage de la couverture, livraison en 1 ou 2 points sur Marseille et en tournée dans les lycées sur le territoire régional",joue,directive24,appeloffre,initial,Région Provence Alpes Côte d'Azur,13481,Marseille,,"['Impression', 'Prestations de services', 'Transport']","[160, 274, 347]",non,non
20-50900,2020-04-11,2020-05-15,"['13', '974']",Renforcement des capacités d'action pour la réalisation du projet CORECRABE,joue,directive24,appeloffre,initial,IRD,13572,Marseille,,"['Prestations de services', 'Transport', 'Véhicules (location)']","[274, 347, 474]",non,non
20-51643,2020-04-11,2020-05-10,['16'],Fourniture et pose d'une grappe de 10 centrales photovoltaïques sur toitures de puissance unitaire comprise entre 8.99 et 35.99 kWc sur différents bâtiments communaux.,fns,cmp2006,appeloffre,initial,SEM ENERGIES MIDI ATLANTIQUE,17500,Jonzac,,"['Electricité (travaux)', 'Photovoltaïque']","[105, 476]",non,non
20-51045,2020-04-11,2020-05-28,['21'],"Accord-cadre à bons de commande de prestations intellectuelles - Lot 6 : Mission d'études de sols dans l'emprise de bâtiments, d'ouvrages d'art et/ou d'espaces publics",joue,directive24,appeloffre,initial,Dijon Métropole,21075,Dijon,,['Prestations de services'],[274],non,non
20-50624,2020-04-11,2020-05-30,['25'],Acquisition de mobilier,joue,directive24,attribution,initial,Grand Besançon Métropole,25043,BESANCON,,['Mobilier'],[230],non,non
20-50847,2020-04-11,2020-05-25,['27'],"Construction du collège Louise Michel à Bourneville Sainte Croix - Relance des lots no 1, 6 et 14",joue,directive24,appeloffre,initial,DEPARTEMENT DE L EURE,27021,Evreux cedex 01,,"[""Tous corps d'état""]",[345],oui,oui
20-49432,2020-04-11,2020-05-25,['27'],marché de valorisation et de traitement des déchets végétaux et du bois issus des déchèteries,joue,directive24,appeloffre,initial,SYGOM,27700,Les Andelys,,['Déchetterie (exploitation)'],[405],non,oui
20-50992,2020-04-11,2020-05-29,['28'],Auscultation du réseau routier.Relevés et mesures de dégradations et autres paramètres sur le réseau routier départemental,joue,directive24,appeloffre,initial,Conseil général d'Eure et Loir,28028,Chartres,,['Prestations de services'],[274],non,non
20-50388,2020-04-11,2020-08-01,"['28', '27', '45', '78']",p2020/11 - fourniture de contenants et pièces détachées destinés à la collecte des déchets (rectificatif),joue,autre,rectificatif,rectificatif,Agglo-Pays-Dreux,28103,Dreux,,"['Conteneur, poubelles']",[71],non,non
20-50898,2020-04-11,2020-06-30,['30'],Accord-cadre d'approvisionnement en matériels électriques pour la Ville d'Alès - département gestion du patrimoine immobilier,joue,autre,rectificatif,rectificatif,Ville d'Alès,30115,Ales cedex,,['Quincaillerie (articles)'],[291],non,non
20-51054,2020-04-11,2020-04-21,['30'],Accord cadre de maîtrise d'oeuvre urbaine pour la mise en oeuvre de l'axe mobilité du projet urbain de la commune d'Aigues-Mortes,joue,autre,rectificatif,rectificatif,COMMUNE D AIGUES MORTES,30220,Aigues-Mortes,,['Ingénierie'],[455],non,non
20-51027,2020-04-11,2020-05-25,['31'],Fourniture de publications en série sur tous supports,joue,directive24,appeloffre,initial,Université Toulouse 1 Sciences Sociale,31042,Toulouse cedex 9,,['Edition'],[104],non,non
20-50959,2020-04-11,2020-05-14,['31'],Marché pour la réalisation des préprogrammes proposés par l'UPS dans le cadre du CPER 2021-2027 - Université Toulouse III,joue,directive24,appeloffre,initial,Université Paul Sabatier,31062,Toulouse,,"['Prestations de services', ""Assistance à maîtrise d'ouvrage""]","[274, 433]",non,non
20-50995,2020-04-11,2020-06-05,['32'],Mise en place d'une convention de participation prévoyance pour les agents du Sdis du Gers,joue,directive24,appeloffre,initial,SDIS DU GERS,32021,Auch,,['Assurance'],[20],non,non
20-51008,2020-04-11,2020-05-11,['32'],Exécution de divers travaux de voirie,joue,autre,rectificatif,rectificatif,Département de Gers,32022,Auch,,['Voirie'],[365],non,non
20-50762,2020-04-11,2020-05-18,['33'],Restructuration du dépôt de bus de Lescure - Phase 1Bbis LOT 22 GNV,joue,directive24,appeloffre,initial,Bordeaux Métropole,33045,BORDEAUX,,"[""Tous corps d'état""]",[345],non,non
