,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-56226,2020-04-23,2020-05-19,['1'],Réfection de la chaufferie - Collège de la Dombes à Saint-André-de-Corcy,fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,['Chauffage (travaux)'],[61],non,non
1,20-56284,2020-04-23,2020-05-28,"['1', '7', '38', '39', '42', '69', '71', '73', '74']",Assurances pour la réalisation du nouveau complexe sportif de la 3CM (TRC - DO),mapa,cmp2006,appeloffre,initial,Communauté de communes de la Côtière,01120,Montluel,,['Assurance'],[20],non,non
2,20-56274,2020-04-23,2020-05-25,['1'],"Travaux de signalisation horizontale et la fourniture de panneaux de signalisation verticale permanente ou temporaire, et de signalisation directionnelle, de panneaux et numéros de rues et de supports",fns,cmp2006,appeloffre,initial,Commune de Valserhone,01206,Valserhône cedex,,['Signalisation'],[322],non,non
3,20-54145,2020-04-23,2020-05-22,['2'],Travaux d'aménagement rue des Colombes et rue des Alouettes.,fns,cmp2006,appeloffre,initial,Ville de Laon,02000,Laon,,"['Eclairage public', 'Voirie et réseaux divers']","[102, 366]",non,non
4,20-56479,2020-04-23,2020-07-21,['2'],Numéro de la consultation : 19065TNC GESTION DES EAUX PLUVIALES ISSUES DE LA RD 1029 EN AMONT DES CAPTAGES D'EAU POTABLE SUR LA COMMUNE D'HARLY ET RENOUVELLEMENT DU RESEAU PUBLIC DE COLLECTE,fns,cmp2006,attribution,initial,CA DU SAINT QUENTINOIS,02108,Saint-Quentin,,"['Alimentation en eau potable', 'Réseaux divers']","[6, 306]",non,non
5,20-56393,2020-04-23,2020-06-02,"['2', '80']",TRAVAUX DE REMPLACEMENT ET/OU RENFORCEMENT DES DALLES HAUTES DES GALERIES TECHNIQUES DU CENTRE HOSPITALIER DE PERONNE,fns,cmp2006,appeloffre,rectificatif,CENTRE HOSPITALIER GENERAL ST QUENTIN,02321,Saint quentin,,"['Gros oeuvre', 'Terrassement']","[144, 341]",non,non
6,20-56435,2020-04-23,2020-04-30,['3'],Acquisition d'un logiciel de dématérialisation des correspondances pour le Département de l'Allier (03),fns,cmp2006,appeloffre,annulation,DEPARTEMENT DE L ALLIER,03016,MOULINS,,['Logiciel'],[186],non,non
7,20-55970,2020-04-23,2020-06-02,"['5', '4', '38']",VERIFICATION MAINTENANCE ET REMPLACEMENT DES MOYENS DE SECOURS CONTRE L'INCENDIE DES BÂTIMENTS COMMUNAUX,mapa,cmp2006,appeloffre,initial,Ville de Briançon,05100,BRIANCON,,"['Extincteur', 'Maintenance', ""Matériel de secours et d'incendie""]","[119, 196, 217]",non,non
8,20-56246,2020-04-23,2020-07-06,['6'],CHU de Nice - UCP Travaux de réfection de l'étanchéité de la toiture,fns,cmp2006,appeloffre,initial,C.H.U. de Nice,06003,Nice cedex 1,,['Bâtiment'],[33],non,non
9,20-46906,2020-04-23,2020-05-27,['6'],"acquisition de vélos, de vélos à assistance électrique et de pièces détachées",joue,directive24,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice cedex 3,,"['Pièces détachées', 'Véhicules (acquisition)']","[266, 475]",non,oui
10,20-56433,2020-04-23,2020-05-29,['6'],Achat et livraison de fournitures de papeterie et de jeux éducatifs pour les écoles maternelles et élémentaires de Vallauris Golfe-Juan,fns,cmp2006,appeloffre,rectificatif,Commune de Vallauris Golfe-Juan,06220,VALLAURIS,,"['Jeux, jouets', 'Papeterie']","[175, 262]",non,non
11,20-56340,2020-04-23,2020-05-12,['6'],Maintenance préventive et curative des systèmes d'appels malades et recherches de personnes,fns,cmp2006,appeloffre,initial,CENTRE COMMUNAL D ACTION SOCIALE,06359,NICE Cedex 4,,['Maintenance'],[196],non,non
12,20-56240,2020-04-23,2020-06-04,['6'],"Dépollution des terres du site de l'ancienne station BP, 51 boulevard de l'Ariane NICE.",fns,cmp2006,appeloffre,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,,['Nettoyage urbain'],[240],non,oui
13,20-54997,2020-04-23,2020-06-09,['6'],Achat et maintenance de matériels pour la légumerie de la Cuisine centrale de la Ville de Nice,joue,directive24,appeloffre,initial,COMMUNE DE NICE,06364,Nice cedex 4,,"['Restauration collective', 'Cuisine (équipement)']","[66, 77]",non,non
14,20-54829,2020-04-23,2020-05-19,['6'],Achat de places au sein des établissements d'accueil du jeune enfant auprès de gestionnaires privés implantés sur lacommune de Nice.,joue,directive24,appeloffre,initial,COMMUNE DE NICE,06364,Nice Cedex 4,,"['Denrées alimentaires', 'Prestations de services']","[88, 274]",non,oui
15,20-55138,2020-04-23,2020-06-02,['6'],20V0022 - Produits d'épicerie issus de l'agriculture biologique,joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,['Denrées alimentaires'],[88],non,oui
16,20-54838,2020-04-23,2020-06-02,['6'],Fruits de 1ère gamme issus de l'agriculture conventionnelle,joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,['Denrées alimentaires'],[88],non,oui
17,20-55047,2020-04-23,2020-06-02,['6'],LEGUMES DE 1er GAMME,joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,"['Restauration collective', 'Denrées alimentaires']","[66, 88]",non,oui
18,20-53959,2020-04-23,2020-06-21,['6'],ilot pont michel transfert de la direction de la propreté et de la direction de collecte et gestion des déchets et création d'un parking relais,joue,directive24,attribution,initial,Métropole Nice côte d'azur,06364,Nice cedex 4,,"[""Maîtrise d'oeuvre""]",[197],non,non
19,20-55990,2020-04-23,2020-06-09,['6'],20V0006 - Achat et maintenance de scanners de chèques.,fns,cmp2006,appeloffre,initial,COMMUNE DE NICE,06364,Nice cedex 4,,['Matériel électronique'],[204],non,non
20,20-56232,2020-04-23,2020-06-03,['6'],REALISATION D'UN EQUIPEMENT PUBLIC POLYVALENT 'BATIPOLY' TRAVAUX DE CONSTRUCTION,fns,cmp2006,appeloffre,rectificatif,Commune de Saint-Cézaire-sur-Siagne,06530,Saint Cézaire sur Siagne,,"['Couverture', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Plomberie (travaux)']","[74, 105, 144, 222, 270]",non,non
21,20-40691,2020-04-23,2020-06-15,['7'],prestations de curage et de vidange sur les ouvrages et réseaux publics d'assainissement,joue,directive25,appeloffre,initial,Cté d'Agglo du Bassin d'Annonay,07430,Davézieux,,"['Assainissement', 'Réseaux divers']","[18, 306]",non,non
22,20-56441,2020-04-23,2020-06-16,['10'],Agrandissement du giratoire nord et accès au centre pénitentiaire à LAVAU-.,fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L AUBE,10000,TROYES,,"[""Ouvrage d'infrastructure""]",[253],non,non
23,20-56383,2020-04-23,2020-06-09,['10'],Travaux de réfection de la toiture terrasse du laboratoire départemental d'analyses vétérinaires et alimentaires-.,mapa,cmp2006,appeloffre,initial,DEPARTEMENT DE L AUBE,10000,TROYES,,"[""Tous corps d'état""]",[345],non,non
24,20-54939,2020-04-23,2020-05-21,['10'],gestion des aires d'accueil et de grands passages des gens du voyage,joue,directive24,attribution,initial,Troyes Champagne Métropole,10000,Troyes,"[('2020-03-12', 'VESTA ', (569388, 'EUR'), None)]","[""Aire d'accueil""]",[430],non,non
25,20-54867,2020-04-23,2020-06-22,['11'],Accord-cadre pour travaux divers sur le territoire du Grand Narbonne,joue,directive24,attribution,initial,Le Grand Narbonne,11785,Narbonne,,['Voirie et réseaux divers'],[366],non,non
26,20-56399,2020-04-23,2020-05-27,"['66', '11']","Accord - cadre a bon de commande pour la maintenance préventive et corrective du système anti-intrusion, caméra et contrôle d'accès de l'antenne de Mont - Louis.",mapa,cmp2006,appeloffre,initial,DRSID Lyon,11801,Carcassonne,,['Maintenance'],[196],non,non
27,20-56403,2020-04-23,2020-06-02,"['66', '11']",Accord cadre à bon de commande pour la maintenance préventive et corrective des séparateurs à hydrocarbures et aire de lavage pour l'ensemble des sites du CPIS - Antenne SID - Perpignan,mapa,cmp2006,appeloffre,initial,DRSID Lyon,11801,Carcassonne,,['Maintenance'],[196],non,non
28,20-56402,2020-04-23,2020-05-28,['66'],Accord - cadre a bon de commande pour la maintenance préventive et corrective des postes HT-BT et des TGBT du Centre Parachutiste d'Instruction Spécialisée (CPIS),mapa,cmp2006,appeloffre,initial,DRSID Lyon,11801,Carcassonne,,['Maintenance'],[196],non,non
