a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-115296,2020-09-21,2020-11-21,['1'],"Prestations de conseil, d'assistance et de représentation juridiques",fns,cmp2006,attribution,initial,COMMUNE D AMBERIEU EN BUGEY,01504,Amberieu en bugey cedex,"[('2020-09-16', 'SDC Avocats', (1035.0, 'EUR'), None), ('2020-09-16', ""GROUPEMENT D'ENTREPRISES CONJOINT AURAVOCATS/D4 AVOCATS ASSOCIES"", (930.0, 'EUR'), None), ('2020-09-16', ""GROUPEMENT D'ENTREPRISES SOLIDAIRE BOSQUET JULIEN/MOUNIER BRUNO"", (900.0, 'EUR'), None)]",['Assistance juridique'],[434],non,non
20-115063,2020-09-21,2020-10-13,"['1', '74']","FOURNITURE ET LIVRAISON DE PRODUITS, PETITS MATERIELS D'ENTRETIEN ET CONSOMMABLES :PRODUITS d'entretiens général et de cuisinesMATÉRIELS d'entretiens général et de cuisinesCONSOMMABL",fns,cmp2006,appeloffre,initial,MAIRIE,01630,Saint-genis-pouilly,,"[""Produits d'entretien""]",[278],non,non
20-115219,2020-09-21,2020-10-06,"['2', '51', '59', '60']","Travaux de restauration de cours d'eau sur le ru de Retz, ses affluents et le ru de Voidon. Les travaux du lot 1 consistent à mettre en défens les cours d'eau (pose de clôtures, abreuvoirs.",fns,cmp2006,appeloffre,rectificatif,Syndicat bassinversant aisne navigable,02000,Chivy-les-etouvelles,,"['Berge', 'Clôture', 'Ouvrage hydraulique', 'Rivières/ruisseaux', 'Terrassement']","[35, 64, 255, 310, 341]",non,non
20-115230,2020-09-21,2020-10-19,['2'],Trois Marchés de maîtrise d'oeuvre pour des travaux de requalifications de voirie à Bohain en Vermandois.-.,fns,cmp2006,appeloffre,initial,VILLE DE BOHAIN EN VERMANDOIS,02110,BOHAIN-EN-VERMANDOIS,,"[""Maîtrise d'oeuvre""]",[197],non,non
20-115112,2020-09-21,2020-10-15,['3'],Fourniture de matériaux en béton préfabriqués pour le département de l'Allier,fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,,['Matériaux routiers'],[199],non,non
20-115248,2020-09-21,2020-10-16,['3'],SUPPRESSION DALLE SUR LE LAMARON ENTRE P23 ET P33 RUE DU DIENAT,fns,cmp2006,appeloffre,initial,Ville de Montluçon,03106,Montlucon,,"[""Ouvrage d'infrastructure""]",[253],non,non
20-115201,2020-09-21,2020-10-16,"['3', '63']",PARC OMNISPORTS PIERRE COULON - RENOVATION DU TERRAIN N° 4,fns,cmp2006,appeloffre,initial,Vichy Communauté,03209,VICHY,,"['Espaces verts', 'Travaux de viabilité']","[116, 353]",non,non
20-114933,2020-09-21,2020-10-27,['4'],Numéro de la consultation : 20DSD002 Formation obligatoire des assistants maternels 2021-2024,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,['Formation'],[410],non,non
20-115416,2020-09-21,2020-10-08,['5'],ACCORD-CADRE A BONS DE COMMANDE FOURNITURE DE MASQUES CHIRURGICAUX,mapa,cmp2006,appeloffre,initial,Ville de Gap,05007,GAP,,['Matériel médical'],[212],non,non
20-114929,2020-09-21,2021-11-06,['5'],sauvegarde de la mine des eduits,mapa,cmp2006,appeloffre,initial,COMMUNE DE SAINT CHAFFREY,05330,Saint-chaffrey,,"['Maçonnerie', 'Menuiserie']","[195, 222]",oui,non
