a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-60894,2020-05-06,2020-05-29,"['1', '69', '39']",Assistance vétérinaire auprès des animaux de la fourrière et du refuge intercommunal de Haut-Bugey Agglomération,fns,cmp2006,appeloffre,rectificatif,Haut-Bugey Agglomération,01117,Oyonnax cedex,,['Animaux'],[9],non,non
20-60682,2020-05-06,2020-06-09,"['1', '21', '38', '69', '71']",Gestion de l'aire d'accueil des gens du voyage à La Boisse (Ain),fns,cmp2006,appeloffre,initial,Communauté de communes de la Côtière,01120,Montluel,,"[""Aire d'accueil""]",[430],non,non
20-60865,2020-05-06,2020-05-29,['1'],le présent marché a pour objet la fourniture et la maintenance de photocopieurs couleurs,mapa,cmp2006,appeloffre,initial,Cté d'Agglomération du Pays de Gex,01170,Gex,,"['Informatique (matériel)', 'Informatique (assistance)']","[162, 453]",non,non
20-59964,2020-05-06,2020-06-16,['1'],Maintenance préventive et corrective des matériels et équipements des cuisines de la ville de Valserhone,joue,directive24,appeloffre,initial,Commune de Valserhone,01206,Valserhône cedex,,['Cuisine (équipement)'],[77],non,non
20-60775,2020-05-06,2020-06-25,"['1', '39', '69', '13', '73', '74', '38', '75', '6']",CCP N°08 du 28/01/2020 : : Acquisition d'une enceinte climatique neuve au profit de la division Métrologie de l'atelier Industriel de l'Aéronautique (AIA) d'Ambérieu en Bugey (AIA,fns,cmp2006DEFENSE,appeloffre,initial,AIA Ambérieu en Bugey,01500,Ambérieu en bugey,,"['Climatisation', 'Matériel électronique']","[62, 204]",non,non
20-60926,2020-05-06,2020-07-15,"['1', '37', '38', '39', '69', '75', '70', '74', '73']",CCP N°10 du 10/02/2020 : La fabrication de 16 climatiseurs pour radar PAR 2310 au profit de l'atelier industriel de l'aéronautique d'AMBERIEU EN BUGEY (AIA.AB).- POSTE 1 : Etude de con,fns,cmp2006DEFENSE,appeloffre,initial,AIA Ambérieu en Bugey,01500,Ambérieu en bugey,,['Climatisation'],[62],non,non
20-60861,2020-05-06,2020-06-25,"['1', '38', '69', '39', '75', '74', '73', '37', '9']","CCP N°09 du 28/01/2020 : : Acquisition d'appareils de métrologie neufs, de série de type Oscilloscope et sondes au profit de l'atelier Industriel de l'Aéronautique (AIA) d'Ambérieu",fns,cmp2006DEFENSE,appeloffre,initial,AIA Ambérieu en Bugey,01500,Ambérieu en bugey,,"['Matériel électronique', 'Matériel de précision']","[204, 215]",non,non
20-60185,2020-05-06,2020-06-09,"['2', '51', '60']",fournitures 2020-2021 du magasin général,fns,cmp2006,appeloffre,initial,E.P.S.M.D. de l'Aisne,02320,Prémonté,,"['Bois', 'Chauffage (matériel)', 'Maçonnerie', 'Matériaux de construction', 'Matériel électrique', 'Menuiserie', 'Peinture (fourniture)', 'Plastique', 'Quincaillerie (articles)', 'Matériel robinetterie', 'Sanitaire']","[38, 60, 195, 198, 203, 222, 263, 268, 291, 311, 319]",non,non
20-61095,2020-05-06,2020-06-05,['2'],Mission de maîtrise d'oeuvre pour la réfection et l'aménagement de trois rues à Villers-Cotterêts,fns,cmp2006,appeloffre,initial,Ville de Villers-Cotterêts,02603,Villers-Cotterêts,,"[""Maîtrise d'oeuvre""]",[197],non,non
20-60726,2020-05-06,2020-06-05,['3'],"Le marché a pour objet la maitrise d'oeuvre pour la rénovation de l'ancien siège social du SDE 03, à Moulins, Rue de la Comédie (03)",fns,cmp2006,appeloffre,initial,SDE 03,03401,Yzeure cedex,,['Etude'],[118],non,non
20-59746,2020-05-06,2020-06-30,['3'],Assurances,joue,directive24,attribution,initial,Ville de Gannat,03800,Gannat,"[('2019-12-23', 'SMACL ASSURANCES', (17312, 'EUR'), 'Dommages aux biens et autres risques matériels'), ('2019-12-23', 'SMACL ASSURANCES', (17639, 'EUR'), 'Flotte automobile'), ('2019-12-23', 'SMACL ASSURANCES', (7313, 'EUR'), 'Responsabilité civile et protection juridique')]",['Assurance'],[20],non,non
20-59719,2020-05-06,2020-06-04,['6'],SERVICES DE SECURITE ET GARDIENNAGE,joue,directive24,attribution,initial,CPAM Nice,06000,Nice,"[('2019-06-24', 'GLCE LITTORAL', (2400000, 'EUR'), 'Marché de prestations de services de sécurité et gardiennage')]",['Gardiennage'],[138],non,non
20-60832,2020-05-06,2020-06-02,['6'],Réhabilitation logement sur le Campus CARLONE,mapa,cmp2006,appeloffre,initial,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,06103,Nice,,['Etude'],[118],non,non
20-59813,2020-05-06,2020-05-30,['6'],"20V0001-Travaux de purge, confortement et soutènement de talus dans le cadre des pouvoirs de police administrative en matière de sécurité publique",joue,directive24,appeloffre,initial,COMMUNE DE NICE,06364,Nice cedex 4,,"['Falaise', 'Terrassement']","[125, 341]",non,non
20-60886,2020-05-06,2020-07-06,['6'],ACHAT D'IMAGE ET D'ESPACES DE COMMUNICATION JP DICK,fns,cmp2006,attribution,initial,COMMUNE DE NICE,06364,Nice cedex 4,"[('2020-04-07', 'SARL ABSOLUTE DREAMER', (120000, 'EUR'), None)]","['Prestations de services', 'Publicité, Communication']","[274, 285]",non,non
20-60712,2020-05-06,2020-07-06,['6'],19N0416 - Aménagement des lignes de Tramway en exploitation - Marché pour avis d'un Organisme Qualifié Agréé (OQA)Accord-cadre à bons de commande avec un montant minimum: 1000 EUR et un montant,fns,cmp2006,attribution,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,"[('2020-05-04', 'CEREMA', (11110, 'EUR'), None)]",['Assistance technique'],[19],non,non
20-60824,2020-05-06,2020-07-06,['6'],Produits frais pour paniers repas hebdomadaires pour personnes âgées isolées,fns,cmp2006,attribution,initial,COMMUNE DE NICE,06364,Nice cedex 4,"[('2020-04-24', 'NATURDIS', (120825, 'EUR'), None), ('2020-04-27', 'SARL BABET', (120825, 'EUR'), None), ('2020-04-27', 'LESLIE FRUIT', (120825, 'EUR'), None), ('2020-04-28', 'SARL LES PRIMEURS DU 06', (120825, 'EUR'), None), ('2020-04-29', 'CASH FRUITS', (120825, 'EUR'), None)]",['Denrées alimentaires'],[88],non,non
20-59975,2020-05-06,2020-08-01,['6'],Travaux de requalification des espaces publics et réhabilitation de locaux au Port Canto de Cannes,joue,directive24,attribution,initial,COMMUNE DE CANNES,06406,Cannes,"[('2020-04-14', 'Parcs Et Sports Sud', (273155.43, 'EUR'), 'Aménagements paysagers')]","['Electricité (travaux)', 'Plomberie (travaux)', 'Terrassement']","[105, 270, 341]",oui,non
20-59970,2020-05-06,2020-05-15,['6'],Prestations De Débroussaillement De Terrains Divers,joue,autre,rectificatif,rectificatif,COMMUNE DE CANNES,06406,Cannes,,['Espaces verts'],[116],non,oui
20-59927,2020-05-06,2020-06-08,"['6', '83', '13']","Fourniture De Chrysanthemes, De Fleurs Coupees Et De Feuillage, De Bulbes Et De Graines De Gazon",joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,['Espaces verts'],[116],non,oui
20-59612,2020-05-06,2020-05-18,['6'],Fourniture d'équipements et de petits matériels sportifs,joue,autre,rectificatif,rectificatif,COMMUNE DE CANNES,06406,Cannes,,['Equipement sportif'],[113],non,non
20-60805,2020-05-06,2020-07-02,['7'],La consultation a pour objet la location de camions avec chauffeur pour le transport de différentes catégories de déchets du SICTOBA du quai de transfert situé à Beaulieu vers des installations de ..,fns,cmp2006,appeloffre,initial,SICTOBA,07460,Beaulieu,,['Transport'],[347],non,non
20-61091,2020-05-06,2020-06-08,['8'],Maintenance du groupe frigorifique de la patinoire Elena Issatchenko 2020-21 2021-22 et 2022-23-.,fns,cmp2006,appeloffre,initial,ARDENNE METROPOLE,08000,CharlevilleMézières,,['Prestations de services'],[274],non,non
20-60766,2020-05-06,2020-06-08,['10'],"MISSIONS PRESTATIONS INTELLECTUELLES : CONTROLE TECHNIQUE, COORDINATION EN MATIERE DE SECURITE ET PROTECTION DE LA SANTE et GEOTECHNIQUE - Construction d'une Halle de Gymnastique, y compris ves-",mapa,cmp2006,appeloffre,initial,MAIRIE DE TROYES,10000,TROYES,,['Etude'],[118],non,non
20-60772,2020-05-06,2020-06-05,['10'],Maintenance des extincteurs SDIS de l'Aube-.,mapa,cmp2006,appeloffre,initial,SCE DEPARTEMENTAL INCENDIE ET SECOURS,10088,TROYES,,['Maintenance'],[196],non,non
20-61147,2020-05-06,2020-06-09,"['11', '9', '34', '31', '66']",Diagnostic Amiante Avant Travaux pour diverses opérations de réhabilitation,mapa,cmp2006,appeloffre,initial,ALOGEA,11000,CARCASSONNE,,['Amiante (diagnostic)'],[431],non,non
20-59534,2020-05-06,2020-07-04,['11'],Fourniture de pièces détachées pour tous types de véhicules,joue,directive24,attribution,initial,Le Grand Narbonne,11785,NARBONNE,"[('2020-03-12', 'NORCA', (15471.85, 'EUR'), 'Pièces mécaniques PL IVECO ou qualité origine'), ('2020-03-12', 'NORCA', (16158.3, 'EUR'), 'Pièces mécaniques PL RENAULT ou qualité origine'), ('2020-03-12', 'AUTO POIDS LOURDS', (11859.36, 'EUR'), 'Pièces mécaniques PL adaptables'), ('2020-03-12', 'AUTO POIDS LOURDS', (5336.04, 'EUR'), 'Pièces mécaniques VL ou utilitaires qualité origine'), ('2020-03-12', 'BAISSE', (3897.8, 'EUR'), 'Pièces mécaniques VL ou utilitaires adaptables')]","['Mécanique', 'Pièces détachées']","[221, 266]",non,non
20-60812,2020-05-06,2020-06-02,['11'],Travaux d'amélioration thermique de bâtiments communaux,fns,cmp2006,appeloffre,initial,COMMUNE DE CARCASSONNE,11835,Carcassonne cedex 9,,"['Isolation', 'Menuiserie']","[169, 222]",non,non
20-60811,2020-05-06,2020-06-02,"['12', '15', '34', '48']",ACQUISITION-AMELIORATION DE LOGEMENTS COLLECTIFS ET DE LOCAUX COMMUNAUX DANS L'ANCIENNE GENDARMERIE DE CAPDENAC-GARE,fns,cmp2006,appeloffre,rectificatif,AVEYRON HABITAT,12032,Rodez,,['Bâtiment'],[33],non,non
20-58760,2020-05-06,2020-06-19,['12'],nettoyage des vitres et de certains locaux de rodez agglomération,joue,directive24,appeloffre,initial,Cté d'Agglomération du Grand Rodez,12035,RODEZ CEDEX 9,,['Nettoyage de locaux'],[239],non,non
20-60856,2020-05-06,2020-05-25,['12'],route departementale no 904 -renforcement de la chaussée et réfection de la couche de roulement pr 50.663 à 57.680 - cantons :l ot et truyere et vallon - communes : villecomtal et muret-le-chateau,fns,cmp2006,appeloffre,initial,Conseil Départemental de l AVEYRON,12450,Flavin,,['Voirie'],[365],non,non
20-59646,2020-05-06,2020-05-14,['13'],Fourniture de médicaments antinéoplasiques et immunomodulateurs,joue,directive24,attribution,initial,CENTRE HOSPITALIER REG DE MARSEILLE,13005,Marseille,"[('2020-04-06', 'Arrow generiques', (5580, 'EUR'), 'Lot 11 : géfitinib'), ('2020-03-31', 'Astrazeneca', (21324336, 'EUR'), 'Lot 5 : imfinzi'), ('2020-03-25', 'Baxter', (486000, 'EUR'), 'Lot 7 : holoxan'), ('2020-03-31', 'Centre spécialités pharmaceutiques', (2622000, 'EUR'), 'Lot 3 : bicnu'), ('2020-03-25', 'Jazz pharmaceuticals', (3214800, 'EUR'), 'Lot 2 : vyxeos'), ('2020-03-31', 'Krka', (113267, 'EUR'), 'Lot 10 : dasatinib'), ('2020-03-25', 'Kyowa kirin pharma', (5779872, 'EUR'), 'Lot 9 : poteligeo'), ('2020-03-31', 'Mylan', (127375, 'EUR'), 'Lot 4 : clofarabine'), ('2020-03-25', 'Pfizer', (11565985, 'EUR'), 'Lot 6 : mylotarg , lot 12 : lorviqua , lot 13 : talzenna'), ('2020-04-06', 'Teva sante', (1296015, 'EUR'), 'Lot 1 : trisenox')]",['Produits pharmaceutiques'],[280],non,non
20-60784,2020-05-06,2020-05-30,"['13', '75', '69', '83', '84', '6']",Création et la mise en oeuvre d'une campagne de communication pour promouvoir la destination Provence/Bouches-du-Rhône à l'issue de la crise de Covid-19.,mapa,cmp2006,appeloffre,initial,CDT13,13006,Marseille,,"['Publicité, Communication']",[285],non,non
20-59915,2020-05-06,2020-06-05,['13'],"Marchés relatifs à la fourniture, la livraison de matériels et de produits consommables d'ateliers, répartis en 6 lots pour l'ensemble des véhicules et engins, de la flotte du SDIS 13.",joue,directive24,appeloffre,initial,SDIS des Bouches-du-Rhône,13015,MARSEILLE,,"['Chaudronnerie', 'Equipement hydraulique', 'Matériel électrique', 'Pièces détachées', 'Produits chimiques', 'Véhicules']","[58, 111, 203, 266, 275, 359]",non,non
20-59494,2020-05-06,2020-08-04,['13'],"Marché de maîtrise d'oeuvre pour la réalisation de travaux maritimes pour la modernisation, la rénovation et l'optimisation de la marina olympique du Roucas Blanc",joue,directive24,attribution,initial,Ville de Marseille,13233,Marseille cedex 20,,"[""Maîtrise d'oeuvre"", 'Prestations de services']","[197, 274]",non,oui
20-59562,2020-05-06,2020-08-04,['13'],Fourniture de petite épicerie,joue,directive24,attribution,initial,Ville de Marseille,13233,Marseille cedex 20,"[('2020-04-30', 'POMONA Episaveurs SAS', (280000.0, 'EUR'), None)]",['Denrées alimentaires'],[88],non,oui
20-60851,2020-05-06,2020-06-30,['13'],Prestations de collecte et de traitement de déchets issus des garages ou ateliers de la ville de marseille avec location de contenants.,fns,cmp2006,appeloffre,initial,Ville de Marseille,13233,Marseille Cedex 20,,['Déchets non ménagers (prestations)'],[404],non,oui
20-59532,2020-05-06,2020-08-04,['13'],"Fourniture et livraison d'articles de papeterie, de peinture et de travaux manuels - 2 Lots",joue,directive24,attribution,initial,Ville de Marseille,13233,Marseille cedex 20,"[('2020-04-29', 'Société Nouvelle Librairie Charlemagne SA', (2800000.0, 'EUR'), 'Fourniture de cahiers, carnets et papier pour reproduction'), ('2020-04-29', 'Société Nouvelle Librairie Charlemagne SA', (12000000.0, 'EUR'), ""Fourniture d'autres articles de papeterie (hors cahiers, carnets et papier pour reproduction)"")]","['Articles de bureau et articles scolaires', 'Papeterie']","[16, 262]",non,oui
