a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-118093,2020-09-30,2020-11-28,['1'],"Mission d'ordonnancement, pilotage et coordination (OPC) pour la construction du collège et du gymnase de Saint Didier de Formans",joue,directive24,attribution,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,"[('2020-09-23', 'IXANS', (169403.07, 'EUR'), ""Mission d'ordonnancement, pilotage et coordination (OPC) pour la construction du collège et du gymnase de Saint Didier de Formans"")]","[""Mission d'ordonnancement, pilotage, coordination (OPC)""]",[234],non,non
20-117963,2020-09-30,2020-11-28,['1'],Fourniture de chèques d'accompagnement personnalisé,joue,directive24,attribution,initial,DEPARTEMENT DE L AIN,01012,BOURG EN BRESSE CEDEX,"[('2020-09-18', 'EDENRED FRANCE SAS', (1050000.0, 'EUR'), ""Fourniture de chèques d'accompagnement personnalisé"")]",['Titres restaurant'],[416],non,non
20-117679,2020-09-30,2020-11-06,"['1', '69']",gestion de l'aire d'accueil des gens du voyage,joue,directive24,appeloffre,initial,C-C-DOMBES-SAONE-VALLEE,01600,Trévoux,,"[""Aire d'accueil""]",[430],non,non
20-118931,2020-09-30,2020-10-23,['2'],Maison des Arts et Loisirs : Acquisition de projecteurs automatiques à leds.,fns,cmp2006,appeloffre,initial,Ville de Laon,02000,Laon,,"['Matériel électrique', 'Matériel scénique']","[203, 216]",non,non
20-118831,2020-09-30,2021-01-08,['2'],Réfection des toitures terrasse de la cuisine et de la cage d'escalier du réfectoire au collège Jean Rostand Commune de Château Thierry-.,fns,cmp2006,attribution,initial,DEPARTEMENT DE L'AISNE,02000,Laon,,"[""Tous corps d'état""]",[345],non,non
20-118579,2020-09-30,2020-12-21,['2'],"Fourniture de pièces détachées, ampoules, batteries et accessoires pour les véhicules du Département de l'Aisne-.",fns,cmp2006,attribution,initial,DEPARTEMENT DE L'AISNE,02000,Laon,,['Pièces détachées'],[266],non,non
20-118875,2020-09-30,2021-01-08,['2'],Travaux de reconstruction du préau du collège Alexandre Dumas à Guignicourt-.,fns,cmp2006,attribution,initial,DEPARTEMENT DE L'AISNE,02000,Laon,"[('2020-05-29', 'PIC BÂTIMENT', (156478.1, 'EUR'), None)]","[""Tous corps d'état""]",[345],non,non
20-119448,2020-09-30,2020-11-04,['2'],Prestations de service d'assurances pour les besoins de la COMMUNAUTE D'AGGLOMERATION CHAUNY - TERGNIER - LA FERE,fns,cmp2006,appeloffre,initial,CA Chauny-Tergnier-La Fère,02300,CHAUNY,,['Assurance'],[20],non,non
20-119064,2020-09-30,2020-10-21,['3'],Construction de 4 logements individuels avec garages,fns,cmp2006,appeloffre,initial,commune de Saint Rémy en Rollat,03110,Saint Remy en Rollat,,['Bâtiment'],[33],non,non
20-119275,2020-09-30,2020-10-30,['4'],TRAVAUX D'ARASEMENT COMPLET DU SEUIL DU PONT DES CHEMINS DE FER DE PROVENCE (CFP) SUR LA BLEONE A DIGNE LES BAINS PHASE 2 : ARASEMENT DU SEUIL ET CONFORTEMENT DES DIGUES ET DES PILES DU PONT,fns,cmp2006,attribution,initial,Syndicat Mixte Asse Bléone,04000,DIGNE LES BAINS,"[('2020-09-21', 'Agence COZZI - CMM', (488270, 'EUR'), None), ('2020-09-21', 'COSEPI France (mandataire groupement avec MINETTO et FREYSSINET)', (1291219.1, 'EUR'), None)]","['Digue', 'Rivières/ruisseaux']","[91, 310]",non,non
20-118447,2020-09-30,2020-11-02,['4'],"Fourniture De Petits Outillages, Matériels Et Produits Consommables Associes Pour L'Entretien Du Patrimoine Communal Et Prestations De Reparations",joue,directive24,appeloffre,initial,COMMUNE DE MANOSQUE,04100,Manosque,,['Quincaillerie (articles)'],[291],non,non
20-118283,2020-09-30,2020-11-28,['6'],"20V0316 - Achat, installation et maintenance de brumisation",joue,directive24,attribution,initial,COMMUNE DE NICE,06000,Nice,,['Maintenance'],[196],non,non
20-118379,2020-09-30,2020-10-28,['6'],20N0104 - HABILLAGE TRAMWAY LIGNES 2 ET 3,joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06000,Nice,"[('2020-08-28', 'SAS EXHIBIT', (154600, 'EUR'), 'Accord-cadre à bons de commande avec un minimum et un maximum fixés en valeur H.T.Montant minimum : 100 000,00 EURMontant maximum : 450 000,00 EURDurée (hors reconduction) : 12 mois')]","['Impression', 'Publicité, Communication']","[160, 285]",non,non
20-118097,2020-09-30,2020-10-26,['6'],"GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020",joue,directive24,attribution,initial,C.H.U. de Nice,06003,Nice cédex 1,"[('2020-08-04', 'AB MEDICA SAS', (20240, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'ABLATECH', (364800, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'AVANOS MEDICAL FRANCE SAS HALYARD', (5333.33, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'BERNAS MEDICAL', (4550, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'CG MEDICAL', (32666.67, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'COMEPA INDUSTRIE', (13750, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'E3 CORTEX SAS', (23061.33, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'EDIMEX SARL', (1913.33, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'ERBE MEDICAL', (106640, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'HEMA T MEDICAL SAS', (186666.67, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'IDM MEDICAL', (3553.33, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'INT AIR MEDICAL', (6003.33, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'INTERSURGICAL SARL', (90200, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'JOHNSON & JOHNSON', (200000, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'MED-EL ELEKTROMEDIZINISCHE GERATE GMBH', (15323.83, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'MEDICINA FRANCE SARL', (4873.33, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'PENTAX', (5250, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'PHILIPS FRANCE COMMERCIAL', (1650.17, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'PRODIMED', (18300, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'PROTHIA', (3412.5, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'RAFFIN MEDICAL', (3315.8, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'ROCAMED', (52283.33, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'TE ME NA SAS', (11028.8, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'THERAKOS LIMITED UK', (1400000, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-08-04', 'TROIS M FRANCE', (1399.8, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020')]",['Produits pharmaceutiques'],[280],non,non
20-119265,2020-09-30,2020-10-30,['6'],FORMATIONS DIVERSES POUR LE PERSONNEL DU CHU DE NICE,fns,cmp2006,attribution,initial,C.H.U. de Nice,06003,Nice cedex 1,,['Formation'],[410],non,non
