a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-20988,2020-02-23,2020-04-21,['1'],maîtrise d'oeuvre pour la restructuration/extension du collège léon comas à villars les dombes,joue,directive24,attribution,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE,,"[""Maîtrise d'oeuvre""]",[197],non,non
20-27199,2020-02-23,2020-04-02,['1'],"Rénovation, valorisation touristique et culturelle de la cuivrerie de Cerdon",joue,directive24,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,['Monuments historiques'],[236],non,non
20-26247,2020-02-23,2020-04-10,"['1', '69']",maîtrise d'oeuvre pour la réalisation d'un encorbellement en bords de saône sur la commune de trévoux,joue,directive24,appeloffre,initial,C-C-DOMBES-SAONE-VALLEE,01602,Trévoux,,"[""Maîtrise d'oeuvre"", ""Mission d'ordonnancement, pilotage, coordination (OPC)""]","[197, 234]",non,non
20-27376,2020-02-23,2020-03-13,['2'],Entretien des réseaux et ouvrages d'assainissement de GRANDSOISSONS Agglomération,joue,directive24,attribution,initial,Cté. d'Agglo. du Soissonnais,02880,Cuffies,"[('2019-10-15', 'Société Patrick COLOMBO', (120000, 'EUR'), 'Interventions d\x92entretien ponctuelles des réseaux'), ('2019-10-15', 'Société Patrick COLOMBO', (280000, 'EUR'), 'Interventions d\x92entretien programmées des canalisations, postes de refoulement et désableurs '), ('2019-10-15', 'Société Patrick COLOMBO', (30000, 'EUR'), 'Interventions d\x92entretien programmées des deshuileurs et séparateurs hydrocarbures')]","['Assainissement', 'Curage', 'Prestations de services']","[18, 78, 274]",non,non
20-26973,2020-02-23,2020-03-27,['5'],Acquisition de licences logicielles et services associés,joue,directive24,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,Gap,,['Logiciel'],[186],non,non
20-27183,2020-02-23,2020-03-21,['6'],ORGANISATION DES JOURNEES NATIONALES DE LA FILIERE DE SANTE SLA ET AUTRES MALADIES RARES DU NEURONE MOTEUR,joue,directive24,attribution,initial,C.H.U. de Nice,06003,Nice cedex 1,"[('2020-02-17', 'HANDELSE', (178620, 'EUR'), 'ORGANISATION DES JOURNEES NATIONALES DE LA FILIERE DE SANTE SLA ET AUTRES MALADIES RARES DU NEURONE MOTEUR')]",['Prestations de services'],[274],non,non
20-27523,2020-02-23,2020-03-22,['6'],FOURNITURE EN GROS DE FLEURS ET DECORATIONFLORALES POUR LES MANIFESTATION EXPOROSE ET JASMINADE,joue,directive24,appeloffre,initial,COMMUNE DE GRASSE,06130,Grasse,,['Evénementiel'],[445],non,oui
20-27154,2020-02-23,2020-04-21,['6'],"19N0191 Fourniture, mise en oeuvre d'équipements audiovisuels et prestations d'intervention destinées à équiper les différents locaux de la Ville de Nice et de la Métropole Nice Côte d'",joue,directive24,attribution,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,"[('2020-02-07', 'CPT AUDIOVISUELS', (64241, 'EUR'), ""19N0191 Fourniture, mise en oeuvre d'équipements audiovisuels et prestations d'intervention destinées à équiper les différents locaux de la Ville de Nice et de la Métropole Nice Côte d'Azur"")]",['Audiovisuel'],[22],non,non
20-27532,2020-02-23,2020-03-30,['6'],Fourniture d'équipements et de petits matériels sportifs,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,['Equipement sportif'],[113],non,non
20-27060,2020-02-23,2020-03-02,['6'],"Realisation De Supports De Communication Rigides Et Supports Adhesifs, Vinyles Et Dao",joue,autre,rectificatif,rectificatif,COMMUNE DE CANNES,06406,Cannes,,"['Impression', 'Publicité, Communication']","[160, 285]",non,oui
