a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-24497,2021-02-22,2021-03-22,['1'],Mission de maitrise d'&#156;uvre pour l'extension et la réhabilitation du collège de Pont de Vaux,fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,['Ingénierie'],[455],non,non
21-24112,2021-02-22,2021-04-30,['1'],Travaux de fourniture et pose de panneaux photovoltaïques sur les toitures de bâtiments communaux sur 5 communes de l'Ain,fns,cmp2006,attribution,initial,SI D ENERGIE ET DE E COMMUNIC DE L AIN,01006,Bourg-en-bresse cedex,"[('2021-02-19', 'ALPES SOLAIRE ENERGIES', (86311.4, 'EUR'), None), ('2021-02-19', 'ALPES SOLAIRE ENERGIES', (81022.85, 'EUR'), None)]",['Photovoltaïque'],[476],non,oui
21-24672,2021-02-22,2021-03-22,['1'],Réhabilitation du parc des expositions VALEXPO - Lot no 18 enseignes,mapa,cmp2006,appeloffre,initial,COMMUNE D OYONNAX,01100,OYONNAX,,['Signalétique'],[333],non,non
21-24237,2021-02-22,2021-03-19,['2'],marché de maîtrise d'oeuvre - réhabilitation du réseau de canalisation d'eau potable sur le territoire du syndicat des eaux de la région de braye-en-thiérache,mapa,cmp2006,appeloffre,initial,SAE de la Région de Braye en Thiérache,02140,Braye En Thiérache,,"[""Maîtrise d'oeuvre""]",[197],non,non
21-24244,2021-02-22,2021-04-30,['2'],Accord cadre à bons de commande pluriannuel pour de petites opérations d'investissement et de fonctionnement 2021-2025,fns,cmp2006,appeloffre,initial,USESA,02400,CHATEAU THIERRY,,"['Alimentation en eau potable', 'Canalisations']","[6, 48]",non,non
21-24599,2021-02-22,2021-03-12,['3'],Groupe scolaire des Gâteaux - Réhabilitation thermique,fns,cmp2006,appeloffre,initial,Ville de Moulins,03016,Moulins cedex,,"['Couverture', 'Isolation', 'Menuiserie']","[74, 169, 222]",non,non
21-24695,2021-02-22,2021-03-15,['3'],MARCHE D'IMPRESSION ET DE FAÇONNAGE,mapa,cmp2006,appeloffre,initial,OFFICE DE TOURISME ET DE THERMALISME,03200,Vichy,,['Impression'],[160],non,non
21-24524,2021-02-22,2021-03-23,['3'],LOCATION / ENTRETIEN DU LINGE DE L'EHPAD LA CHARMILLE - 03240 LE MONTET,fns,cmp2006,appeloffre,initial,EHPAD La Charmille,03240,LE MONTET,,['Blanchissage'],[36],non,non
21-24573,2021-02-22,2021-03-17,['5'],Fourniture et pose de mobilier expérimentaux de stationnement vélos etservices associes du territoire de la Communauté de Communes du Briançonnais,fns,cmp2006,appeloffre,initial,COMMUNAUTE COMMUNES DU BRIANCONNAIS,05100,Briançon,,"['Mobilier urbain', 'Télégestion']","[231, 352]",non,non
21-24264,2021-02-22,2021-03-22,['6'],Prestation de Prélèvement et d'analyse des eaux sanitaires dans les bâtiments du SDIS des Alpes-Maritimes.,mapa,cmp2006,appeloffre,initial,SDIS (06),06273,Villeneuve-Loubet Cedex,,"['Analyses médicales, biologiques']",[8],non,oui
21-24434,2021-02-22,2021-03-24,['6'],ENTRETIEN DE LA GALERIE COMMERCIALE DU FRONT DE NEIGE A ISOLA 2000,fns,cmp2006,appeloffre,initial,COMMUNE D ISOLA,06420,Isola,,"['Carrelage', 'Maçonnerie', 'Peinture (travaux)', 'Revêtements de sols', 'Revêtements muraux']","[53, 195, 264, 308, 309]",non,non
21-24472,2021-02-22,2021-04-21,['6'],"La présente consultation concerne les prestations d'enseignement d'activités nautiques (voile, kayak, catamaran, standup paddle etc..) durant le temps scolaire et hors temps scolaire.",fns,cmp2006,attribution,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,"[('2021-02-18', ""Société des régates d'Antibes"", (90000, 'EUR'), None)]",['Prestations de services'],[274],non,non
21-24455,2021-02-22,2021-04-01,['7'],La présente consultation porte sur la fourniture d'un tracteur routier neuf destiné à remorquer des bennes à fond mouvant alternatif.,fns,cmp2006,appeloffre,initial,SICTOBA,07460,Beaulieu,,['Véhicules (acquisition)'],[475],non,non
21-24431,2021-02-22,2021-03-19,['7'],SERVICES DE TÉLÉCOMMUNICATIONS,fns,cmp2006,appeloffre,initial,COMMUNE DE VALS LES BAINS,07600,VALS LES BAINS,,['Matériel de téléphonie'],[339],non,non
21-24270,2021-02-22,2021-03-22,['10'],ACCORD-CADRE MONO ATTRIBUTAIRE A BONS DE COMMANDE RELATIF A L'ACQUISITION ET LA LIVRAISON DE LIVRES SCOLAIRES ET DE DICTIONNAIRES POUR LES ECOLES MATERNELLES ET ELEMENTAIRES DE LA VILLE DE TROYES,fns,cmp2006,appeloffre,initial,MAIRIE DE TROYES,10000,TROYES,,['Edition'],[104],non,non
21-24355,2021-02-22,2021-04-23,['10'],CONFECTION ET LIVRAISON DE REPAS POUR ETABLISSEMENT D'ACCUEIL DES JEUNES ENFANTS,fns,cmp2006,appeloffre,initial,Centre municipal d'action sociale,10602,LA CHAPELLE SAINT LUC CEDEX,,"['Repas, traiteur']",[304],non,non
21-24527,2021-02-22,2021-04-23,['10'],CONFECTION ET LIVRAISON DE REPAS POUR ETABLISSEMENT D'ACCUEIL DES JEUNES ENFANTS,fns,cmp2006,appeloffre,initial,Centre municipal d'action sociale,10602,LA CHAPELLE SAINT LUC CEDEX,,"['Repas, traiteur']",[304],non,non
21-8110,2021-02-22,2021-03-15,['11'],mise en oeuvre du docob natura 2000 'piège et collines du lauragais' phase 6,mapa,cmp2006,appeloffre,initial,C.C. Castelnaudary Lauragais Audois,11491,Castelnaudary Cedex,,['Prestations de services'],[274],non,non
21-24453,2021-02-22,2021-03-22,['11'],Traitement sanitaire et restauration d'une collection patrimoniale,mapa,cmp2006,attribution,initial,Département de l'Aude,11855,CARCASSONNE Cedex 9,,"[""Oeuvre d'art"", 'Prestations de services']","[247, 274]",non,non
21-24387,2021-02-22,2021-03-18,"['13', '84', '83']",Maintenance préventive et corrective des aires de jeux et terrains multisports de plein air.,fns,cmp2006,appeloffre,initial,METROPOLE D AIX MARSEILLE PROVENCE,13090,Aix-en-provence,,['Maintenance'],[196],non,oui
21-24650,2021-02-22,2021-03-08,['13'],P2101927 TRAVAUX DE CREATION D'UNE STATION D'ESSAIS DE FREINS SUR LE FAISCEAU FERROVIAIRE DE GRAVELEAU,fns,cmp2006,appeloffre,initial,GRAND PORT MARITIME DE MARSEILLE,13226,MARSEILLE,,"['Abris', 'Maintenance', 'Matériaux de construction', 'Matériel ferroviaire', 'Automate']","[1, 196, 198, 206, 402]",non,non
21-24364,2021-02-22,2021-03-25,['13'],Concession De Service Pour La Gestion Et L'Exploitation De La Crèche Les Farfadets,dsp,dsp,appeloffre,initial,Mairie de Roquevaire,13360,Roquevaire,,['Prestations de services'],[274],non,non
21-20776,2021-02-22,2021-03-22,"['13', '83']","Mission de contrôle technique pour la conception et la réalisation de l'opération de réhabilitation des blocs 3 et 4 de l'igh "" tpr2 "" sur le campus de luminy à marseille",fns,cmp2006,appeloffre,initial,CNRS Marseille,13402,Marseille cedex 9,,"['Bâtiment', 'Contrôle technique']","[33, 72]",non,non
21-24685,2021-02-22,2021-05-25,"['13', '83']",Concession de service de courses de vélos,dsp,dsp,appeloffre,initial,GPT INTERET PUB GD PRIX FRANCE CASTELL,13481,Marseille,,['Prestations de services'],[274],non,non
21-24641,2021-02-22,2021-03-16,['13'],21-02F ACCORD CADRE DE FOUNITURES DE MATERIEL ET MATERIAUX DE SIGNALISATION VERTICALE POUR LA COMMUNE DE JOUQUES,fns,cmp2006,appeloffre,initial,Mairie de Jouques,13490,Jouques,,"['Mobilier urbain', 'Panneaux', 'Signalisation']","[231, 261, 322]",non,non
21-24187,2021-02-22,2021-03-16,['13'],Entretien du matériel de cuisine de divers bâtiments sur la Commune de Rognac,fns,cmp2006,appeloffre,initial,Commune de Rognac,13655,ROGNAC,,['Cuisine (équipement)'],[77],non,non
21-24124,2021-02-22,2021-04-22,['13'],réalisation d'une halle multisports couverte (non close) - bd paul liotard -lot 02 - structure bois/acier - couverture en panneaux sandwichs,fns,cmp2006,attribution,initial,Commune de Saint-Victoret,13730,Saint-Victoret,"[('2021-02-17', 'Les Charpentiers des Alpes et Provence', (164459.87, 'EUR'), None)]","['Charpente', 'Couverture']","[57, 74]",non,non
21-24330,2021-02-22,2021-03-22,"['14', '50']","réalisation de parking, d'un giratoire, de zone humide et d'un renforcement de voirie à Mortain Romagny (50) (rectificatif)",fns,cmp2006,appeloffre,rectificatif,SHEMA,14018,Caen cedex,,"['Assainissement', 'Clôture', 'Espaces verts', 'Signalisation', 'Terrassement', 'Voirie et réseaux divers']","[18, 64, 116, 322, 341, 366]",oui,non
21-24568,2021-02-22,2021-03-24,['14'],MEZIDON Programme 1091 - Tavaux de rénovation de 31 Collectifs,fns,cmp2006,appeloffre,initial,PARTELIOS HABITAT,14280,Saint Contest,,"['Bardage', 'Bâtiment', 'Carrelage', 'Démolition', 'Echafaudage', 'Electricité (travaux)', 'Etanchéité', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Serrurerie', 'Déchets non ménagers (prestations)']","[30, 33, 53, 87, 101, 105, 117, 222, 264, 270, 308, 321, 404]",non,non
21-24484,2021-02-22,2021-03-23,['16'],Marché de travaux pour la réhabilitation du 18 boulevard de la République à Angoulême,fns,cmp2006,appeloffre,initial,SAEML Territoires Charente,16000,ANGOULEME,,"['Bâtiment', ""Tous corps d'état""]","[33, 345]",non,non
21-24539,2021-02-22,2021-03-10,['16'],Travaux de réhabilitation pour l'aménagement du 49/51 boulevard Besson Bey à Angoulême,fns,cmp2006,appeloffre,initial,Syndicat Mixte du Pôle Image MAGELIS,16000,ANGOULÊME,,['Bâtiment'],[33],non,non
21-24683,2021-02-22,2021-03-08,['17'],"Conception d'un Intranet "" Personnel "" et d'un Intranet "" Etudiant ""Il s'agit de mettre à disposition du personnel (BIATSS, enseignants, chercheurs...), quel que soit le support (ordin",fns,cmp2006,appeloffre,initial,Université de La Rochelle,17031,La rochelle,,['Informatique (prestations de services)'],[163],non,non
21-24253,2021-02-22,2021-04-07,['17'],ENTRETIEN ET TRANSPORT DES PIANOS DU CONSERVATOIRE DE MUSIQUE DE LA COMMUNAUTE D'AGGLOMERATION DE LA ROCHELLE,mapa,cmp2006,appeloffre,initial,CDA LA ROCHELLE,17086,La Rochelle,,"['Instruments de musique', 'Maintenance', 'Transport']","[166, 196, 347]",non,non
21-24670,2021-02-22,2021-03-04,"['29', '22', '35', '56']",Diagnostic du fonctionnement hydrologique de l'étang du Fret (29 122)Commune de Crozon (29),fns,cmp2006,appeloffre,rectificatif,Conservatoire du littoral,17306,Rochefort cédex,,['Etude'],[118],non,non
21-24447,2021-02-22,2021-03-22,['18'],Assistance à Maîtrise d'Ouvrage pour la réalisation d'une étude de faisabilité et de programmation urbaine - Presqu'île du Prado à Bourges,mapa,cmp2006,appeloffre,initial,Ville de Bourges,18000,BOURGES,,['Etude'],[118],non,non
21-24179,2021-02-22,2021-03-15,['19'],CREATION D'UNE VOIE D'ACCES A LA ZAC DE LA RIVIERE DEPUIS LA RD 921,fns,cmp2006,appeloffre,initial,COMMUNAUTE D'AGGLO DU BASSIN DE BRIVE,19103,Brive,,['Terrassement'],[341],non,non
21-24531,2021-02-22,2021-04-22,['19'],"Acquisition, mise en oeuvre et maintenance du système de Gestion Electronique de Document",fns,cmp2006,appeloffre,initial,Mairie de BRIVE LA GAILLARDE,19312,Brive,,['Logiciel'],[186],non,non
21-24092,2021-02-22,2021-03-10,"['20B', '20A']",Appel à candidature pour les prestations de Gardiennage et de surveillance du Port de Commerce de Bastia,joue,directive24,appeloffre,initial,CCI de Corse,20200,Bastia,,['Prestations de services'],[274],non,non
21-24246,2021-02-22,2021-03-16,['20B'],"Missions de vérification et de contrôle technique, périodiques et ponctuelles, des ERP, ERT et des divers équipements de la Ville de Bastia",fns,cmp2006,appeloffre,initial,COMMUNE DE BASTIA,20410,Bastia,,['Contrôle technique'],[72],non,non
