index,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-158305,2020-12-29,2021-01-28,['1'],Accord cadre multi-attributaires relatif à des prestations d'accompagnement dans le cadre de recrutements,fns,cmp2006,attribution,initial,ACG-SYNERGIES,01000,Bourg-en-Bresse,,['Prestations de services'],[274],non,non
1,20-158481,2020-12-29,2021-01-26,"['1', '74', '73', '69', '38', '42', '71']",Maintenance de serveurs permettant la mise en ligne du SIG,fns,cmp2006,appeloffre,initial,SI D ENERGIE ET DE E COMMUNIC DE L AIN,01006,Bourg-en-bresse cedex,,['Maintenance'],[196],non,non
2,20-158855,2020-12-29,2021-03-01,['2'],SIPDSP2020,dsp,autre,attribution,initial,SIPRODES,02200,Soissons,"[('2020-11-24', 'SUEZ Eau France, agence Picardie', (2654000, 'EUR'), 'Concession sous forme de délégation de service public de type affermage pour la gestion du service eau potable des communes de Billy sur Aisne Venizel')]",['Abonnement'],[2],non,non
3,20-158792,2020-12-29,2021-02-28,['2'],fourniture et pose d'un système de vidéoprotection - contrat de maintenance sur la commune de la capelle,fns,cmp2006,attribution,initial,Commune de LA CAPELLE,02260,La Capelle,"[('2020-12-02', 'CEGELEC', (114200, 'EUR'), None), ('2020-12-02', 'CEGELEC', (114200, 'EUR'), None)]",['Télésurveillance'],[415],non,non
4,20-136306,2020-12-29,2021-01-19,['6'],mission de maîtrise d'oeuvre relative à l'extension des abattoirs de puget-théniers,fns,cmp2006,appeloffre,initial,Syndicat mixte Abattoir du Mercantour,06260,Puget-Théniers,,"[""Maîtrise d'oeuvre""]",[197],non,non
5,20-158631,2020-12-29,2021-01-28,['6'],Numéro de la consultation : 20200982 TRAVAUX DE CREATION ET DE REPARATION DE RESEAUX D'ARROSAGEConsultation lancée par un groupement de commandes composé des membres suivants :- Communauté d&apos,fns,cmp2006,appeloffre,initial,COMMUNE DE CANNES,06406,CANNES,,['Arrosage'],[13],oui,non
6,20-158704,2020-12-29,2021-01-29,['7'],PRESTATION DE DIAGNOSTIC : CONSTRUCTION DU PARCOURS FORMATION DES BENEFICIAIRES DU RSA DU DEPARTEMENT DE L'ARDECHE,fns,cmp2006,attribution,initial,Département de l'Ardèche,07007,Privas cedex,"[('2020-12-28', 'IMPACT-H', (202125, 'EUR'), None)]",['Prestations de services'],[274],non,non
7,20-158749,2020-12-29,2021-01-29,['7'],"FOURNITURE ET LIVRAISON, FRANCO DE PORT, DE FILTRES",fns,cmp2006,attribution,initial,Département de l'Ardèche,07007,Privas,"[('2020-12-28', 'HIFI FILTER FRANCE SAS', (110000, 'EUR'), None)]",['Pièces détachées'],[266],non,non
8,20-158467,2020-12-29,2021-01-26,['8'],LOCATION ET MAINTENANCE DES PHOTOCOPIEURS MULTIFONCTIONS N/B ET IMPRIMANTES-.,fns,cmp2006,appeloffre,initial,Mairie de Sedan,08200,SEDAN,,['Prestations de services'],[274],non,non
9,20-158651,2020-12-29,2021-01-31,['11'],La location longue durée et la maintenance d'un véhicule léger médicalisé (VLM) pour le SMUR du Centre Hospitalier de Carcassonne,fns,cmp2006,attribution,initial,Centre Hospitalier de Carcassonne,11010,Carcassonne cedex,,"['Prestations de services', 'Véhicules (location)']","[274, 474]",non,non
10,20-149450,2020-12-29,2021-01-29,['11'],"Acquisition de réactifs vétérinaires pour la réalisation d'analyses de santé animale par technique de PCR, pour le Laboratoire Vétérinaire Départemental de l'Aude",fns,cmp2006,attribution,initial,Département de l'Aude,11855,CARCASSONNE Cedex 9,"[('2020-12-22', 'LIFE TECHNOLOGIES SAS', (100000.0, 'EUR'), None)]","['Laboratoire (fourniture)', 'Réactifs']","[181, 301]",non,non
11,20-158465,2020-12-29,2021-01-29,['12'],extension de la maison de santé pluridisciplinaire d'onet le château lot 7 (plâtrerie) et lot 10 (sol en résine),fns,cmp2006,appeloffre,initial,Cté d'Agglomération du Grand Rodez,12035,Rodez cedex 9,,"['Plâtrerie', 'Revêtements de sols']","[269, 308]",non,non
12,20-158810,2020-12-29,2021-01-29,['13'],Fourniture et maintenance d'un engin de type tireur-pousseur de matériels roulants ferroviaires et de bogies pour l'atelier ferroviaire de Marignane de la RDT13.,fns,cmp2006,appeloffre,initial,RDT13,13097,Aix en provence cx 2,,"[""Tous corps d'état""]",[345],non,non
13,20-158577,2020-12-29,2021-01-25,['13'],MAPA2020-15 CREATION D'UN FORAGE D'EXPLOITATION D'EAU POTABLE F4 - STATION DE POMPAGE DES MEJADES A SAINT REMY DE PROVENCE,fns,cmp2006,appeloffre,initial,CCVBA,13210,Saint-Rémy-de-Provence,,"['Forage', ""Travaux dans l'eau""]","[132, 349]",non,oui
14,20-158638,2020-12-29,2021-03-28,['13'],"Travaux de réaménagement du Palais de la Bourse - 3 lotsAile nord du rez-de-chaussée, aile ouest de l'entresol, angle nord-est du R+1, zone partielle du ouest, aile ouest du R+2 et ailes nord et",fns,cmp2006,attribution,initial,CCI Marseille Provence,13221,Marseille cedex 01,"[('2020-11-27', 'SAS STMS BATIMENT', (1260000, 'EUR'), None), ('2020-11-27', 'SAS SCAE', (303985.13, 'EUR'), None), ('2020-11-27', 'SAS energétique sanitaire', (407000, 'EUR'), None)]","['Maçonnerie', ""Tous corps d'état""]","[195, 345]",non,non
15,20-158734,2020-12-29,2021-03-28,['13'],Vérifications réglementaires des installations électriques et des équipements de l'Activité Fluides du GPMM,mapa,cmp2006,attribution,initial,GRAND PORT MARITIME DE MARSEILLE,13226,MARSEILLE,,['Contrôle technique'],[72],non,non
16,20-158699,2020-12-29,2021-01-28,['13'],La Ville d'AUBAGNE souhaite développer et renforcer son dispositif de vidéo protection sur son territoire. Les images issues de ces caméras sont exploitées par un Centre de Supervision Urbain (CS,fns,cmp2006,appeloffre,initial,COMMUNE D AUBAGNE,13400,Aubagne,,"['Maintenance', 'Matériel de sécurité', 'Optique', 'Surveillance']","[196, 209, 248, 331]",non,non
17,20-158853,2020-12-29,2021-03-28,['13'],TRAVAUX DE CABLAGE DANS LES ECOLES ET AUTRES BATIMENTS COMMUNAUX,fns,cmp2006,attribution,initial,Ville d'Arles,13637,Arles,"[('2020-12-18', 'Arcom Provence SARL', (160000, 'EUR'), None)]","['Câblage', 'Electricité (travaux)']","[47, 105]",non,non
18,20-158585,2020-12-29,2021-01-21,['13'],Numéro de la consultation : 2020/TX/0066 Travaux de fourniture et pose de clôtures,fns,cmp2006,appeloffre,initial,COMMUNE LES PENNES MIRABEAU,13758,LES PENNES MIRABEAU,,['Clôture'],[64],non,non
19,20-158572,2020-12-29,2021-03-01,['13'],"Création d'une aire de Street Workout et Fitness, située avenue René Cassin à Fos-sur-Mer - Lot 2 : EQUIPEMENTS ET SOLS SPORTIFS.",fns,cmp2006,attribution,initial,Ville de Fos-sur-Mer,13771,Fos sur mer cedex,"[('2020-12-23', 'APY MEDITERRANEE', (46104.41, 'EUR'), None)]",['Voirie et réseaux divers'],[366],non,non
20,20-158833,2020-12-29,2021-01-27,['16'],Travaux de réaménagement de locaux au Campus des Valois,fns,cmp2006,appeloffre,initial,Département de la Charente,16917,ANGOULEME,,"['Electricité (travaux)', 'Maçonnerie', 'Menuiserie', 'Peinture (travaux)', 'Revêtements de sols']","[105, 195, 222, 264, 308]",non,non
21,20-158561,2020-12-29,2021-03-25,['18'],Maintenance des groupes électrogènes sur les différents sites du SDIS du Cher,fns,cmp2006,attribution,initial,SDIS 18 Cher,18023,Bourges cedex,,"['Groupe électrogène', 'Maintenance']","[143, 196]",non,oui
22,20-158716,2020-12-29,2021-01-21,['19'],Sécurisation et amélioration des ouvrages d'eau potable de la CABB : MARCHE A BONS DE COMMANDE,fns,cmp2006,appeloffre,initial,COMMUNAUTE D'AGGLO DU BASSIN DE BRIVE,19103,Brive,,['Ouvrage hydraulique'],[255],non,non
23,20-158719,2020-12-29,2021-01-20,"['20A', '20B']",Numéro de la consultation : 2020-3DIP-0409 RD 31 AMENAGEMENT DE L'ACCES A L'HÔPITAL COMMUNE D'AIACCIU - RELANCE DU LOT 1 VRD,fns,cmp2006,appeloffre,initial,COLLECTIVITE DE CORSE,20187,AJACCIO,,['Voirie'],[365],non,non
24,20-158860,2020-12-29,2021-01-29,"['20A', '20B']",EXTENSION DE LA PLATEFORME DE COMPOSTAGE SUR LE SITE DE VIGGIANELLO,fns,cmp2006,appeloffre,initial,SYND MIXTE VALORISATION DECHETS CORSE,20250,CORTE,,['Déchetterie (travaux)'],[96],non,non
25,20-158738,2020-12-29,2021-03-28,['21'],Marché public de prestation de services en assurances,fns,cmp2006,attribution,initial,COMMUNE DE FONTAINE LES DIJON,21121,Fontaine-lès-Dijon,,['Assurance'],[20],non,non
26,20-158634,2020-12-29,2021-03-28,['25'],Numéro de la consultation : 2020DMAP0002 MARCHE DE PRECONTENTIEUX ET REPRESENTATION EN JUSTICE POUR LE DEPARTEMENT DU DOUBS,fns,cmp2006,attribution,initial,DEPARTEMENT DU DOUBS,25031,BESANCON Cedex,,['Assistance juridique'],[434],non,non
27,20-158519,2020-12-29,2021-02-15,['25'],concession de service public pour la gestion du complexe touristique,dsp,dsp,attribution,initial,Ville de Baume les Dames,25110,Baume les dames,"[('2020-11-16', 'SAS VACANCES ULVF', (1455000, 'EUR'), ""concession de service public pour la gestion et l'exploitation du complexe touristique"")]",['Délégation de service public'],[406],non,non
28,20-158535,2020-12-29,2021-03-28,['26'],L'entretien ponctuel de la vitrerie des établissements du GHT SDA,fns,cmp2006,attribution,initial,GPT HOSPITALIER PORTES DE PROVENCE,26216,MONTELIMAR,[],['Nettoyage de locaux'],[239],non,oui
29,20-158474,2020-12-29,2021-02-02,"['27', '76']",TRAVAUX DE MISE EN PLACE DU DIAGNOSTIC PERMANENT SUR LES SYSTEMES D'ASSAINISSEMENT ET SUR LE MILIEU NATUREL DE LA COMMUNAUTE D'AGGLOMERATION SEINE-EURE,fns,cmp2006,appeloffre,rectificatif,Agglomération Seine-Eure,27405,LOUVIERS CEDEX,,['Assainissement'],[18],non,non
30,20-158081,2020-12-29,2021-05-15,"['29', '22', '35', '44', '56']",accord-cadre à bons de commande de maîtrise d'oeuvre pour les travaux d'entretien et l'extension des réseaux assainissement collectif et d'eau pluviale de quimperlé communauté,joue,directive24,attribution,initial,CA QUIMPERLE COMMUNAUTE,29394,Quimperlé Cedex,"[('2020-12-01', 'ARTELIA', (98480, 'EUR'), None)]","['Assainissement', 'Assistance technique', 'Canalisations', ""Maîtrise d'oeuvre"", 'Réseaux divers']","[18, 19, 48, 197, 306]",non,non
31,20-158462,2020-12-29,2021-02-08,"['29', '22', '35', '56']",Audit énergétique-thermique et DPE de divers bâtiments municipaux,fns,cmp2006,appeloffre,rectificatif,Ville de Morlaix,29671,Morlaix cedex,,"['Audit', 'Ingénierie']","[21, 455]",non,non
