a00_cle_idweb,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g04_09_resume_objet,g04_061_criteres_sociaux,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_062_criteres_environnementaux,g04_01_date_publication
19-130983,01008,Bourg en bresse cedex,CA DU BASSIN DE BOURG EN BRESSE,['Véhicules (location)'],Transports scolaires et de loisirs pour la Communauté d'Agglomération du Bassin de Bourg-en-Bresse (01000),non,directive24,joue,attribution,initial,non,2019-09-19
19-142788,02000,Laon,DEPARTEMENT DE L'AISNE,['Assistance technique'],Prestation de contrôle de service fait de bilans d'exécution finaux des opérations financées dans le cadre des appels à projets FSE du Département de l'Aisne-.,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-142859,02107,SAINT-QUENTIN,COMMUNE DE SAINT QUENTIN,"['Informatique (prestations de services)', 'Logiciel']","Mise en place d'un annuaire du commerce saint-quentinois sur internet "" Destination Commerce à Saint-Quentin """,non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-19
19-142503,02108,Saint-Quentin,CA DU SAINT QUENTINOIS,['Station de refoulement'],Numéro de la consultation : 19032TNC DOUBLEMENT DES CONDUITES DE REFOULEMENT ET MISE EN PLACE D'UN BY-PASS EN SORTIE DU POSTE DE POMPAGE 'A' A SAINT-QUENTIN,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-141378,02321,Saint quentin,CENTRE HOSPITALIER GENERAL ST QUENTIN,"['Abris', 'Assurance']",Marché de prestation de services d'assurance,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141435,02430,GAUCHY,R.T.A,"['Maintenance', 'Véhicules']",MARCHE DE SERVICE DE MAINTENANCE CURATIVE DE TYPE MÉCANIQUE ET CARROSSERIE POUR LES VÉHICULES DE LA RTA,non,directive25,joue,appeloffre,initial,non,2019-09-19
19-141174,03000,MOULINS,EVOLEA,"['Chauffage (exploitation, entretien)']","CONTRAT D'EXPLOITATION ET DE MAINTENANCE DES INSTALLATIONS DE CHAUFFAGE, DE PRODUCTION D'EAU CHAUDE SANITAIRE ET DE VENTILATION",non,directive24,joue,attribution,initial,non,2019-09-19
19-141472,03000,Avermes,Société d'Équipement de l'Auvergne,['Bâtiment'],Extension Et Rénovation De L'Ehpad Le Bois Joli A Auzances (23),non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141214,03000,MOULINS,EVOLEA,"['Télécommunications', 'Informatique (maintenance serveurs et réseaux)']",ACCORD CADRE A BONS DE COMMANDE DE PRESTATIONS DE SERVICE DE RESEAU DE TELECOMMUNICATION RESEAUX PRIVE ET INTERNET POUR UNE DUREE DE 48 MOIS SANS MONTANT MINIMUM NI MONTANT MAXIMUM.,non,directive24,joue,attribution,initial,non,2019-09-19
19-141729,03006,Moulins,Centre Hospitalier Moulins-Yzeure,['Prestations de services'],financement d'actifs technologiques concernant une infrastructure serveurs.,non,directive24,joue,attribution,initial,non,2019-09-19
