a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-104073,2020-08-20,2020-09-16,"['1', '69', '71', '38', '42']","Assainissement des eaux pluviales : Mise en séparatif du réseau pluvial, place de la mairie et rue du marché",fns,cmp2006,appeloffre,initial,Montmerle-sur-Saône,01090,Montmerle-sur-Saône,,['Assainissement'],[18],non,non
20-103195,2020-08-20,2020-09-26,['1'],"Mise à disposition de bennes à déchets, avec ou sans enlèvement et transport vers les centres de traitement",joue,directive24,appeloffre,initial,Haut-Bugey Agglomération,01117,Oyonnax cedex,,['Benne'],[34],non,oui
20-103460,2020-08-20,2020-09-17,['1'],Mission de contrôleur technique (CT),joue,directive24,appeloffre,initial,SPL TERRITOIRE D'INNOVATION,01210,FERNEY VOLTAIRE,,['Contrôle technique'],[72],non,non
20-104168,2020-08-20,2020-09-09,['1'],"La prestation a pour objet la fourniture et la livraison de repas en liaison froide pour le CCAS de la Ville de Saint-Genis-Pouilly.La prestation comprend l'élaboration des menus, l'approv",fns,cmp2006,appeloffre,initial,MAIRIE,01630,Saint-genis-pouilly,,['Denrées alimentaires'],[88],oui,oui
20-103963,2020-08-20,2020-09-21,['2'],CONSTRUCTION DES RESEAUX PUBLICS DE COLLECTE DES EAUX USEES ET DES EAUX PLUVIALES ET DE LEURS OUVRAGES ANNEXES  AUTRES COMMUNES,fns,cmp2006,appeloffre,initial,Cté d'Agglo du Saint-Quentinois,02108,SAINT QUENTIN CEDEX,,"['Alimentation en eau potable', 'Assainissement']","[6, 18]",non,non
20-104068,2020-08-20,2020-09-18,"['5', '4', '38']",Illumination des remparts de la citée Vauban - Lot unique : Eclairage public et réseaux secs - TRANCHE 1,fns,cmp2006,appeloffre,initial,Ville de Briançon,05100,BRIANCON,,['Eclairage public'],[102],non,non
20-104190,2020-08-20,2020-09-30,['5'],Fourniture de carburants pour les véhicules de la Communauté de Communes du Briançonnais,fns,cmp2006,appeloffre,initial,COMMUNAUTE COMMUNES DU BRIANCONNAIS,05100,Briançon,,"['Carburant, hydrocarbure', 'Carte magnétique, carte à puce']","[52, 403]",non,non
20-104164,2020-08-20,2020-09-15,['5'],"Mission d'appui stratégique, juridique, organisationnelle et financière à la prise de compétence MOBILITÉ",mapa,cmp2006,appeloffre,initial,COMMUNAUTE COMMUNES DU BRIANCONNAIS,05100,Briançon,,['Etude'],[118],non,non
20-103902,2020-08-20,2020-11-17,['6'],Travaux de réparation du bâtiment de la piscine Montfleury : mécanisme de couverture mobile et joints de carrelage,fns,cmp2006,attribution,initial,COMMUNE DE CANNES,06406,CANNES,"[('2020-07-28', 'BC MAINTENANCE EQUIPEMENTS MOBILES', (77355, 'EUR'), None), ('2020-08-03', 'SAGI CONSTRUCTION', (29892, 'EUR'), None)]","['Carrelage', 'Charpente', 'Couverture', 'Piscine']","[53, 57, 74, 265]",non,non
20-103971,2020-08-20,2020-09-17,['6'],Travaux de signalisation horizontale,fns,cmp2006,appeloffre,initial,Commune de Menton,06500,Menton,,['Signalisation'],[322],non,non
