a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-23415,2020-02-16,2020-03-16,['1'],Elagage au lamier le long des routes du Département de l'Ain et sur les autres propriétés du Département,joue,directive24,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,['Espaces verts'],[116],non,non
20-23571,2020-02-16,2020-03-14,['1'],Prestations de nettoyage des locaux et des vitreries des bâtiments de la Caisse d'Allocations Familiales de l'Ain,joue,directive24,attribution,initial,CAF de l'Ain,01011,Bourg en bresse cedex,"[('2019-12-18', 'ATALIAN PROPRETE RHONE ALPES', (85980, 'EUR'), 'Prestations de nettoyage de locaux administratifs et haltes-garderies'), ('2019-12-18', 'GSF ORION', (2667.5, 'EUR'), 'Prestations de nettoyage de vitreries')]",['Nettoyage de locaux'],[239],non,non
20-23080,2020-02-16,2020-03-21,"['2', '51', '77', '21']",Collecte et le traitement de l'ensemble des flux de déchets du territoire de la communauté de communes,joue,directive24,attribution,initial,COM DE COMMUNES CANT CHARLY SUR MARNE,02310,Charly sur marne,"[('2019-10-15', 'SEPUR', (4486745.0, 'EUR'), ""Collecte et le traitement de l'ensemble des flux de déchets du territoire de la communauté de communes""), ('2019-10-15', 'MINERIS', (180400.0, 'EUR'), ""Collecte et le traitement de l'ensemble des flux de déchets du territoire de la communauté de communes""), ('2019-10-15', 'VEOLIA', (2291900.0, 'EUR'), ""Collecte et le traitement de l'ensemble des flux de déchets du territoire de la communauté de communes""), ('2019-10-15', 'VEOLIA', (1667680.0, 'EUR'), ""Collecte et le traitement de l'ensemble des flux de déchets du territoire de la communauté de communes""), ('2019-10-15', 'SUEZ', (1480037.36, 'EUR'), ""Collecte et le traitement de l'ensemble des flux de déchets du territoire de la communauté de communes""), ('2019-10-15', 'SUEZ', (4333839.2, 'EUR'), ""Collecte et le traitement de l'ensemble des flux de déchets du territoire de la communauté de communes"")]",['Ordures ménagères (prestations)'],[249],non,non
20-24040,2020-02-16,2020-03-23,['2'],Marché de services d'entretien pour les sites de la Communauté d'Agglomération de la région de Château Thierry-.,joue,directive24,appeloffre,initial,CA DE LA REGION DE CHATEAU THIERRY,02400,Château-Thierry,,['Nettoyage de locaux'],[239],non,non
20-15844,2020-02-16,2020-05-12,['3'],acquisition de matériaux pour travaux de voirie en régie,joue,directive24,attribution,initial,Ville de Vichy,03201,Vichy cedex,,"['Espaces verts', 'Maçonnerie', 'Matériaux routiers', 'Réseaux divers', 'Voirie']","[116, 195, 199, 306, 365]",non,non
20-23777,2020-02-16,2020-02-28,['4'],MARCHE DE NETTOYAGE ET D'ENTRETIEN DES SITES DE LA CPAM DES ALPES DE HAUTE-PROVENCE,joue,directive24,attribution,initial,CPAM dse Alpes de Haute-Provence,04010,Digne-les-bains cedex,"[('2019-12-12', 'SARL LEONETTI HYGIENE MAINTENANCE', (70207.08, 'EUR'), ""MARCHE DE NETTOYAGE ET D'ENTRETIEN DES SITES DE LA CPAM DES ALPES DE HAUTE PROVENCE"")]",['Nettoyage de locaux'],[239],non,non
20-23760,2020-02-16,2020-03-19,['5'],Marché de travaux pour la conception-réalisation d'un abattoir multi-espèces.Zone du Moulin du Pré Routed e la Luye 05000 Gap,joue,directive24,appeloffre,initial,Ville de Gap,05007,Gap,,['Bâtiment'],[33],oui,non
20-23643,2020-02-16,2020-04-03,['5'],Mise à jour des schémas directeurs d'alimentation en eau potable des communes membres de la Ccspva,joue,directive24,appeloffre,initial,Cté Cnes Serre-Poncon Val d'Avance,05230,La Bâtie Neuve,,['Alimentation en eau potable'],[6],non,non
20-23311,2020-02-16,2020-04-14,['6'],Travaux d'aménagement d'une crèche située dans le secteur de la rue Trachel - Relance 19V1206 Lot N°2 :Serrurerie-Occultation-Protection solaire.,joue,directive24,appeloffre,initial,COMMUNE DE NICE,06000,Nice,,"['Equipements spécialisés', 'Serrurerie']","[115, 321]",oui,oui
20-23733,2020-02-16,2020-03-31,['6'],Mission de Commissariat aux Comptes pour la Chambre de Commerce et d Industrie Nice Côte d Azur,joue,directive24,appeloffre,initial,CCI de Nice Côte d'Azur,06005,Nice cedex 1,,['Prestations de services'],[274],non,non
20-23285,2020-02-16,2020-04-13,['6'],Prestations de nettoyage des voies,joue,directive24,attribution,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,"[('2020-02-13', 'Groupement DRAGUI-TRANSPORT S.A. (mandataire) et DEVERRA S.A.', (4400000, 'EUR'), 'Prestations de nettoyage des voies')]",['Prestations de services'],[274],non,non
20-23935,2020-02-16,2020-03-23,['6'],Accords cadre avec émission de bons de commande de titres restaurants pour le personnel du Centre de gestion de la fonction publique territoriale des Alpes-Maritimes (CDG06),joue,directive24,appeloffre,initial,CDGFTP06,06704,Saint Laurent du Var,,['Titres restaurant'],[416],non,non
20-22844,2020-02-16,2020-04-02,['6'],"accord cadre pour l'entretien des installations d'eclairage des parcs, jardins, complexes sportifs et monuments",joue,directive24,appeloffre,initial,Ville de Cagnes sur Mer,06800,CAGNES-SUR-MER,,['Eclairage public'],[102],non,non
20-23942,2020-02-16,2020-04-01,['7'],Réaménagement des surfaces existantes du : - Château 2310 mètres carrés sur 4 niveaux - Bâtiment rue des marronniers 2050 mètres carrés sur 3 niveaux - Construction éventuelle dans la cour,joue,directive24,appeloffre,initial,Syndicat départ. d'équipt de l'Ardèche,07003,Privas,,"['Prestations de services', 'Ingénierie']","[274, 455]",non,non
