,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,21-75643,2021-06-06,2021-08-04,"['1', '69']","exploitation et maintenance des installations de chauffage, ventilation et climatisation des bâtiments communaux",joue,directive24,attribution,initial,Ville de Bourg-en-Bresse,01000,Bourg-en-Bresse,"[('2021-01-28', 'DALKIA', (1966904, 'EUR'), 'Exploitation maintenance des installations de chauffage, ventilation et climatisation des bâtiments communaux')]","['Chauffage (exploitation, entretien)', 'Climatisation', 'Ventilation']","[59, 62, 360]",non,oui
1,21-76230,2021-06-06,2021-09-01,['1'],Achat de véhicules neufs de tourisme et utilitaires aménagés pour la Communauté de communes du Pays Bellegardien - Lot no 3 - Véhicule pour la police intercommunale,joue,directive24,attribution,initial,COM DE COMMUNES DU PAYS BELLEGARDIEN,01200,Valserhone,"[('2021-05-28', 'Etablissements Carrel', (21161.14, 'EUR'), None)]",['Véhicules (acquisition)'],[475],non,non
2,21-75802,2021-06-06,2021-09-01,['1'],"Entretien des espaces verts, fauchage et débroussaillage et l'entretien des terrains de sport",joue,directive24,attribution,initial,Commune de Valserhone,01206,Valserhône cedex,,['Informatique (matériel)'],[162],non,non
3,21-75541,2021-06-06,2021-06-16,['2'],"Location avec option d'achat de tracteurs routiers neufs pour l'exploitation de centres de transfert situés à laon-faubourg de leuilly, villeneuve saint germain et -. (rectificatif)",joue,autre,rectificatif,rectificatif,Valor'Aisne,02000,LAON,,"['Equipement industriel', 'Location (matériels)', 'Informatique (assistance)']","[112, 185, 453]",non,oui
4,21-64724,2021-06-06,2021-06-30,['2'],Travaux portant sur le projet urbain et le pôle d'échange multimodal de la Gare à Soissons,joue,directive24,attribution,initial,Cté. d'Agglo. du Soissonnais,02880,Cuffies,,"['Charpente', 'Couverture', 'Eclairage public', 'Electricité (travaux)', 'Espaces verts', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Ravalement', 'Serrurerie', 'Signalisation', 'Voirie', 'Voirie et réseaux divers']","[57, 74, 102, 105, 116, 144, 222, 264, 269, 299, 321, 322, 365, 366]",oui,non
5,21-76291,2021-06-06,2021-07-09,['4'],Travaux De Construction D'Une Nouvelle Usine Intercommunale D'Eau Potable Sur Le Site De Precombaux A Manosque Et Extension De L'Usine Actuelle,joue,directive24,appeloffre,initial,DURANCE LUBERON VERDON AGGLOMERATION,04100,Manosque,,['Alimentation en eau potable'],[6],non,non
6,21-75903,2021-06-06,2021-07-12,"['4', '5']",Traitement des ordures ménagères résiduelles de la Communauté de Communes du Sisteronais-Buëch,joue,directive24,appeloffre,initial,CC DU SISTERONAIS BUECH,04200,Sisteron,,['Ordures ménagères (prestations)'],[249],non,non
7,21-75850,2021-06-06,2021-06-29,['5'],Passation de marchés d assurances risques statutaires au profit du Centre de Gestion et collectivités et entités publiques l ayant mandatés à cet effet pour la passation de leurs contrats.,joue,autre,rectificatif,rectificatif,CDG 05,05000,GAP,,['Assurance'],[20],non,non
8,21-11851,2021-06-06,2021-07-07,"['6', '75', '13', '83']",diagnostic des microcentrales hydroelectriques du sicasil,joue,directive24,appeloffre,initial,SICASIL,06150,Cannes-la-Bocca,,"['Etude', 'Ouvrage hydraulique']","[118, 255]",non,non
9,21-75096,2021-06-06,2021-08-04,['6'],"fourniture, impression et livraison de signalétique destinée aux parcs naturels départementaux ainsi qu'aux randonnées et activités de pleine nature",joue,directive24,attribution,initial,Département des Alpes-Maritimes,06200,Nice,,['Signalétique'],[333],non,oui
10,21-76023,2021-06-06,2021-07-23,['6'],"Accord-cadre mono attributaire à marchés subséquents de prestations de maîtrise d'oeuvre pour les diagnostics, la création et la réalisation de fontaines, sur la commune de Mandelieu-La Napoule",joue,directive24,appeloffre,initial,Ville de Mandelieu La Napoule,06212,MANDELIEU-LA NAPOULE Cedex,,"[""Maîtrise d'oeuvre"", 'Ingénierie']","[197, 455]",non,non
11,21-75572,2021-06-06,2021-08-06,['6'],"Prestations de maîtrise d'oeuvre pour la création d'ilots de fraicheur dans les cours d'écoles, centres de loisirs, établissements et places publiques",joue,directive24,attribution,initial,Ville de Mandelieu La Napoule,06212,MANDELIEU Cedex,,"[""Maîtrise d'oeuvre"", 'Ingénierie']","[197, 455]",non,non
12,21-75581,2021-06-06,2021-07-09,"['6', '13', '83']",souscription et gestion de contrats d'assurances,joue,directive24,appeloffre,initial,Mairie de Villeneuve-Loubet,06270,Villeneuve-Loubet,,['Assurance'],[20],non,non
13,21-76099,2021-06-06,2021-08-08,['6'],Fourniture et maintenance de stations de lavage avec appareils d'aspiration et location d'autolaveuses,joue,directive24,attribution,initial,SDIS (06),06273,Villeneuve-Loubet Cedex,"[('2021-05-03', 'REMA MEDITERRANEE', (25583, 'EUR'), ""acquisition et installation de stations fixes de nettoyage haute pression eau chaude et eau froide et de centrales d'aspiration""), ('2021-05-03', 'REMA MEDITERRANEE', (4500, 'EUR'), ""maintenance préventive et corrective, des acquisitions du lot no1 n'entrant plus dans le champs de la durée de la garantie du parc existant""), ('2021-05-03', 'REMA MEDITERRANEE', (8472, 'EUR'), ""location avec maintenance préventive et corrective d'autolaveuses destinées au nettoyage des sols des garages et annexes des centres de secours."")]","['Arrosage', 'Equipement hydraulique', 'Location (matériels)', 'Maintenance', 'Prestations de services']","[13, 111, 185, 196, 274]",non,non
