,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-96103,2020-07-28,2020-09-28,['1'],"désamiantage, fourniture et pose de toiture bac acier",mapa,cmp2006,attribution,initial,SDIS de L'Ain,01000,bourg en bresse,,"['Couverture', 'Amiante (désamiantage)']","[74, 479]",non,non
1,20-92930,2020-07-28,2020-08-10,['1'],logistique pour le département de l'ain - tour de france 2020,mapa,cmp2006,appeloffre,initial,Département de l'Ain,01003,Bourg en bresse cedex,,['Evénementiel'],[445],non,non
2,20-96237,2020-07-28,2020-08-05,['1'],Intervention des huissiers de justice pour le recouvrement amiable (phase comminatoire amiable) des créances prises en charge par les comptables de la Direction générale des Finances publiques (DGF..,fns,cmp2006,appeloffre,initial,DIRECTION DEP FIN PUBLIQUES AIN,01012,Bourg-en-bresse cedex,,['Assistance juridique'],[434],non,non
3,20-95823,2020-07-28,2020-08-28,['2'],Matériel informatique et mobilier de bureaux pour la mise en place de tiers-lieux numériques-.,mapa,cmp2006,appeloffre,initial,COM DE COMMUNES PORTES THIERACHE,02360,ROZOY-SUR-SERRE,,"['Informatique (matériel)', 'Mobilier']","[162, 230]",non,non
4,20-96157,2020-07-28,2020-08-31,"['3', '63']",Prestation pour la mise en oeuvre d'une action d'insertion sur le site du Montoncel avec pour coeur d'activité l'entretien et la signalétique des chemins de randonnée,mapa,cmp2006,appeloffre,initial,Vichy Communauté,03209,Vichy,,['Prestations de services'],[274],non,non
5,20-96166,2020-07-28,2020-10-25,['5'],"Prestations de sécurité des personnes, Malveillance de l'événementiel et SSIAP",fns,cmp2006,attribution,initial,Ville de Gap,05007,GAP,,['Surveillance'],[331],non,non
6,20-95718,2020-07-28,2020-09-07,['6'],Prestations de reprographie pour le Service départemental d'incendie et de secours des Alpes-Maritimes,fns,cmp2006,appeloffre,initial,SDIS (06),06273,Villeneuve Loubet Cedex,,['Imprimés'],[161],non,non
7,20-95876,2020-07-28,2020-08-27,['6'],Numéro de la consultation : 20200498 Travaux pour la réalisation de 30 enfeus au Cimetière de l'Abadie Annexe - Cannes,fns,cmp2006,appeloffre,initial,COMMUNE DE CANNES,06406,CANNES,,"['Bâtiment', 'Cimetière']","[33, 437]",non,non
8,20-96158,2020-07-28,2020-08-18,['6'],Travaux de restauration du clocher de l'église Notre Dame d'Espérance,fns,cmp2006,appeloffre,rectificatif,COMMUNE DE CANNES,06406,CANNES,,"['Charpente', 'Electricité (travaux)', 'Menuiserie']","[57, 105, 222]",non,non
9,20-27481,2020-07-28,2020-09-02,['6'],Mission de maîtrise d'oeuvre pour la réorganisation de l'office du tourisme de Valberg,fns,cmp2006,appeloffre,initial,Syndicat Intercommunal de Valberg,06470,Valberg,,"[""Maîtrise d'oeuvre""]",[197],non,non
