a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-61574,2020-05-14,2020-06-17,['1'],"désamiantage, fourniture et pose de toiture bac acier",mapa,cmp2006,appeloffre,initial,SDIS de L'Ain,01000,bourg en bresse,,"['Couverture', 'Amiante (désamiantage)']","[74, 479]",non,oui
20-64029,2020-05-14,2020-06-08,['1'],"Travaux de signalisation horizontale et la fourniture de panneaux de signalisation verticale permanente ou temporaire, et de signalisation directionnelle, de panneaux et numéros de rues et de supports",fns,cmp2006,appeloffre,rectificatif,Commune de Valserhone,01206,Valserhône cedex,,['Signalisation'],[322],non,non
20-64037,2020-05-14,2020-06-18,['1'],réalisation d'un complexe sportif couvert,fns,cmp2006,appeloffre,rectificatif,COMMUNE DE FOISSIAT,01340,Foissiat,,['Bâtiment'],[33],non,non
20-62843,2020-05-14,2020-06-05,['2'],Ecole maternelle Hélène BOUCHER : Remplacement des menuiseries extérieures façade Nord et peinture.,mapa,cmp2006,appeloffre,initial,Ville de Laon,02000,Laon,,"['Menuiserie', 'Peinture (travaux)']","[222, 264]",non,non
20-64342,2020-05-14,2020-05-26,['2'],Travaux de réparations des couvertures sur la Basilique de Saint-Quentin et restauration de la baie sud de la travée de l'orgue,fns,cmp2006,appeloffre,rectificatif,COMMUNE DE SAINT QUENTIN,02107,SAINT-QUENTIN,,"['Charpente', 'Couverture', 'Maçonnerie', 'Monuments historiques']","[57, 74, 195, 236]",non,non
20-64112,2020-05-14,2020-06-18,['2'],Investigations complémentaires (inspections télévisuelles et tests à la fumée) préconisées lors de l'Etude ' diagnostic ' Assainissement,fns,cmp2006,appeloffre,initial,CA Chauny-Tergnier-La Fère,02300,CHAUNY,,['Assainissement'],[18],non,non
20-64299,2020-05-14,2020-08-11,['3'],Extension de l'usine AL Industrie à Chantelle - Marché de maîtrise d'oeuvre,fns,cmp2006,attribution,initial,CC Saint Pourcain Sioule Limagne,03500,Saint-Pourçain-sur-Sioule,"[('2020-03-18', 'ESTEVES JACQUES', (112500, 'EUR'), None)]","[""Maîtrise d'oeuvre""]",[197],non,non
20-64228,2020-05-14,2020-08-11,['3'],Réalisation de prestations d'entretien et de maintenance courante des voies ferrées de la Communauté de communes Saint-Pourçain Sioule Limagne,fns,cmp2006,attribution,initial,CC Saint Pourcain Sioule Limagne,03500,Saint-Pourçain-sur-Sioule,"[('2020-01-30', 'LA FERROVIAIRE DE LA BRIE SAS BRIEFER', (60000, 'EUR'), None)]",['Voies ferrées'],[364],non,non
20-64290,2020-05-14,2020-06-11,['4'],Numéro de la consultation : 20SCST003 Fourniture de panneaux de signalisation temporaire urgente pour le patrimoine départemental,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,['Panneaux'],[261],non,non
20-64000,2020-05-14,2020-08-11,['5'],Maintenance des installations de chauffage et de rafraîchissements des bâtiments,fns,cmp2006,attribution,initial,Ville de Gap,05007,GAP,,['Maintenance'],[196],non,non
20-62943,2020-05-14,2020-06-12,['6'],CHU DE NICE - FALAISE BIH - TRAVAUX DE SECURISATION ET DE CONFORTEMENT (SECTEURS 1-2-5),joue,directive24,attribution,initial,C.H.U. de Nice,06003,Nice cedex 1,,['Voirie'],[365],non,non
