,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,19-151209,2019-10-09,2019-12-31,"['1', '71', '69', '38']",Supervision du réseau et des équipements actifs du réseau LI@IN,joue,directive24,attribution,initial,SI D ENERGIE ET DE E COMMUNIC DE L AIN,01006,Bourg-en-bresse cedex,"[('2019-09-30', 'AXIONE', (3466375.57, 'EUR'), 'Centre Opérations Réseau (NOC)'), ('2019-09-30', 'R-OPTIQUE', (312820, 'EUR'), 'Service Technique Client (STC)')]",['Réseaux divers'],[306],non,non
1,19-151685,2019-10-09,2019-11-10,['1'],Mise en place d'un jumeau numérique du smart grid multi énergies de Ferney Genève Innovation,joue,directive24,attribution,initial,SPL TERRITOIRE D'INNOVATION,01210,FERNEY VOLTAIRE,"[('2019-09-12', 'SEED ENERGY', (231450, 'EUR'), 'Jumeau numérique')]","['Informatique (prestations de services)', 'Logiciel']","[163, 186]",non,non
2,19-153176,2019-10-09,2019-10-25,['2'],travaux de réhabilitation de la ventilation mécanique contrôlée (vmc) et de la centrale de traitement de l'air (cta) de la direction départementale des territoires de l'aisne à laon (02000).,fns,cmp2006,appeloffre,initial,DDT de l'Aisne,02000,Laon,,['Ventilation'],[360],non,non
3,19-153040,2019-10-09,2019-11-08,['2'],Travaux généraux daménagement de bâtiments,fns,cmp2006,appeloffre,initial,Groupe ephese,02350,LIESSE NOTRE DAME,,"['Carrelage', 'Charpente', 'Cloison, faux plafond', 'Electricité (travaux)', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Serrurerie', ""Tous corps d'état""]","[53, 57, 63, 105, 222, 264, 270, 321, 345]",non,oui
4,19-153289,2019-10-09,2019-11-05,['2'],TRAVAUX D'AMENAGEMENT DU CHEMIN DU CLOTEL-.,fns,cmp2006,appeloffre,initial,VILLE DE NEUILLY SAINT FRONT,02470,NEUILLY-SAINT-FRONT,,"[""Ouvrage d'infrastructure""]",[253],non,non
5,19-151654,2019-10-09,2020-01-04,['3'],Traitement des encombrants non incinérables issus des déchèteries du Sictom Nord Allier,joue,directive24,attribution,initial,SYND MIXTE COLLECTE TRAITEMENT ORDURES,03230,Chézy,"[('2019-09-26', 'Suez Rv Centre Est', (304640, 'EUR'), None)]",['Déchets non ménagers (prestations)'],[404],non,non
6,19-153154,2019-10-09,2019-11-05,['5'],CONSTRUCTION D'UN CENTRE AQUALUDIQUE et Fermeture mobile du bassin de 50 m extérieur-ÉTUDE DE PROGRAMMATION ET MISSION D'ASSISTANCE A MAITRISE D'OUVRAGE POUR LE STADE NAUTIQUE DE FO,mapa,cmp2006,appeloffre,initial,Ville de Gap,05007,GAP,,"['Assistance technique', 'Prestations de services', 'Terrain de sport']","[19, 274, 342]",non,non
7,19-153284,2019-10-09,2019-11-05,['5'],"Mise à disposition de contenants, transport et traitement des déchets inertes, déchets verts, encombrants, bois, ferrailles, cartons et pneus",fns,cmp2006,appeloffre,initial,COMMUNAUTE COMMUNES DU BRIANCONNAIS,05100,Briançon,,['Déchets non ménagers (prestations)'],[404],non,non
8,19-152724,2019-10-09,2019-11-12,['6'],marché de travaux de menuiserie bois-pvc-quincaillerie.,fns,cmp2006,appeloffre,initial,REGIE PARCS D AZUR,06000,Nice,,['Menuiserie'],[222],non,non
9,19-152740,2019-10-09,2019-11-15,['6'],marché de maintenance et de mise en conformité des ascenseurs des parcs de stationnement de la regie parcs d'azur.,fns,cmp2006,appeloffre,initial,REGIE PARCS D AZUR,06000,Nice,,['Ascenseur'],[17],non,non
10,19-153037,2019-10-09,2019-11-25,['6'],CHU DE NICE - HOPITAL DE TENDE - UNITE RELAIS - TRAVAUX DE REMPLACEMENT D'EQUIPEMENTS FRIGORIFIQUES,fns,cmp2006,appeloffre,rectificatif,C.H.U. de Nice,06003,Nice cedex 1,,['Climatisation'],[62],non,non
11,19-151297,2019-10-09,2019-11-06,['6'],"REALISATION DE MESURES QUALITE, D'ENQUETES ET DE COMPTAGES DE CHARGE SUR DES SERVICES DE TRANSPORT DE LA REGIE LIGNE D'AZUR ET DE LA METROPOLE NICE COTE D'AZUR",joue,directive25,appeloffre,initial,Régie Ligne d'Azur,06100,Nice,,['Etude'],[118],non,non
