a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-45359,2021-04-10,2021-06-08,['1'],mission de maitrise d'oeuvre pour l'extension et réhabilitation du collège de péron,joue,directive24,attribution,initial,DEPARTEMENT DE L AIN,01000,Bourg en Bresse,,"[""Maîtrise d'oeuvre""]",[197],non,non
21-47137,2021-04-10,2021-05-10,['1'],Travaux de métallerie serrurerie dans les bâtiments du Département de l'Ain,joue,directive24,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,"['Métallerie', 'Serrurerie']","[223, 321]",non,non
21-46735,2021-04-10,2021-06-08,['1'],Travaux de faux plafonds et acoustique dans les bâtiments du Département de l'Ain,joue,directive24,attribution,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,"[('2021-04-06', 'MENUISERIE CHARPENTE PLAFONDS', (320000, 'EUR'), ""Travaux de faux plafonds et acoustique dans les bâtiments du Département de l'Ain"")]",['Plâtrerie'],[269],oui,non
21-47124,2021-04-10,2021-05-10,['1'],"Réalisation de prestations topographiques, foncières et de relevés de réseaux",joue,directive24,appeloffre,initial,CA du Bassin de Bourg en Bresse,01008,BOURG EN BRESSE CEDEX,,"['Prestations de services', 'Réseaux divers', 'Topographie']","[274, 306, 344]",non,non
21-47173,2021-04-10,2021-04-26,['1'],Dépollution du site en vue de la requalification de l'ancien site Pechiney en complexe sportif et récréatif (intégrant un pôle rugby et un pôle tennis) à Valserhône (Ain),joue,autre,rectificatif,rectificatif,Commune de Valserhone,01206,Valserhône cedex,,['Dépollution'],[442],non,non
21-46954,2021-04-10,2021-05-11,['2'],Fourniture de trousses et sets de spécialités chirurgicales et de sutures chirurgicales,joue,directive24,appeloffre,initial,CENTRE HOSPITALIER GENERAL ST QUENTIN,02321,Saint quentin,,"['Consommables médicaux', 'Produits pharmaceutiques']","[69, 280]",non,non
21-47122,2021-04-10,2021-05-11,['2'],Assistance technique et conseils aux utilisateurs pour le GHT Aisne Nord Haute Somme,joue,directive24,appeloffre,initial,CENTRE HOSPITALIER GENERAL ST QUENTIN,02321,Saint quentin,,['Assistance technique'],[19],non,non
21-47191,2021-04-10,2021-05-12,['3'],Mission d'assistance à maîtrise d'ouvrage pour l'aménagement des berges de l'Allier,joue,directive24,appeloffre,initial,Communauté d'agglomération de Moulins,03000,MOULINS,,"['Prestations de services', ""Assistance à maîtrise d'ouvrage""]","[274, 433]",non,non
21-46960,2021-04-10,2021-05-31,['6'],marché de maintenance des équipements de sécurité incendie et des systèmes de détection incendie des parcs de stationnement de la regie parcs d'azur,joue,directive24,appeloffre,initial,REGIE PARCS D AZUR,06000,Nice,,"['Détection incendie', 'Sécurité incendie']","[90, 332]",non,oui
21-46893,2021-04-10,2021-06-08,['6'],FOURNITURES ET SERVICES DE TELEPHONIE MOBILE,joue,directive25,attribution,initial,Régie Ligne d'Azur,06100,Nice,"[('2021-03-11', 'Société Française du Radiotéléphone (SFR)', (455413, 'EUR'), ""fourniture de terminaux de téléphonie mobiles, d'abonnements téléphoniques, éventuellement la continuité des abonnements existants et des services associés pour les agents de la Régie."")]",['Abonnement'],[2],non,non
21-46681,2021-04-10,2021-06-30,['6'],Avis attribution MAPA prestation restauration collective,joue,directive24,attribution,initial,Centre Communal d'Action Sociale,06130,Grasse,"[('2021-02-18', 'ELIOR FRANCE ENSEIGNEMENT', (150000, 'EUR'), 'Préparation et fourniture de repas et gouters pour les personnes fréquentant le Foyer restaurant. Repas préparés dans la cuisine du Foyer restaurant par le titulaire.'), ('2021-02-18', 'ELIOR FRANCE ENSEIGNEMENT', (220000, 'EUR'), 'Préparation et fourniture de repas en liaison froide pour le service de Portage de repas à domicile principalement.')]","['Repas, traiteur']",[304],non,non
21-46882,2021-04-10,2021-05-11,['6'],Fourniture et pose d'horodateurs pour la ville de Roquebrune Cap Martin,joue,directive24,appeloffre,initial,COMMUNE DE ROQUEBRUNE CAP MARTIN,06190,Roquebrune cap martin,,['Horodateur'],[151],non,non
21-46914,2021-04-10,2021-05-14,['6'],Fourniture et livraison de plateaux repas en liaison froide et petites fournitures alimentaires et Fourniture et livraison de denrées alimentaires nécessaires à la préparation des repas,joue,directive24,appeloffre,initial,Foyer de l'Enfance des Alpes Maritimes,06200,Nice,,"['Restauration collective', 'Denrées alimentaires']","[66, 88]",non,non
21-46711,2021-04-10,2021-06-13,['6'],services de surveillance et de gestion partielle des parkings communaux.,joue,directive24,attribution,initial,ville de Villefranche- sur- Mer,06236,Villefranche-sur-Mer,"[('2021-03-26', 'ARCANES SECURITE ', (268000.0, 'EUR'), None)]","['Prestations de services', 'Surveillance', 'Télégestion', 'Télésurveillance']","[274, 331, 352, 415]",non,non
21-46983,2021-04-10,2021-05-08,['6'],20V0469 - Prestations de bureau d'étude thermique,joue,directive24,appeloffre,initial,COMMUNE DE NICE,06364,Nice cedex 4,,['Etude'],[118],non,non
21-47009,2021-04-10,2021-05-12,['6'],19N0381 - Travaux d'entretien des appareils de Chauffage-Ventilation-Climatisation (CVC) pour les sites de la Métropole Nice Côte d'Azur et divers bâtiments Ville de Nice,joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,NICE CEDEX 4,,"['Chauffage (exploitation, entretien)', 'Climatisation', 'Maintenance', 'Ventilation']","[59, 62, 196, 360]",oui,oui
21-46775,2021-04-10,2021-05-12,['6'],ASSURANCE TOUS RISQUES CHANTIER POUR TRAVAUX DE MISE EN SECURITE TUNNEL LIAUTAUD ET TRAVAUX SORTIE OUEST VOIE MATHIS,joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,['Assurance'],[20],non,non
21-46973,2021-04-10,2021-05-12,['6'],20N0387 - Acquisition de 2 roues électriques avec accessoires,joue,directive24,appeloffre,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,,['Véhicules (acquisition)'],[475],non,oui
21-46979,2021-04-10,2021-05-04,['6'],20N0490 - FOURNITURE ET POSE DES EQUIPEMENT D'EXPLOITATION D'UN PARCOURS ITINERANT EN VTT A ASSISTANCE ELECTRONIQUE,joue,directive24,attribution,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,,"['Assistance technique', 'Barrage', 'Equipement sportif', 'Equipements spécialisés', 'Informatique (prestations de services)', 'Matériaux routiers', 'Mobilier']","[19, 31, 113, 115, 163, 199, 230]",non,non
21-46751,2021-04-10,2021-05-10,['6'],Centre de support informatique,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"['Informatique (prestations de services)', 'Informatique (assistance)']","[163, 453]",non,non
21-47020,2021-04-10,2021-05-08,['6'],Maîtrise d'oeuvre pour la réhabilitation de l'hôtel / restaurant / bar 'LE TOURING' à ISOLA VILLAGE,joue,directive24,appeloffre,initial,COMMUNE D ISOLA,06420,Isola,,"['Bâtiment', 'Etude', ""Assistance à maîtrise d'ouvrage""]","[33, 118, 433]",non,non
21-46715,2021-04-10,2021-05-10,['6'],Achat Livraison Montage et installation de mobiliers et d'équipements pour les logements les espaces collectifs et les espaces extérieurs de la Résidence Autonomie Estérel(Lots 1-3 et 7 à 13),joue,directive24,appeloffre,initial,CENTRE COMMUNAL D ACTION SOCIALE,06602,Antibes cedex,,"['Cuisine (équipement)', 'Equipements spécialisés', 'Literie', 'Matériel électrique', 'Mobilier', 'Nettoyage de locaux', 'Textile']","[77, 115, 183, 203, 230, 239, 343]",non,oui
21-46838,2021-04-10,2021-05-11,['6'],"Entretien, Reparations Mecaniques Et Travaux De Carrosserie Et Chaudronnerie Des Vehicules Et Des Engins D'Univalom",joue,directive24,appeloffre,initial,SYND MIXTE VALORISATION DECHETS UNIVAL,06605,Antibes,,"['Mécanique', 'Pièces détachées']","[221, 266]",non,oui
21-46926,2021-04-10,2021-05-12,"['11', '9', '34', '66', '31']",Marchés à bons de commandes pour l'entretien du patrimoine d'ALOGEA - Relance lots 3 et 28 - 2021/2023,joue,directive24,attribution,initial,ALOGEA,11000,CARCASSONNE,"[('2021-01-04', 'LHUILLIER', (58626, 'EUR'), 'Peinture'), ('2021-01-04', 'ZANELLA', (36406, 'EUR'), 'Maçonnerie')]","['Couverture', 'Maçonnerie', 'Peinture (travaux)']","[74, 195, 264]",non,non
21-47344,2021-04-10,2021-05-11,"['11', '9', '31', '34', '66']",REHABILITATION DE 349 LOGEMENTS - EXCAVATION dans vides sanitaires et réfection d'un RESEAU DE CHAUFFAGE - CARCASSONNE - GRAZAILLES,joue,directive24,appeloffre,initial,ALOGEA,11000,CARCASSONNE,,"['Chauffage (travaux)', 'Maçonnerie', 'Plomberie (travaux)']","[61, 195, 270]",non,non
