a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-157841,2020-12-26,2021-03-23,['2'],Services d' Assurances,joue,directive24,attribution,initial,COMMUNE DE SAINT QUENTIN,02107,Saint-Quentin,"[('2020-12-23', 'Smacl', (1685160.75, 'EUR'), 'Dommages aux biens et risques annexes'), ('2020-12-23', 'Bea Groupe', (726612.75, 'EUR'), 'Responsabilités et risques annexes')]",['Assurance'],[20],non,non
20-157774,2020-12-26,2021-02-03,['2'],Entretien des espaces verts de la Ville de Saint Quentin (10 lots),joue,directive24,appeloffre,initial,COMMUNE DE SAINT QUENTIN,02107,Saint-Quentin,,['Espaces verts'],[116],non,non
20-157792,2020-12-26,2021-01-26,['3'],Réhabilitation Thermique de 7 immeubles - 319 logements résidence les Chartreux 03000 MoulinsL'opération est allotie en 13 lots : Lot principal : no3 : ITE / RAVALEMENTS,joue,directive24,appeloffre,initial,EVOLEA,03000,MOULINS,,['Isolation'],[169],non,non
20-158030,2020-12-26,2021-03-23,['5'],Entretien et nettoyage des locaux des Bâtiments départementaux,joue,directive24,attribution,initial,DEPARTEMENT DES HAUTES-ALPES,05008,Gap,"[('2020-12-24', 'Nera Proprete Provence', (52764, 'EUR'), 'Nettoyage quotidien des bâtiments du secteur nord du Département'), ('2020-12-24', 'Nera Proprete Provence', (211116, 'EUR'), 'Nettoyage quotidien des bâtiments du secteur centre et sud du Département'), ('2020-12-24', 'Nera Proprete Provence', (13200, 'EUR'), 'Nettoyage quotidien du Laboratoire Départemental Vétérinaire'), ('2020-12-23', 'Onet Services', (9747, 'EUR'), ""Nettoyage quotidien des bâtiments communs de l'aérodrome de Gap-Tallard""), ('2020-12-24', 'Nera Proprete Provence', (26492, 'EUR'), 'Gros nettoyage des Bâtiments Départementaux')]",['Nettoyage de locaux'],[239],oui,oui
20-157875,2020-12-26,2021-01-23,['6'],Services d'intérim dans le domaine technique et le domaine médical pour la Régie Ligne d'Azur,joue,directive24,attribution,initial,Régie Ligne d'Azur,06100,Nice,,['Prestations de services'],[274],non,non
20-158063,2020-12-26,2021-01-29,['6'],Travaux de réparation et prévention des désordres de la Chapelle Saint Cassien,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"['Electricité (travaux)', 'Peinture (travaux)', 'Plomberie (travaux)']","[105, 264, 270]",oui,non
20-157877,2020-12-26,2021-01-23,['6'],"Achat de matériels de bureau, de matériels pédagogiques, de jeux et jouets éducatifs, de matériels et équipements sportifs et de manuels scolaires - Relance lot no1 Fournitures administratives",joue,directive24,attribution,initial,Ville de Carros,06512,Carros Cedex,"[('2020-09-23', 'RIVIERA OFFICE', (200000, 'EUR'), 'Achats de matériels de bureau, de matériel pédagogiques, de jeux et jouets éducatifs, matériels et équipements sportifs et de manuels scolaires - Relance lot N°1')]",['Articles de bureau et articles scolaires'],[16],non,non
20-157851,2020-12-26,2021-02-20,['8'],Fournitures et livraison d'équipements de collecte (composteurs),joue,directive24,appeloffre,initial,SMTDA,08000,Charleville mézière,,['Composteur'],[439],non,non
20-157845,2020-12-26,2021-02-01,['8'],Fourniture de carburant par cartes accréditives et services annexes-.,joue,directive24,appeloffre,initial,Conseil Départemental des Ardennes,08011,CHARLEVILLE MEZIERES cedex,,"['Carburant, hydrocarbure']",[52],non,non
20-157896,2020-12-26,2021-03-23,['9'],Fourniture et livraison de viandes fraîches sur tous les sites du Ght des Pyrénées Ariégeoises,joue,directive24,attribution,initial,CTRE HOSPITALIER INTERCOM VAL D ARIEGE,09017,Foix Cedex,"[('2020-12-22', 'Les Fils De Fort Basile', (328298.04, 'EUR'), 'Viande fraîche de boeuf et de veau'), ('2020-12-22', 'Les Fils De Fort Basile', (99191.6, 'EUR'), ""Viande fraîche d'agneau""), ('2020-12-22', 'Bernard', (140570.48, 'EUR'), 'Viande fraîche de porc'), ('2020-12-22', 'Société de Distribution Avicole Sas', (61294.72, 'EUR'), 'Viande fraîche de volaille')]",['Denrées alimentaires'],[88],non,non
