,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-42731,2020-03-21,2020-04-28,"['5', '4', '13', '83', '6']",NON-TISSE PROCEDURE INTERMEDIAIRE NTBIS,joue,directive24,appeloffre,initial,CTRE HOSPITALIER INTERCOM ALPES DU SUD,05007,Gap cedex,,['Consommables médicaux'],[69],non,non
1,20-42563,2020-03-21,2020-04-20,['5'],Fourniture Et Livraison De Vehicules Et Materiels Pour L'Entretien Routier 2020,joue,directive24,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,Gap,,['Matériaux routiers'],[199],non,non
2,20-42481,2020-03-21,2020-05-14,['6'],"ACHAT, LIVRAISON ET MISE EN SERVICE D'UNE TONDEUSE AUTOPORTEE PROFESSIONNELLE NEUVE ET REPRISE D'UNE TONDEUSE AUTOPORTEE D'OCCASION",joue,directive24,appeloffre,initial,Ville de Mandelieu La Napoule,06212,Mandelieu Cedex,,"['Machines-outils', 'Matériel agricole, horticole', 'Véhicules (acquisition)']","[194, 200, 475]",non,non
3,20-42602,2020-03-21,2020-05-15,['6'],FOURNITURE DE VEGETAUX,joue,directive24,appeloffre,initial,Ville de Mandelieu La Napoule,06212,MANDELIEU Cedex,,['Végétaux'],[358],non,non
4,20-42570,2020-03-21,2020-05-12,['6'],19V0404 - BALISAGE LE LONG DU LITTORAL NICOIS,joue,autre,rectificatif,rectificatif,COMMUNE DE NICE,06364,Nice cedex 4,,['Equipements spécialisés'],[115],non,non
5,20-42227,2020-03-21,2020-05-04,['6'],Fourniture d'équipements et de petits matériels sportifs pour les piscines de la Ville de Cannes et de la Cacpl,joue,autre,rectificatif,rectificatif,COMMUNE DE CANNES,06406,Cannes,,['Equipement sportif'],[113],non,non
6,20-42448,2020-03-21,2020-06-01,['6'],Fourniture de pièces pour les réseaux d'eau et d'assainissement de la régie eau et assainissement de la communauté d'agglomération de la riviera française (carf),joue,directive24,appeloffre,initial,C.A. de la Riviera Française,06500,Menton,,"['Matériel de travaux publics', 'Matériel robinetterie']","[220, 311]",non,non
7,20-42589,2020-03-21,2020-06-01,['6'],Collecte des déchets ménagers et assimilés sur le territoire du moyen et haut pays de la communauté d'agglomération de la riviera française (rectificatif),joue,autre,rectificatif,rectificatif,C.A. de la Riviera Française,06500,Menton,,"['Collecte sélective', 'Ordures ménagères (prestations)']","[82, 249]",non,non
8,20-42464,2020-03-21,2020-04-15,['7'],Campagnes pédagogiques sur le thème de l'environnement à destination du public scolaire - 4 lots,joue,autre,rectificatif,rectificatif,Arche Agglo,07305,Tournon sur rhône,,['Rivières/ruisseaux'],[310],non,non
9,20-42409,2020-03-21,2020-04-14,['10'],RESTAURATION ET ENTRETIEN DE COURS D'EAU ET DES MILIEUX HUMIDES-.,joue,directive24,appeloffre,initial,SDDEA,10000,TROYES,,['Prestations de services'],[274],non,non
10,20-42773,2020-03-21,2020-05-11,['11'],entretien de la strate herbacee entretien des surfaces engazonnees : tonte (rectificatif),joue,autre,rectificatif,rectificatif,COMMUNE DE NARBONNE,11108,NARBONNE CEDEX,,['Espaces verts'],[116],non,non
11,20-42331,2020-03-21,2020-03-27,"['11', '31', '34']",Travaux topographiques en vue d'études hydrauliques,joue,directive24,attribution,initial,DDTM11,11838,Carcassonne cedex 9,,['Topographie'],[344],non,non
12,20-42660,2020-03-21,2020-05-20,"['12', '13', '30', '34']",Acquisition de matériel de collecte des déchets ménagers résiduels et valorisables pour le service gestion des déchets de Millau Grands Causses.,joue,directive24,attribution,initial,COM DE COMMUNES DE MILLAU GDS CAUSSES,12104,Millau cedex,"[('2020-03-09', 'CAYLA SAS', (81500, 'EUR'), ""Fourniture et livraison d'un châssis porteur 18/19 tonnes version BOM pour montage d'une benne à ordures ménagères""), ('2020-03-09', 'FAUN ENVIRONNEMENT', (67500, 'EUR'), ""Fourniture et livraison d'une benne à ordures ménagères d'un volume situé entre 12,5 et 15 m3 avec lève-conteneur simple peigne"")]",['Véhicules'],[359],non,non
13,20-42491,2020-03-21,2020-04-30,['12'],"Exploitation des ouvrages d'assainissement des eaux usées de la Communauté. Partie A : exploitation complète, partie B : assistance technique et maintenance.",joue,directive24,appeloffre,initial,COMUNAUTE COMMUNES CONQUES MARCILLAC,12330,MARCILLAC-VALLON,,['Prestations de services'],[274],non,non
14,20-42667,2020-03-21,2020-04-28,"['13', '83', '84']",Auto surveillance du système d'assainissement,joue,autre,rectificatif,rectificatif,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,,['Prestations de services'],[274],non,non
15,20-42641,2020-03-21,2020-06-15,['13'],"Fabrication, pré personnalisation et livraison de cartes sans contact pour le système billettique de transport en commun de la métropole Aix-Marseille Métropole",joue,directive25,attribution,initial,Régie des Transports Métropolitains,13008,Marseille,"[('2020-03-13', 'Paragon', (375110, 'EUR'), 'Fabrication, pré personnalisation et livraison de cartes sans contact pour le système billettique de transport en commun de la métropole Aix-Marseille Provence')]","['Carte magnétique, carte à puce']",[403],non,non
16,20-42604,2020-03-21,2020-06-15,['13'],REALISATION D'UN DISPOSITIF DE MESURE DES CARACTERISTIQUES DES CIRCUITS DE VOIE (CDV) DE LA SIGNALISATION FERROVIAIRE DE LA RTM ET MAINTENANCE ASSOCIEE,joue,directive25,attribution,initial,Régie des Transports Métropolitains,13013,Marseille,"[('2020-03-13', 'SCLE SFE', (528760, 'EUR'), ""Réalisation d'un dispositif de mesures des caractéristiques des circuits de voie (CDV) de la signalisation ferroviaire de la RTM et maintenance associée"")]",['Prestations de services'],[274],non,non
17,20-42654,2020-03-21,2020-06-10,['13'],prestations de tierce maintenance evolutives relatives au système d'aide à l'exploitation et à l'information voyageurs du réseau de la rtm,joue,directive25,attribution,initial,Régie des Transports Métropolitains,13013,Marseille,"[('2020-03-16', 'INEO SYSTRANS', (2256869, 'EUR'), ""restations de tierce maintenance evolutives relatives au système d'aide à l'exploitation et à l'information voyageurs du réseau de la RTM"")]",['Informatique (prestations de services)'],[163],non,non
18,20-42508,2020-03-21,2020-04-30,['13'],convention d'exploitation de plage - plage des catalans - relance lot 1 (rectificatif),joue,autre,rectificatif,rectificatif,Ville de Marseille,13233,Marseille cedex 20,,['Prestation hotelière'],[466],non,non
19,20-42624,2020-03-21,2020-07-10,['13'],"concession restreinte de service pour la réhabilitation, la valorisation, la gestion et l'exploitation du site comptoir toussaint-victorine à marseille (rectificatif)",joue,autre,rectificatif,rectificatif,Ville de Marseille,13233,Marseille cedex 20,,['Prestations de services'],[274],non,non
20,20-42873,2020-03-21,2020-04-30,['13'],traitement des dechets papiers (rectificatif),joue,autre,rectificatif,rectificatif,Université d'Aix-Marseille,13284,Marseille cedex 7,,['Déchets non ménagers (prestations)'],[404],oui,oui
21,20-42820,2020-03-21,2020-05-11,['13'],Contrat De Concession De Service Pour La Gestion D'Une Creche Impliquant La Realisation De Travaux D'Amenagement,joue,autre,rectificatif,rectificatif,CH ARLES AWS,13637,Arles,,['Prestations de services'],[274],non,non
22,20-42282,2020-03-21,2020-06-16,['13'],Accès Internet à Haut Débit Du Site Central De La Mairie D'Arles Et Interconnexion Des Sites Distants,joue,directive24,attribution,initial,Ville d'Arles,13637,Arles,"[('2020-02-25', 'Adista', (240000, 'EUR'), None)]","['Informatique (prestations de services)', 'Informatique (maintenance serveurs et réseaux)']","[163, 454]",non,non
23,20-42486,2020-03-21,2020-05-15,['14'],Maintenance d'extincteurs portatifs et vérification de colonnes sèches dans différents bâtiments et véhicules du Département du Calvados.,joue,directive24,appeloffre,initial,DEPARTEMENT DU CALVADOS,14000,Caen,,"['Extincteur', 'Maintenance', 'Sécurité incendie', 'Véhicules']","[119, 196, 332, 359]",non,non
24,20-42499,2020-03-21,2020-07-24,"['14', '27', '50', '61']",Contrôle extérieur des dossiers d'études de projets routiers de la DREAL ex Basse Normandie,joue,autre,rectificatif,rectificatif,DIR REG DE L ENVIR DE AMENAGEMENT LOGT,14006,Caen cédex 1,,['Etude'],[118],non,non
25,20-42456,2020-03-21,2020-05-04,"['14', '35', '50', '61', '76', '27']",entretien et maintenance des équipements de vidéoprotection de la ville de caen (rectificatif),joue,autre,rectificatif,rectificatif,Ville de Caen,14027,CAEN,,"['Maintenance', 'Surveillance']","[196, 331]",non,non
26,20-42633,2020-03-21,2020-04-30,['14'],remplacement des reseaux aep sur le campus 1,joue,directive24,attribution,initial,Université de Caen Normandie,14032,Caen cedex 5,,"['Canalisations', 'Réseaux divers', 'Voirie']","[48, 306, 365]",non,non
27,20-42646,2020-03-21,2020-05-04,['17'],Construction d'une gendarmerie à SAINT-PIERRE D'OLERON (17310),joue,autre,rectificatif,rectificatif,Semdas,17076,La rochelle cedex 9,,['Bâtiment'],[33],non,non
28,20-42559,2020-03-21,2020-04-14,['17'],Centre de contacts,joue,autre,rectificatif,rectificatif,E.N.I.M.,17183,PERIGNY,,['Progiciel'],[283],non,non
29,20-42345,2020-03-21,2020-04-14,['20A'],"Projet Parkings Intelligents Fourniture, installation, mise en fonctionnement,supervision et maintenance d'un système de détection et d'information sur l'occupation des places de p",joue,autre,rectificatif,rectificatif,COMMUNAUTE D AGGLO DU PAYS AJACCIEN,20000,Ajaccio,,['Logiciel'],[186],non,non
30,20-42557,2020-03-21,2020-04-18,['25'],"Location et maintenance de deux camions de collecte des ordures ménagères et installation, location et maintenance de deux systèmes d'identification embarqués",joue,autre,rectificatif,rectificatif,CC DU DOUBS BAUMOIS,25110,Baume les Dames,,['Ordures ménagères (prestations)'],[249],non,non
31,20-42293,2020-03-21,2020-04-30,['26'],"collecte des ordures ménagères, des multi-matériaux et des cartons des activités (rectificatif)",joue,autre,rectificatif,rectificatif,C. A. Montélimar Agglomération,26200,MONTELIMAR,,"['Ordures ménagères (prestations)', 'Déchets non ménagers (prestations)']","[249, 404]",non,non
