,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,21-80074,2021-06-13,2021-09-08,['1'],"Accord Cadre pour la location, installation, mise en service et maintenance d'un système de reprographie numériqueLot no 1 - Photocopieurs et lot no 3 - Imprimantes de bureau",joue,directive24,attribution,initial,Commune de Valserhone,01206,Valserhône cedex,"[('2021-06-08', ""C'Pro"", (1091497, 'EUR'), 'Photocopieurs'), ('2021-05-31', 'Ricoh France Sas', (164795, 'EUR'), 'Imprimantes de bureau')]",['Informatique (matériel)'],[162],non,non
1,21-80130,2021-06-13,2021-07-13,['1'],"la CCRAPC souhaite confier à un prestataire des opérations de prestations de collecte des ordures ménagères, collecte des recyclables secs et la gestion des déchets de déchèteries.",joue,directive24,attribution,initial,C.C.R.A.P.C,01640,Jujurieux,,"['Collecte sélective', 'Ordures ménagères (prestations)', 'Verre']","[82, 249, 361]",oui,non
2,21-79669,2021-06-13,2021-07-28,['3'],"Fourniture, Installation et Maintenance de système de contrôle d'accès sur les 9 déchèteries du Sictom Nord Allier - Audition prévue semaine 36 sur site de Chézy",joue,directive24,appeloffre,initial,SYND MIXTE COLLECTE TRAITEMENT ORDURES,03230,Chézy,,"['Câblage', 'Informatique (matériel)', 'Logiciel', 'Déchetterie (exploitation)', 'Télésurveillance']","[47, 162, 186, 405, 415]",non,oui
3,21-74435,2021-06-13,2021-07-13,['6'],"travaux de réaménagement de la rd 28, au coeur de la station de valberg sur la commune de péone",joue,directive24,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice Cedex 3,,"['Fontainerie', 'Voirie']","[131, 365]",non,oui
4,21-80192,2021-06-13,2021-08-17,['6'],ACQUISITION DE DEUX VEHICULES SEGMENT A,joue,directive24,attribution,initial,Ville de Mandelieu La Napoule,06212,Mandelieu-La Napoule,"[('2021-05-10', 'CHOPARD CANNES SCP', (16942, 'EUR'), 'Acquisition de deux véhicules Segment A pour le Parc Municipal.')]",['Véhicules (acquisition)'],[475],non,non
5,21-80150,2021-06-13,2021-07-23,['6'],Fourniture de pièces détachées d'origine pour les véhicules du parc du SDIS des Alpes-Maritimes,joue,directive24,appeloffre,initial,SDIS (06),06273,Villeneuve Loubet Cedex,,"['Pièces détachées', 'Véhicules']","[266, 359]",non,non
6,21-80177,2021-06-13,2021-08-11,['6'],20V1396 - Plats préparés à destination des Projets d'Accueil Individualisés (P.A.I),joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,"[('2021-05-14', 'NATAMA', (17501, 'EUR'), ""20V1396 - Plats préparés à destination des Projets d'Accueil Individualisés (P.A.I)"")]",['Denrées alimentaires'],[88],non,oui
7,21-80079,2021-06-13,2021-08-11,['6'],"20V1416 - TONTE DES PELOUSES DES JARDINS, DES ESPACES VERTS DIVERS ET ACCOMPAGNEMENTS DE VOIRIES, EN GESTION PAR LA VILLE DE NICE. LOTS 1 ET 2.",joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,"[('2021-05-31', 'JARDIN ECOPACA', (162411, 'EUR'), 'Tonte Zone ouest'), ('2021-05-31', 'JARDIN ECOPACA', (120030, 'EUR'), 'Tonte: zone Promenade du Paillon et accompagnements de voiries')]",['Espaces verts'],[116],oui,oui
8,21-79578,2021-06-13,2021-07-13,['6'],LOCATION DE MOBILIER ET D'ACCESSOIRES DE DECORATION POUR LES BESOINS DE LA VILLE DE NICE ETDE LA METROPOLE NICE CÔTE D'AZUR,joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,['Mobilier'],[230],oui,oui
9,21-80223,2021-06-13,2021-07-19,['6'],Marché de maîtrise d'oeuvre pour la réhabilitation du ponton Macé,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"[""Maîtrise d'oeuvre""]",[197],non,non
