,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-83898,2020-07-02,2020-08-24,['1'],Conception-construction pour la reconstruction d'un bâtiment de soins spécialisé en addictologie pour le Centre Hospitalier Public d'Hauteville,joue,directive24,appeloffre,initial,CH DE BOUR EN BRESSE FLEYRIAT,01012,Bourg-en-bresse cedex,,['Bâtiment'],[33],non,non
1,20-84870,2020-07-02,2020-08-21,"['1', '74', '39']",Nettoyage des locaux de la commune d'Ornex,fns,cmp2006,appeloffre,initial,COMMUNE D ORNEX,01210,Ornex,,['Nettoyage de locaux'],[239],non,non
2,20-83914,2020-07-02,2020-09-08,['2'],"Marché d'exploitation des installations thermiques des bâtiments communaux - Marché de performance énergétique comprenant P1 multifluides, P2 - P3 et P5",joue,directive24,attribution,initial,collectivité,02150,SISSONNE,"[('2020-04-29', 'ENGIE ENERGIE SERVICES - COFELY', (680503.3, 'EUR'), 'Lot unique')]",['Prestations de services'],[274],non,non
3,20-67765,2020-07-02,2020-09-18,"['2', '51', '60']",marché de service relatif à la prestation d'assurance pour les besoins de l'etablissement public de santé mentale départemental de l'aisne .,joue,directive24,appeloffre,initial,E.P.S.M.D. de l'Aisne,02320,Prémontré,,['Assurance'],[20],non,non
4,20-84838,2020-07-02,2020-09-01,['2'],fourniture de combustible biomasse pour la saison de chauffe 2020-2021,fns,cmp2006,attribution,initial,E.P.S.M.D. de l'Aisne,02320,Prémonté,"[('2020-06-26', 'INOE Bois Energie', (54.75, 'EUR'), None)]","['Bois', 'Combustible']","[38, 438]",non,non
5,20-84734,2020-07-02,2020-09-01,['2'],fournitures 2020-2021 du magasin général,fns,cmp2006,attribution,initial,E.P.S.M.D. de l'Aisne,02320,Prémonté,,"['Bois', 'Chauffage (matériel)', 'Maçonnerie', 'Matériaux de construction', 'Matériel électrique', 'Menuiserie', 'Peinture (fourniture)', 'Plastique', 'Quincaillerie (articles)', 'Matériel robinetterie', 'Sanitaire']","[38, 60, 195, 198, 203, 222, 263, 268, 291, 311, 319]",non,non
6,20-84752,2020-07-02,2020-09-29,['3'],"Mission de consultation juridique,d'assistance et de conseil, et de représentation en justice du Département de l'Allier dans le cadre du projet VIA ALLIER",fns,cmp2006,attribution,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,"[('2020-07-01', 'BIGNON LEBRAY', (24880, 'EUR'), None)]",['Assistance juridique'],[434],non,non
7,20-85048,2020-07-02,2020-09-29,['3'],Audit de recherche d'économies sur les charges sociales afférentes aux paies des assistants familiaux (ASFAM) du Département de l'Allier,fns,cmp2006,attribution,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,,['Audit'],[21],non,non
8,20-76784,2020-07-02,2020-07-31,"['3', '63']",fourniture de carburants,joue,directive24,appeloffre,initial,Ville de Vichy,03200,Vichy,,"['Carburant, hydrocarbure']",[52],non,non
9,20-85158,2020-07-02,2020-08-13,['4'],Mission d'Ordonnancement Pilotage Coordination (OPC) pour la réhabilitation du centre culturel Simone SIGNORET et de ses abords,fns,cmp2006,appeloffre,initial,Provence Alpes Agglomération,04000,Digne les Bains,,['Ingénierie'],[455],non,non
