a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-36598,2020-03-10,2020-03-30,['1'],Fourniture de gazole par cartes accréditées pour des opérations de déroutage temporaires gérées par le SIDEFAGE - 2 Lots,mapa,cmp2006,appeloffre,initial,SYND MIXTE GEST DECHET FAUCIGNY GENEVO,01200,BELLEGARDE SUR VALSERINE,,"['Carburant, hydrocarbure']",[52],non,non
20-36194,2020-03-10,2020-06-07,['3'],Aménagement de la RD12 entre la RN7 et la RD286 (accès au Logiparc) :Amélioration de la section entre le giratoire RD12/RD526 et la RD286,fns,cmp2006,attribution,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,"[('2020-03-09', 'EUROVIA DALA', (2691077.78, 'EUR'), None)]",['Voirie'],[365],oui,oui
20-35908,2020-03-10,2020-04-07,['4'],Numéro de la consultation : 20MTF001 COLLEGES DE FORCALQUIER ET BANON - PROGRAMME DE TRAVAUX 2020,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,"['Cloison, faux plafond', 'Menuiserie', 'Plomberie (travaux)', 'Serrurerie', 'Zinguerie']","[63, 222, 270, 321, 372]",non,non
20-36601,2020-03-10,2020-04-09,['4'],Numéro de la consultation : 20MTS003 Travaux d'aménagement et de rénovation du collège C. Reymond de Château-Arnoux et du collège JMG Itard d'Oraison,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,"['Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Voirie']","[105, 144, 222, 264, 365]",non,non
20-35998,2020-03-10,2020-06-07,['5'],Accord-cadre à marchés subséquents pour la réalisation des évaluations environnementales des procédures d'évolution du Plan Local d'Urbanisme,fns,cmp2006,attribution,initial,Ville de Gap,05007,GAP,"[('2020-03-06', 'Alpicité', (200000, 'EUR'), None)]",['Etude'],[118],non,non
20-36654,2020-03-10,2020-03-19,['5'],Aménagement du Pôle d'Echange Multimodal et Quartier de la Gare. Lot no5: Pose et mise en service d'une cabine de wc public à nettoyage automatique,fns,cmp2006,appeloffre,rectificatif,Communauté d'agglomérat. du gapençais,05007,GAP,,['Voirie'],[365],non,non
20-35902,2020-03-10,2020-04-20,['5'],restauration générale de la chapelle sainte marie-madeleine,fns,cmp2006,appeloffre,initial,COMMUNE D'ARVIEUX,05350,Arvieux,,"['Charpente', 'Couverture', 'Décoration (travaux)', 'Gros oeuvre', 'Maçonnerie', 'Menuiserie', 'Monuments historiques', 'Peinture (travaux)']","[57, 74, 85, 144, 195, 222, 236, 264]",non,non
20-36427,2020-03-10,2020-05-06,['6'],Réfection de l'étanchéité existante et des panneaux solaires de la toiture terrasse inaccessible Sud du bâtiment du Centre Jean Chanton à Roquebilière,fns,cmp2006,appeloffre,initial,C.H.U. de Nice,06003,Nice cédex 1,,"['Etanchéité', 'Maçonnerie', 'Plomberie (travaux)']","[117, 195, 270]",non,non
20-35940,2020-03-10,2020-04-17,['6'],MAPA 2020-025 - Réhabilitation de l'école maternelle les Pins,fns,cmp2006,appeloffre,initial,COMMUNE LE CANNET,06110,Le Cannet,,"['Bâtiments modulaires', 'Bardage', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Electricité (travaux)', 'Espaces verts', 'Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Sanitaire', 'Sécurité incendie', 'Ventilation', 'Voirie et réseaux divers', 'Amiante (désamiantage)']","[27, 30, 61, 63, 105, 116, 117, 144, 222, 264, 270, 308, 319, 332, 360, 366, 479]",non,non
20-32137,2020-03-10,2020-03-31,['6'],réhabilitation des installations de génie climatique du bâtiment hôtel du département sur le site du cadam.,fns,cmp2006,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice cedex 3,,"['Chauffage (matériel)', 'Climatisation']","[60, 62]",non,oui
20-36039,2020-03-10,2020-04-15,['6'],Travaux de réhabilitation du réservoir de Rimiez (rectificatif),fns,cmp2006,appeloffre,rectificatif,REGIE EAU D'AZUR,06203,Nice Cedex 3,,"['Canalisations', 'Equipement hydraulique', 'Etanchéité', 'Génie civil', 'Maçonnerie', 'Ravalement', 'Réservoir']","[48, 111, 117, 141, 195, 299, 307]",non,non
20-35898,2020-03-10,2020-04-03,['6'],"outil de routage d'e-mails, de sms et de marketing automation - aéroports de la côte d'azur",mapa,cmp2006,appeloffre,initial,Société Aéroports de la Côte d'Azur,06206,Nice Cedex 3,,['Informatique (maintenance serveurs et réseaux)'],[454],non,non
20-36247,2020-03-10,2020-05-10,['6'],"19N0646 - SCENOGRAPHIE DE STANDS,D'EXPOSITIONS OU DE LOCAUX",fns,cmp2006,attribution,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,"[('2020-02-26', 'SCENO', (15206, 'EUR'), None)]",['Stand'],[325],non,non
20-36610,2020-03-10,2020-06-07,['6'],Numéro de la consultation : 2019-0893 Travaux de rénovation et remplacement des installations thermiques dans les écoles et crèches de la Ville de Cannes,fns,cmp2006,attribution,initial,COMMUNE DE CANNES,06406,CANNES,"[('2020-03-05', 'CMT GENIE CLIMATIQUE', (458151, 'EUR'), None)]","['Chauffage (travaux)', 'Equipement thermique']","[61, 114]",non,non
20-36335,2020-03-10,2020-04-03,['6'],Station de Valberg- Travaux d'aménagement du front de neige du Garibeuil- Lot no5 modification de la piste de luge,fns,cmp2006,appeloffre,initial,syndicat mixte de valberg,06470,Valberg,,"['Télécabines, télésièges, téléskis']",[337],non,non
20-28758,2020-03-10,2020-04-06,"['7', '26']",Entretien et petits travaux neufs de VRD,fns,cmp2006,appeloffre,initial,Ville de La Voulte-sur-Rhône,07800,La Voulte sur Rhône,,['Voirie et réseaux divers'],[366],non,non
20-35959,2020-03-10,2020-03-20,['8'],fournitures de matériels sanitaires,mapa,cmp2006,attribution,initial,CENTRE HOSPITALIER BELAIR,08000,Charleville Mézières,,"['Chauffage (matériel)', 'Sanitaire']","[60, 319]",non,non
20-36463,2020-03-10,2020-05-10,['10'],Mise en oeuvre d'un système de traitement d'air dans l'amphithéâtre du centre sportif de l'Aube,fns,cmp2006,attribution,initial,DEPARTEMENT DE L AUBE,10000,TROYES,"[('2020-03-10', 'ENTREPRISE MASSON', (144000.0, 'EUR'), None)]","[""Tous corps d'état""]",[345],non,non
20-34145,2020-03-10,2020-04-10,['11'],Fourniture de bureau et papèterie,fns,cmp2006,appeloffre,initial,CARCASSONNE AGGLO,11000,Carcassonne,,['Papeterie'],[262],non,non
20-34166,2020-03-10,2020-04-10,['11'],"marché de fourniture de produits d'entretien, articles de droguerie et produits de traitement des eaux de piscine",fns,cmp2006,appeloffre,initial,CARCASSONNE AGGLO,11000,Carcassonne,,"['Piscine', ""Produits d'entretien""]","[265, 278]",non,non
20-36477,2020-03-10,2020-03-30,['11'],Maintenance des espaces verts du Centre Hospitalier deCarcassonne et de ses sites annexes,fns,cmp2006,appeloffre,initial,Centre Hospitalier de Carcassonne,11010,Carcassonne cedex,,"['Espaces verts', 'Maintenance', 'Prestations de services']","[116, 196, 274]",non,non
20-36630,2020-03-10,2020-04-02,['11'],"Prestation maîtrise d'oeuvre (ACT-DET-AOR-OPC-EXE-VISA), topographie et géotechnique en vue de la réalisation de travaux de confortement des murs de soutènement en traversée de Peyriac-Mvois (qua",mapa,cmp2006,appeloffre,initial,SYNDICAT MIXTE AUDE CENTRE,11600,CONQUES SUR ORBIEL,,"['Berge', ""Maîtrise d'oeuvre"", 'Rivières/ruisseaux']","[35, 197, 310]",non,non
20-35890,2020-03-10,2020-04-10,['11'],Rénovation de bureaux à l'ancienne Direction Départementale de l'Agriculture et de la Forêt,fns,cmp2006,attribution,initial,Département de l'Aude,11855,CARCASSONNE Cedex 9,"[('2020-03-05', ""METAL D'OC"", (23911.1, 'EUR'), None), ('2020-03-06', 'GASTOU PLATRERIE', (21235.7, 'EUR'), None), ('2020-03-05', 'MENUISERIES TIQUET', (8748.47, 'EUR'), None), ('2020-03-05', 'SCOP ABADIE', (16686.98, 'EUR'), None), ('2020-03-05', 'REGIE DE QUARTIERS DU CARCASSONNAIS', (12918, 'EUR'), None), ('2020-03-05', 'GROUPEMENT ROQUES - PONSOL', (34500, 'EUR'), None)]","['Cloison, faux plafond', 'Electricité (travaux)', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Sanitaire']","[63, 105, 222, 264, 270, 308, 319]",non,non
20-32031,2020-03-10,2020-04-07,['12'],travaux de désamiantage de l'atelier au collège public les quatre saisons - 12850 onet le chateau,fns,cmp2006,appeloffre,initial,Conseil Départemental de l AVEYRON,12450,Flavin,,['Amiante (désamiantage)'],[479],non,non
