,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
<<<<<<< HEAD
0,19-175007,2019-11-23,2020-02-18,['1'],Réhabilitation du parc des expositions Valexpo,joue,directive24,attribution,initial,COMMUNE D OYONNAX,01100,Oyonnax,,"['Ascenseur', 'Bâtiment', 'Revêtements de sols']","[17, 33, 308]",non,non
1,19-175005,2019-11-23,2020-02-18,['1'],Fourniture de gaz naturel par réseau,joue,directive24,attribution,initial,COMMUNE D OYONNAX,01100,Oyonnax,"[('2019-03-12', 'Direct Energie', (241641, 'EUR'), 'Fourniture de gaz naturel'), ('2019-03-12', 'Edf', (245672.12, 'EUR'), 'Fourniture de gaz naturel'), ('2019-03-12', ""Société d'Approvisionnement et de Vente d'Energies"", (237323.7, 'EUR'), 'Fourniture de gaz naturel')]","['Electricité, gaz (fourniture)']",[443],non,oui
2,19-175075,2019-11-23,2020-02-18,['1'],Marché de fournitures pour les Services Techniques,joue,directive24,attribution,initial,COMMUNE D OYONNAX,01100,Oyonnax,,"['Habillement', 'Matériel de sécurité', 'Menuiserie']","[150, 209, 222]",non,non
=======
0,19-175075,2019-11-23,2020-02-18,['1'],Marché de fournitures pour les Services Techniques,joue,directive24,attribution,initial,COMMUNE D OYONNAX,01100,Oyonnax,,"['Habillement', 'Matériel de sécurité', 'Menuiserie']","[150, 209, 222]",non,non
1,19-175007,2019-11-23,2020-02-18,['1'],Réhabilitation du parc des expositions Valexpo,joue,directive24,attribution,initial,COMMUNE D OYONNAX,01100,Oyonnax,,"['Ascenseur', 'Bâtiment', 'Revêtements de sols']","[17, 33, 308]",non,non
2,19-175005,2019-11-23,2020-02-18,['1'],Fourniture de gaz naturel par réseau,joue,directive24,attribution,initial,COMMUNE D OYONNAX,01100,Oyonnax,"[('2019-03-12', 'Direct Energie', (241641, 'EUR'), 'Fourniture de gaz naturel'), ('2019-03-12', 'Edf', (245672.12, 'EUR'), 'Fourniture de gaz naturel'), ('2019-03-12', ""Société d'Approvisionnement et de Vente d'Energies"", (237323.7, 'EUR'), 'Fourniture de gaz naturel')]","['Electricité, gaz (fourniture)']",[443],non,oui
>>>>>>> 87b33089c6cceeb827ef37cf34298e012170caca
3,19-174891,2019-11-23,2020-01-06,"['1', '38', '73']",Service de transport à la demande en porte à porte sur le territoire de la Communauté de communes Bugey Sud,joue,directive24,appeloffre,initial,Communauté de communes Bugey Sud,01300,BELLEY,,['Transport'],[347],non,non
4,19-175134,2019-11-23,2019-12-06,['2'],prestations relatives à la location d'engins-. (rectificatif),joue,autre,rectificatif,rectificatif,Valor'Aisne,02000,LAON,,['Equipement industriel'],[112],non,non
5,19-175538,2019-11-23,2019-12-31,['4'],Marché de prestations de services d'assurances,joue,directive24,attribution,initial,Habitations de Haute-Provence,04005,DIGNE LES BAINS,,['Assurance'],[20],non,non
6,19-175264,2019-11-23,2020-01-23,['6'],PRESTATION DE TRANSPORTS ASSIS DE PATIENTS - SECTEUR NICE ET ENVIRONS,joue,directive24,appeloffre,initial,C.H.U. de Nice,06003,Nice cedex 1,,['Transport'],[347],non,non
<<<<<<< HEAD
7,19-174939,2019-11-23,2019-12-21,['6'],"Fourniture d'équipements de réseaux informatiques, de pièces détachées, de logiciels spécifiques et de prestations associées",joue,directive24,attribution,initial,SDIS (06),06270,Villeneuve Loubet,"[('2019-10-25', 'AXIANS SYSTELCOM', (526632, 'EUR'), ""L'accord-cadre concerne la fourniture d'équipements de réseaux informatiques, de pièces détachées, de logiciels spécifiques et de prestations associées."")]","['Informatique (matériel)', 'Informatique (prestations de services)', 'Informatique (assistance)', 'Informatique (maintenance serveurs et réseaux)']","[162, 163, 453, 454]",non,non
8,19-174940,2019-11-23,2019-12-19,['6'],"Fourniture d'aspirateurs de mucosités, de consommables et prestations de maintenances préventive et corrective",joue,directive24,attribution,initial,SDIS (06),06270,Villeneuve Loubet,"[('2019-11-15', 'LAERDAL MEDICAL FRANCE', (95643, 'EUR'), 'FOURNITURE D ASPIRATEURS DE MUCOSITES, DE CONSOMMABLES ET PRESTATIONS DE MAINTENANCES PREVENTIVE ET CORRECTIVE')]","['Consommables médicaux', 'Maintenance', 'Matériel médical']","[69, 196, 212]",non,non
=======
7,19-174940,2019-11-23,2019-12-19,['6'],"Fourniture d'aspirateurs de mucosités, de consommables et prestations de maintenances préventive et corrective",joue,directive24,attribution,initial,SDIS (06),06270,Villeneuve Loubet,"[('2019-11-15', 'LAERDAL MEDICAL FRANCE', (95643, 'EUR'), 'FOURNITURE D ASPIRATEURS DE MUCOSITES, DE CONSOMMABLES ET PRESTATIONS DE MAINTENANCES PREVENTIVE ET CORRECTIVE')]","['Consommables médicaux', 'Maintenance', 'Matériel médical']","[69, 196, 212]",non,non
8,19-174939,2019-11-23,2019-12-21,['6'],"Fourniture d'équipements de réseaux informatiques, de pièces détachées, de logiciels spécifiques et de prestations associées",joue,directive24,attribution,initial,SDIS (06),06270,Villeneuve Loubet,"[('2019-10-25', 'AXIANS SYSTELCOM', (526632, 'EUR'), ""L'accord-cadre concerne la fourniture d'équipements de réseaux informatiques, de pièces détachées, de logiciels spécifiques et de prestations associées."")]","['Informatique (matériel)', 'Informatique (prestations de services)', 'Informatique (assistance)', 'Informatique (maintenance serveurs et réseaux)']","[162, 163, 453, 454]",non,non
>>>>>>> 87b33089c6cceeb827ef37cf34298e012170caca
9,19-175095,2019-11-23,2020-01-21,['6'],Commune de Nice - Avenue de Rimiez entre le no162 et le vieux chemin de Gairaut : travaux d'élargissement,joue,directive24,attribution,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,"[('2019-11-20', 'AMTP', (642234, 'EUR'), ""Il commence à courir à compter de la date fixée par l'ordre de service émis par le pouvoir adjudicateur qui prescrira de commencer les prestations. Le marché ne sera pas reconduit."")]",['Voirie'],[365],non,non
10,19-175297,2019-11-23,2020-12-31,['8'],2019PF02 maîtrise d'oeuvre pour la construction du pôle scolaire de Tagnon,joue,directive24,attribution,initial,CC du Pays rethélois,08300,RETHEL,,"[""Maîtrise d'oeuvre""]",[197],non,non
11,19-175397,2019-11-23,2020-01-30,['10'],CONTROLE DE LA QUALITE DES EAUX DESTINEES A LA CONSOMMATION HUMAINE,joue,directive24,attribution,initial,Régie du SDDEA,10000,TROYES,,['Prestations de services'],[274],non,non
12,19-175267,2019-11-23,2020-01-06,['10'],"ETUDE DE L'OCCUPATION DES SOLS ET DIAGNOSTIC DES PRATIQUES, IDENTIFICATION DES RISQUES, ELABORATION DU PROGRAMME D'ACTION ET EVALUATION TECHNICO-ECONOMIQUE DANS LE CADRE DES PHASES 3 ET 4 DE",joue,directive24,appeloffre,initial,Régie du SDDEA,10000,TROYES,,['Etude'],[118],non,non
13,19-175131,2019-11-23,2020-01-30,['10'],Marché d'Exploitation et de Maintenance des Installations thermiques des bâtiments communaux,joue,directive24,attribution,initial,Ville Saint-André les Vergers,10120,SAINT ANDRE LES VERGERS,"[('2019-11-20', 'ENGIE ENERGIE SERVICES - COFELY', (201596.44, 'EUR'), 'Lot unique')]",['Maintenance'],[196],non,non
14,19-169967,2019-11-23,2019-12-23,['11'],assurance des risques statutaires du personnel,joue,directive24,appeloffre,initial,CARCASSONNE AGGLO,11890,Carcassonne,,['Assurance'],[20],non,non
15,19-174955,2019-11-23,2019-12-21,['11'],Maîtrise d'oeuvre pour la construction d'une unité de méthanisation des boues de la station d'épuration de Carcassonne St jean,joue,directive24,attribution,initial,CARCASSONNE AGGLO,11890,Carcassonne,,"[""Maîtrise d'oeuvre"", 'Ingénierie']","[197, 455]",non,non
<<<<<<< HEAD
16,19-173952,2019-11-23,2020-01-21,['13'],Fourniture de colonnes d'apport volontaire enterrées,joue,directive24,attribution,initial,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,"[('2019-10-21', 'ESE FRANCE', (1080458.26, 'EUR'), 'Territoire Marseille Provence - Istres Ouest Provence - Pays de Martigues'), ('2019-10-21', 'SULO France', (1131829.34, 'EUR'), ""Territoire du pays d'Aix - Territoire du Pays Salonais - Territoire du Pays d'Aubagne et de l'Etoile"")]","['Conteneur, poubelles']",[71],non,non
17,19-175193,2019-11-23,2019-11-29,['13'],Concession d'Aménagement relative au Parc Corot,joue,autre,rectificatif,rectificatif,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,,['Démolition'],[87],non,non
18,19-175211,2019-11-23,2019-12-23,"['13', '83', '84']",Fourniture d'un engin de compactage à déchets,joue,directive24,appeloffre,initial,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,,['Véhicules'],[359],non,non
19,19-175494,2019-11-23,2020-01-13,['13'],Fourniture Et Livraison De Tenues De Cuisine Destinées Aux Agents De La Ville D'Aix-En-Provence,joue,directive24,appeloffre,initial,COMMUNE D AIX EN PROVENCE,13100,Aix-en-Provence,,['Habillement'],[150],non,non
20,19-175489,2019-11-23,2019-11-29,['13'],Inspection Des Ouvrages Portuaires Bassins Ouest Du Grand Port Maritime De Marseille,joue,autre,rectificatif,rectificatif,GRAND PORT MARITIME DE MARSEILLE,13226,Marseille,,['Prestations de services'],[274],non,non
21,19-175311,2019-11-23,2020-02-28,['13'],"(Opération no192 - ZAC des Hauts de Sainte-Marthe) - Travaux d'aménagement urbain, paysagers et de VRD (Coeur de quartier Mirabilis - Ilot 25 Nord - Marseille 13014)",joue,directive24,appeloffre,initial,SOLEAM,13232,Marseille cedex 01,,['Voirie et réseaux divers'],[366],oui,oui
22,19-174980,2019-11-23,2020-01-21,['13'],Service de mise en place d'un dispositif de téléassistance aux personnes du bel âge et handicapées du Département des Bouches-du-Rhône,joue,directive24,attribution,initial,CONSEIL DEPARTEMENTAL 13,13256,Marseille,"[('2019-11-13', 'VITARIS', (8000000, 'EUR'), ""Service de mise en place d'un dispositif de téléassistance aux personnes du bel âge et handicapées du Département des Bouches-du-Rhône."")]",['Prestations de services'],[274],non,non
23,19-174950,2019-11-23,2020-01-21,['13'],"Prestation d'émission, de livraison et d'exploitation des chèques emploi service universel (CESU)",joue,directive24,attribution,initial,CONSEIL DEPARTEMENTAL 13,13256,Marseille,"[('2019-11-18', 'EDENRED', (1800000, 'EUR'), ""Prestation d'émission, de livraison et d'exploitation des chèques emploi service universel (CESU) pour assurer le contrôle de l'effectivité de l'emploi direct de l'aide personnalisée d'autonomie (APA) et des aides humaines de la prestation de compensation du handicap (PCH)"")]",['Prestations de services'],[274],non,non
24,19-174961,2019-11-23,2020-02-17,['13'],"Acquisition, intégration et maintenance d'un logiciel de gestion des aides sociales pour les personnes âgées et les personnes handicapées",joue,directive24,attribution,initial,CONSEIL DEPARTEMENTAL 13,13256,Marseille cedex 20,"[('2019-10-24', 'GFI PROGICIELS', (1500000, 'EUR'), ""Acquisition, intégration et maintenance d'un logiciel de gestion des aides sociales pour les personnes âgées et les personnes handicapées"")]","['Impression', 'Logiciel']","[160, 186]",non,non
25,19-174990,2019-11-23,2020-01-21,['13'],Service d'émission et de gestion de chèques d'accompagnement personnalisé en faveur des populations défavorisées du Département des Bouches-du-Rhône.,joue,directive24,attribution,initial,CONSEIL DEPARTEMENTAL 13,13256,Marseille,"[('2019-11-18', 'EDENRED', (2800000, 'EUR'), ""Service d'émission et de gestion de chèques d'accompagnement personnalisé en faveur des populations défavorisées du Département des Bouches-du-Rhône."")]",['Prestations de services'],[274],non,non
26,19-175263,2019-11-23,2019-12-23,['13'],ACCORD-CADRE A BONS DE COMMANDE POUR L'IMPRESSION ET LA LIVRAISON D'ENVELOPPES ET DE POCHETTES POUR LES BESOINS DES SERVICES DU CONSEIL DEPARTEMENTAL DES BOUCHES-DU-RHONE,joue,directive24,appeloffre,initial,CONSEIL DEPARTEMENTAL 13,13256,Marseille,,['Papeterie'],[262],oui,oui
27,19-174911,2019-11-23,2019-12-31,['13'],"Marché de maîtrise d'oeuvre pour la réhabilitation du siège, la rénovation du clos couvert et des installations CVC de la CAF des BDR",joue,directive24,appeloffre,initial,C.A.F. des Bouches-du-Rhône,13348,Marseille cedex 20,,"[""Maîtrise d'oeuvre"", ""Assistance à maîtrise d'ouvrage""]","[197, 433]",non,oui
28,19-175165,2019-11-23,2020-02-18,['13'],Renouvellement de la Plateforme de Services (Pfs) des lycées publics de la Région Sud Provence Alpes Cotes d'Azur,joue,directive24,attribution,initial,Région Provence Alpes Côte d'Azur,13481,Marseille,"[('2019-11-04', 'Orange Business Services', (2333668, 'EUR'), None)]","['Informatique (matériel)', 'Informatique (prestations de services)', 'Informatique (assistance)', 'Informatique (maintenance serveurs et réseaux)']","[162, 163, 453, 454]",non,non
29,19-175156,2019-11-23,2019-12-20,['13'],Confortement des protections hydrauliques le long de la ligne des Chemins de fer de Provence,joue,autre,rectificatif,rectificatif,Région Provence Alpes Côte d'Azur,13481,Marseille,,['Ouvrage hydraulique'],[255],non,oui
30,19-175166,2019-11-23,2020-02-18,['13'],Prestations de développements informatiques,joue,directive24,attribution,initial,Région Provence Alpes Côte d'Azur,13481,Marseille,"[('2019-11-12', 'Sopra Steria Group', (610117, 'EUR'), None)]",['Informatique (prestations de services)'],[163],non,non
31,19-175504,2019-11-23,2020-01-31,['13'],Réalisation et exploitation de production photovoltaïque raccordées au réseau sur les aérodromes régionaux de Vinon et Château Arnoux Saint Auban,joue,autre,rectificatif,rectificatif,Région Provence Alpes Côte d'Azur,13481,Marseille,,['Photovoltaïque'],[476],non,non
=======
16,19-175211,2019-11-23,2019-12-23,"['13', '83', '84']",Fourniture d'un engin de compactage à déchets,joue,directive24,appeloffre,initial,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,,['Véhicules'],[359],non,non
17,19-175193,2019-11-23,2019-11-29,['13'],Concession d'Aménagement relative au Parc Corot,joue,autre,rectificatif,rectificatif,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,,['Démolition'],[87],non,non
18,19-173952,2019-11-23,2020-01-21,['13'],Fourniture de colonnes d'apport volontaire enterrées,joue,directive24,attribution,initial,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,"[('2019-10-21', 'ESE FRANCE', (1080458.26, 'EUR'), 'Territoire Marseille Provence - Istres Ouest Provence - Pays de Martigues'), ('2019-10-21', 'SULO France', (1131829.34, 'EUR'), ""Territoire du pays d'Aix - Territoire du Pays Salonais - Territoire du Pays d'Aubagne et de l'Etoile"")]","['Conteneur, poubelles']",[71],non,non
19,19-175494,2019-11-23,2020-01-13,['13'],Fourniture Et Livraison De Tenues De Cuisine Destinées Aux Agents De La Ville D'Aix-En-Provence,joue,directive24,appeloffre,initial,COMMUNE D AIX EN PROVENCE,13100,Aix-en-Provence,,['Habillement'],[150],non,non
20,19-175489,2019-11-23,2019-11-29,['13'],Inspection Des Ouvrages Portuaires Bassins Ouest Du Grand Port Maritime De Marseille,joue,autre,rectificatif,rectificatif,GRAND PORT MARITIME DE MARSEILLE,13226,Marseille,,['Prestations de services'],[274],non,non
21,19-175311,2019-11-23,2020-02-28,['13'],"(Opération no192 - ZAC des Hauts de Sainte-Marthe) - Travaux d'aménagement urbain, paysagers et de VRD (Coeur de quartier Mirabilis - Ilot 25 Nord - Marseille 13014)",joue,directive24,appeloffre,initial,SOLEAM,13232,Marseille cedex 01,,['Voirie et réseaux divers'],[366],oui,oui
22,19-174990,2019-11-23,2020-01-21,['13'],Service d'émission et de gestion de chèques d'accompagnement personnalisé en faveur des populations défavorisées du Département des Bouches-du-Rhône.,joue,directive24,attribution,initial,CONSEIL DEPARTEMENTAL 13,13256,Marseille,"[('2019-11-18', 'EDENRED', (2800000, 'EUR'), ""Service d'émission et de gestion de chèques d'accompagnement personnalisé en faveur des populations défavorisées du Département des Bouches-du-Rhône."")]",['Prestations de services'],[274],non,non
