,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,21-85788,2021-06-22,2021-07-23,"['1', '38', '42', '69', '71', '74']",Réalisation d'un plan de mobilité simplifié (PdMS),mapa,cmp2006,appeloffre,initial,Communauté de communes de la Côtière,01120,Montluel,,['Etude'],[118],non,non
1,21-85338,2021-06-22,2021-07-30,"['2', '51', '60', '80']",AGRANDISSEMENT DU CENTRE DE SECOURS DE VAILLY SUR AISNE,mapa,cmp2006,appeloffre,initial,COMMUNE DE VAILLY SUR AISNE,02370,Vailly sur Aisne,,"['Bâtiments modulaires', 'Bâtiment', 'Carrelage', 'Charpente', 'Couverture', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Voirie et réseaux divers']","[27, 33, 53, 57, 74, 105, 144, 222, 264, 270, 366]",non,non
2,21-85454,2021-06-22,2021-07-19,['3'],REFECTION DES ETANCHEITES DES TERRASSES BAT 6 PSYCHIATRIE EST - BAT 2 BMC - BAT 3 HOULBERT,fns,cmp2006,appeloffre,initial,CH VICHY,03207,VICHY,,['Terrasse'],[354],non,non
3,21-85211,2021-06-22,2021-07-22,['5'],"Terrassement, création de parois clouées et mise en place de cintres de sécurisation du Viaduc du Buzon",fns,cmp2006,appeloffre,initial,Ville de Gap,05007,GAP,,['Terrassement'],[341],non,non
4,21-85701,2021-06-22,2021-07-15,['5'],Acquisition de vêtements des agents de la Police Municipale et des agents de surveillance de la voie publique,fns,cmp2006,appeloffre,initial,Ville de Gap,05007,GAP,,"['Chaussures ou articles chaussants', 'Habillement']","[79, 150]",non,non
5,21-85537,2021-06-22,2021-07-22,['5'],Route Départementale 46 - PR 4+500 - Reconstruction du pont de Mardarel - Commune de Neffes,fns,cmp2006,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,GAP,,"[""Ouvrage d'art""]",[252],non,non
6,21-85322,2021-06-22,2021-09-19,['6'],Acquisition d'un espace carrière au sein d'un plus grand réseau social professionnel pour promouvoir la visibilité de l'Université dans sa stratégie de rayonnement international,fns,cmp2006,attribution,initial,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,06103,Nice,"[('2021-06-22', 'LinkedIn', (63000, 'EUR'), None)]","['Prestations de services', 'Publicité, Communication']","[274, 285]",non,non
7,21-85603,2021-06-22,2021-07-22,['6'],Dans le cadre de l'entretien de son patrimoine Côte d'Azur Habitat mène une politique de réhabilitation de ses résidences visant l'amélioration de la performance énergétique des bâtimen,fns,cmp2006,appeloffre,initial,Côte d'Azur Habitat,06200,Nice,,['Menuiserie'],[222],non,non
8,21-85414,2021-06-22,2021-08-03,"['6', '13']",2021-060 protections collectives translucides toiture centrale zone sud terminal 1 - Aéroport Nice Cote d'Azur,mapa,cmp2006,appeloffre,initial,Société Aéroports de la Côte d'Azur,06206,Nice Cedex 3,,"['Protection, chutes de pierres', ""Tous corps d'état""]","[288, 345]",non,non
9,21-85487,2021-06-22,2021-07-22,['6'],Travaux de réhabilitation de lécole primaire et maternelle Du Devens à Mougins,fns,cmp2006,attribution,initial,Mairie de Mougins,06250,MOUGINS,"[('2021-06-18', 'ADEVA', (33324.0, 'EUR'), None), ('2021-06-18', 'ECOGOM', (39179.08, 'EUR'), None), ('2021-06-18', 'EITB', (153766.0, 'EUR'), None), ('2021-06-18', 'SORIE', (27003.0, 'EUR'), None), ('2021-06-18', 'AUROCH SARL', (67036.6, 'EUR'), None)]","['Electricité (travaux)', 'Peinture (travaux)', 'Ravalement', 'Revêtements de sols']","[105, 264, 299, 308]",non,non
10,21-85598,2021-06-22,2021-07-21,['6'],ACQUISITION DE VETEMENTS DE TRAVAIL 2021-2025,fns,cmp2006,appeloffre,initial,Ville de Biot,06410,Biot,,['Habillement'],[150],non,non
11,21-85357,2021-06-22,2021-08-18,['7'],Réalisation d'un préau au collège Alex Mezenc au POUZIN,fns,cmp2006,appeloffre,initial,Département de l'Ardèche,07000,Privas,,['Bâtiment'],[33],non,non
12,21-85345,2021-06-22,2021-08-21,['7'],Réalisation d'un préau au collège Albert Mercoyrol à Cruas,fns,cmp2006,appeloffre,initial,Département de l'Ardèche,07000,Privas,,['Bâtiment'],[33],non,non
13,21-85519,2021-06-22,2021-08-21,['7'],Réfection des sanitaires élèves au collège Marie Curie à TOURNON SUR RHONE,fns,cmp2006,attribution,initial,Département de l'Ardèche,07007,Privas,"[('2021-06-04', 'Horjales', (22239.91, 'EUR'), None), ('2021-06-04', 'Sarl Mazet', (14600.0, 'EUR'), None), ('2021-06-04', 'Sarl Mazet', (18517.0, 'EUR'), None), ('2021-06-04', 'Menuiserie Huchet', (19380.0, 'EUR'), None), ('2021-06-04', 'Sanipac', (18159.91, 'EUR'), None), ('2021-06-04', 'Sarl Jeunot Dorian', (5144.19, 'EUR'), None)]",['Bâtiment'],[33],non,non
