a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-157443,2020-12-25,2021-02-05,"['4', '5']",maîtrise d'oeuvre relative aux travaux d'investissement et de réhabilitation des voies communales,joue,directive24,appeloffre,initial,Commune de Roumoules,04500,Roumoules,,"[""Maîtrise d'oeuvre""]",[197],non,non
20-157688,2020-12-25,2021-03-22,['4'],Fourniture de carburants en vrac pour les véhicules et matériels du Conseil Départemental des Alpes de Haute-Provence,joue,directive24,attribution,initial,Département des Alpes de Hte Provence,04995,Digne-Les-Bains,"[('2020-12-23', 'Boudouard Pere Et Fils', (1947022, 'EUR'), None)]","['Carburant, hydrocarbure']",[52],non,non
20-157335,2020-12-25,2021-03-22,['4'],Travaux de débroussaillement en bordure des routes départementales des Alpes de Haute-Provence,joue,directive24,attribution,initial,Département des Alpes de Hte Provence,04995,Digne-Les-Bains,"[('2020-12-11', 'Travaux et Environnement', (480000, 'EUR'), 'Maison technique de Digne les Bains'), ('2020-12-11', 'Serpe', (480000, 'EUR'), 'Maison technique de Digne les Bains'), ('2020-12-11', 'Clm Environnement', (480000, 'EUR'), 'Maison technique de Digne les Bains'), ('2020-12-11', 'Macagno', (480000, 'EUR'), 'Maison technique de Digne les Bains'), ('2020-12-11', 'Alpine des Bois', (480000, 'EUR'), 'Maison technique de Digne les Bains'), ('2020-12-11', 'Travaux et Environnement', (180000, 'EUR'), 'Maisons techniques de Forcalquier et de Sisteron'), ('2020-12-11', 'Serpe', (180000, 'EUR'), 'Maisons techniques de Forcalquier et de Sisteron'), ('2020-12-11', 'Clm Environnement', (180000, 'EUR'), 'Maisons techniques de Forcalquier et de Sisteron'), ('2020-12-11', 'Macagno', (180000, 'EUR'), 'Maisons techniques de Forcalquier et de Sisteron'), ('2020-12-11', 'Alpine des Bois', (180000, 'EUR'), 'Maisons techniques de Forcalquier et de Sisteron')]",['Travaux forestiers'],[350],oui,oui
20-157331,2020-12-25,2021-03-22,['4'],Prestations et services de téléphonie mobile,joue,directive24,attribution,initial,Département des Alpes de Hte Provence,04995,Digne-Les-Bains,"[('2020-12-18', 'Bouygues_telecom', (655540.92, 'EUR'), None)]","['Informatique (prestations de services)', 'Télécommunications', 'Matériel de téléphonie']","[163, 338, 339]",non,non
20-157656,2020-12-25,2021-01-23,['6'],"GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020",joue,directive24,attribution,initial,C.H.U. de Nice,06003,Nice cédex 1,"[('2020-12-10', 'AMBU', (16987.5, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-12-10', 'CAIR LGL', (4725, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020'), ('2020-12-10', 'MEDICINA FRANCE SAR', (22842, 'EUR'), 'GHT06- DISPOSITIFS MEDICAUX STERILES POUR SYSTEMES UROGENITAL, ORL, DIGESTIF, RESPIRATOIRE, NERVEUX ET DIVERS 2020')]",['Produits pharmaceutiques'],[280],non,non
20-157187,2020-12-25,2021-01-22,['6'],"FOURNITURE DE VAISSELLE, DE PETIT MATERIEL DE CUISINE ET DE PETIT MATERIEL DE MANUTENTION",joue,directive24,attribution,initial,C.H.U. de Nice,06003,Nice cédex 1,"[('2020-12-21', 'COMPTOIR de BRETAGNE', (194868.16, 'EUR'), 'Vaiselles'), ('2020-12-16', 'MONGIN JAUFFRET', (12424.8, 'EUR'), 'Bacs gerbables et casiers de lavage'), ('2020-12-17', 'SONIVA', (21615.16, 'EUR'), 'Plateaux')]",['Cuisine (équipement)'],[77],non,non
20-157245,2020-12-25,2021-01-21,['6'],Marché de travaux . Aménagements de bureaux au RDC du parking relais Vauban Saint Jean D'Angely,joue,directive24,appeloffre,initial,Régie Ligne d'Azur,06100,Nice,,"['Chauffage (exploitation, entretien)', 'Chauffage (travaux)', 'Climatisation', 'Cloison, faux plafond', 'Electricité (travaux)', 'Menuiserie', 'Mobilier', 'Plancher technique', 'Plomberie (travaux)', 'Revêtements de sols', 'Ventilation']","[59, 61, 62, 63, 105, 222, 230, 267, 270, 308, 360]",non,non
20-157517,2020-12-25,2021-02-28,['6'],Fourniture d'engins de damage pour les stations du Mercantour,joue,directive24,attribution,initial,Syndicat Mixte Stations du Mercantour,06203,NICE,"[('2020-11-30', 'KASSBOHRER', (1465400, 'EUR'), ""Fourniture et reprise d'engins de damage""), ('2020-11-30', 'KASSBOHRER', (194679, 'EUR'), ""Fourniture d'un système de mesure de neige pour les engins de damage"")]","['Informatique (matériel)', 'Véhicules (acquisition)']","[162, 475]",non,non
20-157367,2020-12-25,2021-01-22,['6'],"Prestation d'émission, de livraison et de suivi de gestion de titres restaurants",joue,directive24,appeloffre,initial,COMMUNE D ISOLA,06420,Isola,,['Titres restaurant'],[416],non,oui
20-157258,2020-12-25,2021-01-26,['6'],service de nettoiements de la voirie,joue,directive24,appeloffre,initial,COMMUNE DE LA COLLE SUR LOUP,06480,la colle sur Loup,,['Nettoyage urbain'],[240],non,non
20-157515,2020-12-25,2021-01-21,['6'],Maintenance des installations informatiques - serveurs et réseaux,joue,directive24,attribution,initial,Ville de Carros,06512,Carros Cedex,"[('2020-12-23', 'NOEVA - SIVEA PCS', (240001, 'EUR'), 'Maintenance des installations informatiques - serveurs et réseaux')]",['Informatique (maintenance serveurs et réseaux)'],[454],non,non
20-157350,2020-12-25,2021-02-22,['6'],"Acquisition de mobiliers urbains de repos, de propreté et de fleurissement",joue,directive24,attribution,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,"[('2020-12-22', 'ATECH SAS', (90000, 'EUR'), 'Mâts et barrières de fleurissement')]","['Equipements spécialisés', 'Mobilier']","[115, 230]",non,non
