,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,21-80665,2021-06-16,2021-07-20,['1'],"Curage et création de fossés, dérasement et remise à niveau d'accotements pour le Département de l'Ain",joue,directive24,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,['Curage'],[78],non,non
1,21-82159,2021-06-16,2021-09-06,['1'],"Mise en oeuvre, extension, modernisation et maintenance de dispositifs de vidéo protection",fns,cmp2006,appeloffre,initial,CA du Bassin de Bourg en Bresse,01008,BOURG EN BRESSE CEDEX,,['Télésurveillance'],[415],non,non
2,21-80833,2021-06-16,2021-07-19,['1'],Accord-cadre de prestations topographiques des réseaux d'eau potable et d'assainissement sur le territoire de Haut-Bugey Agglomération,joue,directive24,appeloffre,initial,Haut-Bugey Agglomération,01117,Oyonnax cedex,,['Topographie'],[344],non,non
3,21-82231,2021-06-16,2021-07-30,"['1', '3', '38', '42', '69', '73', '74']","Fourniture de consommables pour fabrication et réparation au profit de la division survie, sécurité, sauvetage de l'Atelier industriel de l'aéronautique d'Ambérieu-en-Bugey.",fns,cmp2006DEFENSE,appeloffre,initial,AIA Ambérieu en Bugey,01500,Amberieu-en-bugey,,['Equipements spécialisés'],[115],non,non
4,21-82114,2021-06-16,2021-06-29,"['1', '3', '38', '42', '69', '73', '74', '71']",Equipements spécifiques de survie 3S de l'Atelier Industriel de l'Aéronautique d'Ambérieu en Bugey.,fns,cmp2006DEFENSE,appeloffre,initial,AIA Ambérieu en Bugey,01500,Ambérieu en bugey,,['Equipements spécialisés'],[115],non,non
5,21-82386,2021-06-16,2021-08-15,['1'],"entretien, maintenance, géo-détection et géo-référencement du réseau d'éclairage public et sportif de la commune de meximieux",fns,cmp2006,attribution,initial,Mairie de Meximieux,01800,Meximieux,,"['Eclairage public', 'Réseaux divers']","[102, 306]",non,non
6,21-81087,2021-06-16,2021-07-18,['3'],Réhabilitation Thermique de 7 immeubles - 319 logements résidence les Chartreux 03000 MoulinsL'opération est allotie en 13 lots : Lot principal : no3 : ITE / RAVALEMENTS,joue,directive24,attribution,initial,EVOLEA,03000,MOULINS,,['Isolation'],[169],non,non
7,21-80457,2021-06-16,2021-07-12,['3'],renouvellement de l'éclairage du terrain synthétique de football - complexe sportif jean moulin,mapa,cmp2006,appeloffre,initial,Ville de Cusset,03306,Cusset,,['Eclairage public'],[102],non,non
8,21-81104,2021-06-16,2021-07-30,['3'],Marché de Service Assurance,joue,directive24,appeloffre,initial,Ville de Domérat,03410,Domerat,,['Assurance'],[20],non,non
9,21-82282,2021-06-16,2021-07-08,['4'],TRAVAUX DE REFECTION DE PISTE DFCI ET CREATION DE COUPURE DE COMBUSTIBLES,fns,cmp2006,appeloffre,rectificatif,DURANCE LUBERON VERDON AGGLOMERATION,04100,Manosque,,['Travaux forestiers'],[350],non,non
10,21-82139,2021-06-16,2021-09-16,['5'],Marché de travaux relatif à la création d'un service d'irm dans les locaux du centre hospitalier des escartons à briançon,fns,cmp2006,attribution,initial,CTRE HOSPITALIER INTERCOM ALPES DU SUD,05007,Gap cedex,"[('2021-06-09', 'Sarl olive travaux', (117414.75, 'EUR'), None), ('2021-06-15', 'Sas massé construction métallique', (20187.0, 'EUR'), None), ('2021-06-09', 'Pnr sarl', (37599.8, 'EUR'), None), ('2021-06-14', 'Menuiserie de la tour sas', (48512.46, 'EUR'), None), ('2021-06-09', 'Gap carrelage sarl', (27800.98, 'EUR'), None), ('2021-06-09', 'Maddalon peinture sasu', (12020.0, 'EUR'), None), ('2021-06-14', 'Chancel sas', (171830.02, 'EUR'), None), ('2021-06-09', 'Gpf sas', (7388, 'EUR'), None), ('2021-06-09', 'Cimelec sarl', (67054.35, 'EUR'), None), ('2021-06-09', 'Acr sas', (144595, 'EUR'), None)]",['Gros oeuvre'],[144],non,non
11,21-82553,2021-06-16,2021-07-13,['5'],RD 1085 - Viaduc du Beynon - Remplacement des garde corps de l'ouvrage,fns,cmp2006,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,GAP,,"[""Ouvrage d'art""]",[252],oui,non
12,21-82333,2021-06-16,2021-07-26,['6'],CHU de Nice - Hôpital de Cimiez Mossa - Travaux de remplacement de chaudière et brûleur gaz,fns,cmp2006,appeloffre,rectificatif,C.H.U. de Nice,06003,Nice cedex 1,,"['Chauffage (travaux)', 'Plomberie (travaux)']","[61, 270]",non,non
13,21-82468,2021-06-16,2021-07-15,['6'],Fourniture de câbles industriels et informatiques,fns,cmp2006,appeloffre,initial,Régie Ligne d'Azur,06100,NICE,,"['Câblage', 'Equipement industriel', 'Informatique (matériel)', 'Transport']","[47, 112, 162, 347]",non,non
14,21-80531,2021-06-16,2021-07-16,['6'],Acquisition de mannequins de simulation médicale pour la faculté de Médecine,joue,directive24,appeloffre,initial,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,06103,Nice,,"['Equipements spécialisés', 'Laboratoire (matériel)', 'Matériel électronique médical', 'Matériel de précision']","[115, 188, 205, 215]",non,oui
15,21-80614,2021-06-16,2021-07-08,['6'],"Emission, livraison et suivi de gestion des titres restaurant",joue,directive24,appeloffre,initial,Côte d'Azur Habitat,06200,Nice,,['Titres restaurant'],[416],non,non
16,21-67331,2021-06-16,2021-07-08,['6'],formations aux permis poids lourds (catégorie c) et super lourds (catégorie ce) pour les besoins des personnels du département des alpes-maritimes,fns,cmp2006,appeloffre,initial,Département des Alpes-Maritimes,06200,Nice,,['Formation'],[410],non,non
17,21-70307,2021-06-16,2021-07-13,['6'],travaux de confortement et de sécurisation du gr51 à bordinas - commune de cantaron,fns,cmp2006,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice Cedex 3,,"['Travaux forestiers', 'Travaux de viabilité']","[350, 353]",non,non
18,21-80958,2021-06-16,2021-07-22,['6'],La consultation a pour objet la réalisation de prestations de géomètre sur l'ensemble du périmètre de l'opération d'intérêt national (OIN).,joue,autre,rectificatif,rectificatif,EPA ECOVALLEE PLAINE DU VAR,06205,Nice,,['Topographie'],[344],non,non
19,21-82071,2021-06-16,2021-07-16,['6'],"accord-cadre marquages au sol, signalisation routière et aéronautique des aéroports de la côte d'azur",mapa,cmp2006,appeloffre,initial,Société Aéroports de la Côte d'Azur,06206,Nice cedex 3,,"['Matériaux routiers', 'Peinture (travaux)']","[199, 264]",non,non
