a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-23536,2020-02-14,2020-03-06,['1'],Grande Inspection des Cabines de la télécabine de la Catheline,fns,cmp2006,appeloffre,initial,SYNDICAT MIXTE DES MONTRS JURA,01170,Crozet,,"['Télécabines, télésièges, téléskis']",[337],non,non
20-23501,2020-02-14,2020-03-13,['1'],marché relatif à l'exécution des travaux de réfection de la rue de l'alouette avec mise en sécurité des piétons.,fns,cmp2006,appeloffre,initial,COMMUNE DE COLLONGES,01550,Collonges,,"['Espaces verts', 'Signalisation', 'Voirie et réseaux divers']","[116, 322, 366]",non,non
20-23640,2020-02-14,2020-02-26,['2'],Fourniture et installation d'un dispositif de refroidissement d'air pour les locaux du site d'Urvillers-.,fns,cmp2006,appeloffre,rectificatif,Valor'Aisne,02000,LAON,,"[""Tous corps d'état""]",[345],non,non
20-23669,2020-02-14,2020-03-20,['2'],travaux de rétablissement de la continuité écologique de la rivière selle,mapa,cmp2006,appeloffre,initial,FEDERAT AISNE PECHE PROTECT MILIEU AQU,02000,barenton-bugny,,"['Berge', 'Rivières/ruisseaux', ""Travaux dans l'eau""]","[35, 310, 349]",non,non
20-23638,2020-02-14,2020-03-06,['2'],Prestation de blanchissage Consultation lancée par un groupement de commandes composé des membres suivants : - Agglomération du Saint-Quentinois Coordonnateur du groupement de commandes : Ville de Sai,fns,cmp2006,appeloffre,initial,COMMUNE DE SAINT QUENTIN,02107,SAINT-QUENTIN,,['Blanchissage'],[36],non,non
20-23753,2020-02-14,2020-03-13,"['59', '51', '60', '80']",Numéro de la consultation : MAPA 20 VOI 01 Rue et place EMILE LAMART,fns,cmp2006,appeloffre,initial,COMMUNE DE GUISE,02120,GUISE,,['Voirie et réseaux divers'],[366],non,non
20-23306,2020-02-14,2020-03-12,['3'],ACQUISITION DE FOURNITURES DE PLOMBERIE POUR LE MAGASIN GENERAL DU CTM,fns,cmp2006,appeloffre,initial,Ville de Montluçon,03106,Montlucon,,['Radiologie (matériel)'],[313],non,non
20-23824,2020-02-14,2020-04-14,['4'],Fourniture de pièces détachées et prestations annexes pour l'entretien et la réparation des véhicules PL,fns,cmp2006,attribution,initial,Commune de Manosque,04100,Manosque,,['Pièces détachées'],[266],non,non
20-23834,2020-02-14,2020-02-28,['4'],Minage et évacuation des déblais suite à l'éboulement rocheux du 2 décembre 2019,fns,cmp2006,appeloffre,initial,Mairie des Mées,04190,Mées,,"[""Déclencheur d'avalanche,explosif"", 'Matériel de travaux publics']","[83, 220]",non,non
20-22674,2020-02-14,2020-04-30,['4'],Fourniture De Vetements Haute Visibilite Et De Vetements De Travail,joue,directive24,appeloffre,initial,Département des Alpes de Hte Provence,04995,Digne-Les-Bains,,"['Habillement', 'Matériel de sécurité']","[150, 209]",non,oui
20-23469,2020-02-14,2020-03-19,['4'],Numéro de la consultation : 20MTS001 Travaux d'aménagement et de rénovation du collège Marcel ANDRE à Seyne les Alpes,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,"['Cloison, faux plafond', 'Electricité (travaux)', 'Menuiserie', 'Peinture (travaux)', 'Terrassement']","[63, 105, 222, 264, 341]",non,non
20-23580,2020-02-14,2020-03-16,['5'],RETRAITEMENT EN PLACE DES ROUTES DEPARTEMENTALES,fns,cmp2006,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,GAP,,['Voirie'],[365],oui,non
20-23786,2020-02-14,2020-03-05,['6'],MAPA 2020-019 REMPLACEMENT DU PRÉAU DE L'ÉCOLE MATERNELLE 'LES COUGOUSSOLLES',mapa,cmp2006,appeloffre,initial,COMMUNE LE CANNET,06110,LE CANNET,,"['Démolition', 'Génie civil', 'Métallerie', 'Amiante (désamiantage)']","[87, 141, 223, 479]",non,oui
