a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-95974,2021-07-11,2021-09-25,"['1', '69', '71', '38']",Le marché concerne la mise en place d'un marché d'exploitation et maintenance des installations de génie climatique des bâtiments communautaires de la Communauté de Communes Val de Saône Cen,joue,directive24,appeloffre,initial,CC Val de Saône Centre,01090,MONTCEAUX,,"['Bâtiment', 'Chauffage (exploitation, entretien)', 'Maintenance', 'Electricité, gaz (fourniture)']","[33, 59, 196, 443]",non,non
21-96390,2021-07-11,2021-07-19,['1'],Accord-cadre de prestations topographiques des réseaux d'eau potable et d'assainissement sur le territoire de Haut-Bugey Agglomération,joue,autre,rectificatif,rectificatif,Haut-Bugey Agglomération,01117,Oyonnax cedex,,['Topographie'],[344],non,non
21-83158,2021-07-11,2021-10-15,['2'],"Concession pour la gestion et l'exploitation par voie d'affermage du service public du complexe piscine-patinoire "" le dôme "".",joue,directive23,appeloffre,initial,Cté d'Agglo du Pays de Laon,02000,Aulnois-sous-Laon,,"['Equipement sportif', 'Piscine', 'Délégation de service public']","[113, 265, 406]",non,non
21-96461,2021-07-11,2021-09-15,"['2', '51', '77']",Fourniture de repas en liaison froide,joue,directive24,appeloffre,initial,COM DE COMMUNES CANT CHARLY SUR MARNE,02310,Charly sur marne,,"['Denrées alimentaires', 'Repas, traiteur']","[88, 304]",non,non
21-96295,2021-07-11,2021-09-15,"['2', '51', '77']",Prestation des services d'assurances en groupement de commandes,joue,directive24,appeloffre,initial,COM DE COMMUNES CANT CHARLY SUR MARNE,02310,Charly sur marne,,['Assurance'],[20],non,non
21-96257,2021-07-11,2021-07-31,['2'],"Entretien des véhicules, pneumatiques et autres matériels de GrandSoissons Agglomération et ses communes membres",joue,directive24,attribution,initial,Cté. d'Agglo. du Soissonnais,02880,Cuffies,,"['Pneumatiques', 'Véhicules']","[271, 359]",oui,non
21-95199,2021-07-11,2021-07-31,['2'],"Approvisionnement en biomasse bois pour la chaufferie du complexe aquatique "" Les Bains du Lac """,joue,directive24,attribution,initial,Cté. d'Agglo. du Soissonnais,02880,Cuffies,"[('2021-06-22', 'BI-VERT', (400000, 'EUR'), 'Approvisionnement en biomasse bois pour la chaufferie du complexe aquatique "" Les Bains du Lac ""')]","['Bois', 'Carburant, hydrocarbure', 'Chauffage (matériel)']","[38, 52, 60]",non,oui
21-95507,2021-07-11,2021-09-07,['4'],"Travaux De Branchements, D'Entretien, De Reparations, De Renouvellements Et D'Extension Des Reseaux D'Eau Potable, D'Assainissement Et De Pluvial Sur Le Pole De Sainte Tulle Et Le",joue,directive24,appeloffre,initial,DURANCE LUBERON VERDON AGGLOMERATION,04100,Manosque,,"['Alimentation en eau potable', 'Assainissement']","[6, 18]",non,non
21-95581,2021-07-11,2021-07-24,['6'],maintenance des distributeurs de gasoil et de distributeurs d'AD Blue,joue,directive25,appeloffre,initial,Régie Ligne d'Azur,06100,Nice,,['Maintenance'],[196],non,non
21-95649,2021-07-11,2021-09-24,['6'],Prestations d'assurance,joue,directive24,appeloffre,initial,Ville de Vence,06140,Vence,,['Assurance'],[20],non,non
21-95941,2021-07-11,2021-07-30,['6'],Location de matériels et équipements évènementiels (rectificatif),joue,autre,rectificatif,rectificatif,Ville de Vence,06140,VENCE,,"['Bâtiments modulaires', 'Location (matériels)', 'Matériel scénique', 'Sanitaire', 'Sonorisation', 'Evénementiel']","[27, 185, 216, 319, 324, 445]",non,non
21-95699,2021-07-11,2021-08-09,['6'],Fourniture de matériels électriques pour les agences et les régies de Côte d'Azur Habitat.,joue,directive24,attribution,initial,Côte d'Azur Habitat,06200,Nice,"[('2021-07-08', 'REXEL FRANCE', (960000, 'EUR'), ""Fourniture de matériels électriques pour les agences et régies de Côte d'Azur habitat"")]",['Matériel électrique'],[203],non,non
21-96513,2021-07-11,2021-09-18,['6'],Le présent appel d'offres a pour objet la souscription des contrats d'assurance pour l'ETABLISSEMENT PUBLIC D'AMENAGEMENT ECOVALLEE-PLAINE DU VAR.,joue,directive24,appeloffre,initial,EPA ECOVALLEE PLAINE DU VAR,06205,Nice,,['Assurance'],[20],non,non
21-95645,2021-07-11,2021-09-10,['6'],"Prestations d'élagage, d'abattage, d'essouchage et de taille des végétaux",joue,directive24,attribution,initial,Ville de Mandelieu La Napoule,06212,MANDELIEU Cedex,"[('2021-06-29', 'CLM ENVIRONNEMENT SAS', (1200000, 'EUR'), ""Prestations d'élagage, d'abattage, d'essouchage et de tailledes végétaux"")]",['Espaces verts'],[116],oui,oui
21-96291,2021-07-11,2021-09-09,['6'],20N0829 - ASSURANCE DOMMAGES AUX BIENS DE LA METROPOLE,joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,"['Assurance', 'Prestations de services']","[20, 274]",non,non
21-96309,2021-07-11,2021-08-09,['6'],Travaux de reconstruction de la zone de débarquement sur l'île Sainte Marguerite,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,['Travaux sous-marins'],[351],non,oui
21-95588,2021-07-11,2021-09-13,['6'],Prestations d'entretien du patrimoine arboré et arbustif,joue,directive24,appeloffre,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,,['Prestations de services'],[274],non,non
21-95580,2021-07-11,2021-08-19,['6'],accord cadre pour la fourniture de petits equipements urbains destines aux espaces geres par la commune,joue,directive24,appeloffre,initial,Ville de Cagnes sur Mer,06800,CAGNES SUR MER,,['Mobilier urbain'],[231],non,non
21-96333,2021-07-11,2021-08-24,['7'],Renouvellement d'une convention de participation 'prévoyance' pour les agents du SDIS de l'Ardèche,joue,directive24,appeloffre,initial,SCE DEPARTEMENTAL INCENDIE ET SECOURS,07007,Privas cedex,,['Assurance'],[20],non,non
21-96434,2021-07-11,2021-08-31,['8'],SUIVI-ANIMATION OPAH : RENOUVELLEMENT URBAIN ASSOCIE A L'OPERATION COEUR DE VILLE DE SEDAN-.,joue,directive24,appeloffre,initial,ARDENNE METROPOLE,08000,CharlevilleMézières,,['Etude'],[118],non,non
21-96466,2021-07-11,2021-08-10,['10'],Accord-cadre mono-attributaire à bons de commande relatif à l'acquisition et à la livraison de petits équipements en mousse et de petits matériels de sport pour le Pôle Famille et Proximité-.,joue,directive24,appeloffre,initial,MAIRIE DE TROYES,10000,TROYES,,['Mobilier'],[230],non,oui
21-93278,2021-07-11,2021-09-09,['10'],droit d'accès à une application web permettant le suivi et l'optimisation de la dette de la dette garantie et de la trésorerie,joue,directive24,intentionconclure,initial,Troyes Champagne Métropole,10000,Troyes,"[('2021-07-09', 'FINANCE ACTIVE', (33400, 'EUR'), None)]",['Logiciel'],[186],non,non
