,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,21-43924,2021-04-03,2021-05-03,['1'],Rénovation et valorisation touristique et culturelle de la cuivrerie de CERDON,joue,directive24,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,"['Film', 'Vidéo, cinéma']","[127, 362]",non,non
1,21-44478,2021-04-03,2021-05-05,['2'],La consultation concerne la Fourniture et livraison de pièces détachées pour débroussailleuses pour le Conseil départemental de l'Aisne.-.,joue,directive24,appeloffre,initial,DEPARTEMENT DE L'AISNE,02000,Laon,,['Transport'],[347],non,non
2,21-44479,2021-04-03,2021-05-05,['2'],Le présent marché a pour objet la LOCATION AVEC ENTRETIEN DE VEHICULES NEUFS POUR LES BESOINS DU LABORATOIRE DEPARTEMENTAL D'ANALYSES ET DE RECHERCHE DE L'AISNE (LDAR).-.,joue,directive24,appeloffre,initial,DEPARTEMENT DE L'AISNE,02000,Laon,,['Transport'],[347],non,non
3,21-44144,2021-04-03,2021-06-29,"['3', '63']",L'exploitation et la maintenance de la chaufferie biomasse du Centre Hospitalier Spécialisé d'Ainay Le Château (03,joue,directive24,attribution,initial,CENTRE HOSPITALIER AINAY LE CHATEAU,03360,Ainay Le Chateau,"[('2021-02-26', 'Engie Solutions', (393813, 'EUR'), None)]","['Chauffage (exploitation, entretien)']",[59],non,non
4,21-44312,2021-04-03,2021-05-06,['4'],"Fourniture de denrées alimentaires (viande fraiche, volaille fraiche, charcuterie) pour l'Unité de Préparation Culinaire (Upc) et cinq collèges du Département",joue,autre,rectificatif,rectificatif,Département des Alpes de Hte Provence,04995,Digne-Les-Bains,,['Denrées alimentaires'],[88],non,non
5,21-44112,2021-04-03,2021-04-10,"['6', '4', '83']",ENTRETIEN DE LA VEGETATION DES COURS D'EAU ET DES OUVRAGES DU TERRITOIRE DU SMIAGE,joue,directive24,appeloffre,initial,SYND MIXTE INONDATIONS AMENAGEMENT GES,06204,NICE Cedex 3,,"['Prestations de services', 'Rivières/ruisseaux']","[274, 310]",non,non
6,21-44514,2021-04-03,2021-06-01,['10'],Travaux d'assainissement programme 2020-01 : mise en séparatif - déraccordement de gouttières - renouvellement de 2 postes de refoulement,joue,directive24,intentionconclure,initial,Troyes Champagne Métropole,10000,Troyes,"[('2021-04-01', 'SA SADE', (1253288.71, 'EUR'), 'Travaux d\x92assainissement programme 2020-01 : mise en séparatif - déraccordement de gouttières - renouvellement de 2 postes de refoulement ')]",['Assainissement'],[18],oui,non
7,21-44424,2021-04-03,2021-05-05,['10'],Fourniture et installation d'un VMS pour l'exploitation du système de vidéoprotection du CSUI de Troyes Champagne Métropole-.,joue,directive24,appeloffre,initial,Troyes Champagne Métropole,10000,TROYES,,['Equipement industriel'],[112],non,non
8,21-44215,2021-04-03,2021-05-03,['12'],mission de maitrise d'oeuvre pour réalisation d'un programme comprenant la construction d'environ 12 logements neufs et la réhabilitation d'un immeuble existant + un local d'activité à onet le château,joue,directive24,appeloffre,initial,Rodez Agglo Habitat,12000,Rodez,,"['Etude', ""Maîtrise d'oeuvre"", 'Prestations de services']","[118, 197, 274]",non,non
9,21-44111,2021-04-03,2021-04-16,['12'],"exécution de services de transports adaptés, créés à l'intention d'élèves aveyronnais, gravement handicapés ou scolarisés en unités localisées pour l'inclusion scolaire (rectificatif)",joue,autre,rectificatif,rectificatif,Conseil Départemental de l AVEYRON,12450,Flavin,,['Transport'],[347],non,non
10,21-44143,2021-04-03,2021-05-05,['13'],Mission d'assistance et d'études techniques sur le périmètre de l'EPA Euroméditerranée,joue,directive24,appeloffre,initial,EPA EUROMEDITERRANEE,13006,Marseille,,"['Assistance technique', 'Prestations de services']","[19, 274]",non,non
11,21-39801,2021-04-03,2021-06-01,['13'],20007PNCAL,joue,directive24,attribution,initial,Parc national des Calanques,13008,Marseille,"[('2021-03-15', 'Azur Signalétique', (100000, 'EUR'), 'Signalétique réglementaire'), ('2021-03-12', 'Alris Communication', (12000, 'EUR'), ""Signalétique d'urgence""), ('2021-03-15', 'Lacroix City Saint Herblain', (32000, 'EUR'), 'Signalétique routière'), ('2021-03-15', 'Office nationale des Fôrets', (80000, 'EUR'), ""Travaux de pose et d'entretien de l'ensemble de la signalétique du PNCal"")]",['Signalétique'],[333],non,non
12,21-44204,2021-04-03,2021-06-07,['13'],FOURNITURE DE GAZ NATUREL ET SERVICES ASSOCIES POUR LA REGIE DES TRANSPORTS METROPOLITAINS,joue,directive25,appeloffre,initial,Régie des Transports Métropolitains,13013,Marseille,,"['Electricité, gaz (fourniture)']",[443],non,non
