a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-121354,2020-10-05,2020-11-06,['2'],"Fourniture, livraison et gestion de titres restaurant dématérialisés",fns,cmp2006,appeloffre,initial,CA Chauny-Tergnier-La Fère,02300,CHAUNY,,['Titres restaurant'],[416],non,non
20-121312,2020-10-05,2020-12-01,['2'],fournir des repas en liaison froide pour le portage au domicile des personnes âgées,mapa,cmp2006,appeloffre,initial,SI de services et soins de l'Amitié,02430,Gauchy,,"['Restauration collective', 'Repas, traiteur']","[66, 304]",non,non
20-121620,2020-10-05,2020-10-27,['3'],"Travaux d'extension du Centre National du Costume de Scène - Lots no5A, 5B, 7, 15 et 18Ces lots font l'objet d'une nouvelle procédure de consultation après une première procédure décl",fns,cmp2006,appeloffre,initial,ETS PUB COOPERATION CULTURELLE CTRE NA,03000,Moulins,,"['Charpente', 'Couverture', 'Menuiserie', 'Mobilier']","[57, 74, 222, 230]",non,non
20-121190,2020-10-05,2021-01-02,['3'],Mission de Maîtrise d'oeuvre pour la réfection générale du pont de St Yorre RD121 (Commune de St Yorre),fns,cmp2006,attribution,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,"[('2020-10-02', 'INGEROP CLERMONT FERRAND', (89901, 'EUR'), None)]","[""Maîtrise d'oeuvre"", 'Ingénierie']","[197, 455]",non,non
20-121298,2020-10-05,2020-10-30,['3'],"La mission consiste à recenser les infrastructures existantes ou à venir et à définir leur catégorie de classement sonore, ainsi qu'à actualiser les données de l'observatoire du bruit sous M",mapa,cmp2006,appeloffre,initial,MINT / 03 - DDT - 03,03403,Yzeure cedex,,['Etude'],[118],non,non
20-120752,2020-10-05,2020-11-06,['4'],Construction de l'ehpad lou cigalou- les Mées/lot 04 menuiseries extérieures/lot 05 serrurerie /lot 08 plafonds suspendus/lot 10 sols durs/lot 12b courants faibles / lot 14 cuisine-buanderie,fns,cmp2006,appeloffre,initial,EMS LOU CIGALOU,04190,Les Mées,,['Bâtiment'],[33],non,non
20-120950,2020-10-05,2020-10-28,"['4', '5']",travaux d'aménagement d'un carrefour giratoire rd4075/rd124 lieu dit les armands.,fns,cmp2006,appeloffre,initial,COMMUNE DE MISON,04200,Mison,,['Voirie et réseaux divers'],[366],non,non
20-121182,2020-10-05,2020-11-10,['4'],Numéro de la consultation : 20SGB005 TRAVAUX DE RENOVATION AU CTRD - CENTRE ROUTIER DEPARTEMENTAL,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,"['Charpente', 'Couverture', 'Electricité (travaux)']","[57, 74, 105]",non,non
20-121459,2020-10-05,2020-10-26,['5'],Accord-cadre pour la fourniture de Mobiliers urbains,fns,cmp2006,appeloffre,initial,Ville de Gap,05007,GAP,,['Mobilier'],[230],non,non
20-113341,2020-10-05,2020-10-28,['6'],marché d'assurance sans franchise tous risques expositions des oeuvres d'art exposées au musée des arts asiatiques de nice et autres lieux d'exposition départementaux,fns,cmp2006,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice Cedex 3,,['Assurance'],[20],non,non
