a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-98536,2021-07-15,2021-08-06,['1'],Rénovation du sol de la halle d'animation de la Plaine Tonique - Malafretaz,fns,cmp2006,appeloffre,initial,CA du Bassin de Bourg en Bresse,01008,BOURG EN BRESSE CEDEX,,"['Carrelage', ""Ouvrage d'infrastructure""]","[53, 253]",non,non
21-98016,2021-07-15,2021-07-21,['1'],Accord-cadre de prestations topographiques des réseaux d'eau potable et d'assainissement sur le territoire de Haut-Bugey Agglomération,joue,autre,rectificatif,rectificatif,Haut-Bugey Agglomération,01117,Oyonnax cedex,,['Topographie'],[344],non,non
21-97812,2021-07-15,2021-09-09,['1'],"Accord-cadre à bons de commande pour la maintenance et petits travaux neufs sur installations d'éclairage public, feux tricolores et illuminations",joue,directive24,appeloffre,initial,Mairie de Miribel,01700,Miribel Cedex,,['Eclairage public'],[102],non,non
21-98173,2021-07-15,2021-08-23,['1'],Achat de deux véhicules porte outils de type agricole à quatre roues égales équipés pour la viabilité hivernale,joue,directive24,appeloffre,initial,Mairie de Thoiry,01710,THOIRY,,"['Déneigement', 'Véhicules (acquisition)']","[98, 475]",non,non
21-98795,2021-07-15,2021-08-13,"['2', '59', '8', '60', '80', '75']",Travaux d'aménagement du square de l'église saint-martin,fns,cmp2006,appeloffre,initial,Mairie de Montcornet,02340,Montcornet,,"['Espaces verts', 'Mobilier urbain']","[116, 231]",non,non
21-81549,2021-07-15,2021-08-16,"['3', '63']",mise a disposition de contenants de stockage et evacuation de dechets,joue,directive24,appeloffre,initial,Vichy Communauté,03200,Vichy,,['Déchets non ménagers (prestations)'],[404],non,non
21-98769,2021-07-15,2021-08-20,['3'],Extension de l'usine de Chantelle (03),fns,cmp2006,appeloffre,initial,CC Saint Pourcain Sioule Limagne,03500,Saint-Pourçain-sur-Sioule,,"['Bardage', 'Electricité (travaux)', 'Gros oeuvre', 'Terrassement', ""Tous corps d'état""]","[30, 105, 144, 341, 345]",non,non
21-98352,2021-07-15,2021-08-09,['4'],mise en oeuvre d'une centrale photovoltaique pour la caisse d'allocations familiales des alpes de haute provence site de digne,fns,cmp2006,appeloffre,rectificatif,CAF DES ALPES DE HAUTE PROVENCE,04011,Digne les bains,,['Photovoltaïque'],[476],non,non
21-97612,2021-07-15,2021-09-09,['5'],"Fourniture, installation, maintenance de bornes de recharge de véhicules électriques (Brve)",joue,directive24,appeloffre,initial,Ville de Gap,05007,Gap,,['Matériel électrique'],[203],non,non
21-98371,2021-07-15,2021-09-07,"['5', '4']",Mission d'études de programmation et d'assistance à maîtrise d'ouvrage pour la reconstruction de deux bâtiments du Centre Hospitalier Buëch-Durance sur la commune de LARAGNE-MONTEGLIN -,fns,cmp2006,appeloffre,initial,CTRE HOSPITALIER INTERCOM ALPES DU SUD,05007,Gap cedex,,"[""Assistance à maîtrise d'ouvrage""]",[433],non,oui
21-98187,2021-07-15,2021-08-23,['5'],"Fourniture, mise en oeuvre, maintenance et hébergement de la solution logicielle de la plateforme Smart Services du département des Hautes-Alpes",joue,directive24,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,Gap,,['Informatique (prestations de services)'],[163],non,non
21-98984,2021-07-15,2021-08-05,['5'],Assistance à maîtrise d'ouvrage pour l'élaboration d'un Plan de mobilité simplifié,mapa,cmp2006,appeloffre,initial,Communauté de Communes de l'Embrunais,05200,Embrun,,"['Etude', ""Assistance à maîtrise d'ouvrage""]","[118, 433]",non,non
21-97855,2021-07-15,2021-07-28,['5'],Réalisation d'une tyrolienneStation de Vars,joue,autre,rectificatif,rectificatif,SEM SEDEV,05560,Vars Les Claux,,['Terrain de sport'],[342],non,oui
21-97811,2021-07-15,2021-07-24,['6'],maintenance des compresseurs et producteurs d'air bus et tramway,joue,directive25,appeloffre,initial,Régie Ligne d'Azur,06100,Nice,,['Maintenance'],[196],non,non
21-98601,2021-07-15,2021-09-06,['6'],M.A.P.A. no 2021 - 048 Construction d'enfeus au Cimetière du Claus,mapa,cmp2006,appeloffre,initial,COMMUNE LE CANNET,06110,LE CANNET,,"['Maçonnerie', 'Cimetière']","[195, 437]",non,non
21-97759,2021-07-15,2021-09-09,['6'],Pose de compteurs individuels dans les ex-régies communales sur le territoire du SIEVI - OP453,fns,cmp2006,appeloffre,initial,SIEVI - SI Estéron et Var Inférieurs,06200,Nice,,"['Alimentation en eau potable', 'Canalisations', ""Compteur d'eau""]","[6, 48, 440]",non,non
21-95275,2021-07-15,2021-09-06,['6'],etude de faisabilité routière pour le prolongement de la rd 535a au sud du campus stic,fns,cmp2006,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice cedex,,['Etude'],[118],non,non
21-55210,2021-07-15,2021-09-13,['6'],mission de maîtrise d'oeuvre pour la reconstruction du bassin de baignade biologique de roquebillière,joue,directive24,appeloffre,initial,Syndicat mixte Deve Vesubie Valdeblore,06201,Nice cedex 03,,"[""Maîtrise d'oeuvre""]",[197],non,non
21-88980,2021-07-15,2021-09-13,['6'],marché d'assurance de la flotte automobile départementale,joue,directive24,attribution,initial,Département des Alpes-Maritimes,06201,Nice Cedex 3,"[('2021-06-18', 'ASSURANCES SECURITE', (418167.16, 'EUR'), 'véhicules légers'), ('2021-06-18', 'SMACL', (89065.38, 'EUR'), 'véhicules techniques')]",['Assurance'],[20],non,non
21-98100,2021-07-15,2021-09-15,"['6', '5', '13', '83']",Accord Cadre relatif aux prestations d'AMO en vue du réaménagement de la Cité Marchande et de la réalisation d'une galerie souterraine piétonne reliant le parking de la gare au quartier des,joue,directive24,attribution,initial,Commune de Beausoleil,06240,Beausoleil,,"['Etude', 'Prestations de services']","[118, 274]",non,non
21-97482,2021-07-15,2021-09-14,['6'],21V0117 - Acquisition d'armes de poing de catégorie B - GLOCK 17 type pistolet semi-automatique en calibre 9X19 mm parabellum,joue,directive24,appeloffre,initial,COMMUNE DE NICE,06364,Nice cedex 4,,"['Armement', 'Arrosage']","[12, 13]",non,oui
