,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-138101,2020-11-10,2020-12-03,['1'],MEXIMIEUX (01) - MACONNERIE - GROS OEUVRE - CONSTRUCTION D'UNE CASERNE DE GENDARMERIE ET DE LOGEMENTSNouvelle consultation du LOT 2 du marché no2020-AMO-0013 suite à son classement sans suite d,fns,cmp2006,appeloffre,initial,SEM DE CONSTRUCTION DU DPT DE L AIN,01000,Bourg-en-Bresse,,"['Gros oeuvre', 'Maçonnerie']","[144, 195]",non,non
1,20-137724,2020-11-10,2020-12-11,"['1', '69']","fourniture, pose et dépose de mobilier et balisage de randonnée pédestre.",mapa,cmp2006,appeloffre,initial,C-C-DOMBES-SAONE-VALLEE,01600,Trévoux,,['Signalétique'],[333],non,oui
2,20-138120,2020-11-10,2021-02-07,['3'],Mission de maitrise d'oeuvre pour la mise en sécurité du pont de Chazeuil sur l'Allier RD46 (commune de Varennes sur Allier),fns,cmp2006,attribution,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,"[('2020-11-10', 'IGIOA SAS', (114000, 'EUR'), None)]",['Ingénierie'],[455],non,non
3,20-138146,2020-11-10,2020-12-04,['3'],MISE AUX NORMES SUIVANT DIAGNOSTIC ACCESSIBILITE DES ETABLISSEMENTS RECEVANT DU PUBLIC (ERP)- MONTLUCON COMMUNAUTE,fns,cmp2006,appeloffre,initial,Montluçon Communauté,03106,MONTLUCON,,['Bâtiment'],[33],non,non
4,20-137860,2020-11-10,2020-12-01,['3'],MARCHE SOUSCRIPTIONS CONTRATS D'ASSURANCE,mapa,cmp2006,appeloffre,initial,OFFICE DE TOURISME ET DE THERMALISME,03200,Vichy,,"['Assurance', 'Informatique (matériel)', 'Mobilier', 'Véhicules']","[20, 162, 230, 359]",non,non
5,20-137855,2020-11-10,2020-12-01,"['3', '63']",MARCHE LOCATION - MAINTENANCE PARC PHOTOCOPIEURS,mapa,cmp2006,appeloffre,initial,OFFICE DE TOURISME ET DE THERMALISME,03200,VICHY,,"['Location (matériels)', 'Reprographie']","[185, 305]",non,non
6,20-137845,2020-11-10,2020-12-01,['3'],MARCHE ENTRETIEN DES BÂTIMENTS VICHY DESTINATIONS,mapa,cmp2006,appeloffre,initial,OFFICE DE TOURISME ET DE THERMALISME,03200,VICHY,,['Nettoyage de locaux'],[239],non,non
7,20-137779,2020-11-10,2020-12-01,"['3', '63']",PRESTATIONS PERMANENCES SECURITE,mapa,cmp2006,appeloffre,initial,OFFICE DE TOURISME ET DE THERMALISME,03200,vichy,,['Sécurité incendie'],[332],non,non
8,20-137931,2020-11-10,2020-12-01,"['3', '63']",MAINTENANCE DES INSTALLATIONS DE CHAUFFAGE - CLIMATISATION - VENTILATION,mapa,cmp2006,appeloffre,initial,OFFICE DE TOURISME ET DE THERMALISME,03200,VICHY,,"['Chauffage (exploitation, entretien)', 'Climatisation', 'Maintenance', 'Ventilation']","[59, 62, 196, 360]",non,non
9,20-137887,2020-11-10,2020-12-16,['4'],Exploitation de ouvrages de production d'eau potable du S.I.A.E.P. Mane - Forcalquier - Niozelles - Pierrerue,mapa,cmp2006,appeloffre,initial,SIAEP FORCALQUIER-MANE,04300,MANE,,['Alimentation en eau potable'],[6],non,non
10,20-137714,2020-11-10,2020-12-15,['5'],MISSION D'ASSISTANCE A MAÎTRISE D'OUVRAGE POUR LA MISE EN PLACE D'UNE STRATÉGIE PHOTOVOLTAÏQUE SUR LE PATRIMOINE BÂTI DE LA COMMUNE DE GAP,mapa,cmp2006,appeloffre,initial,Ville de Gap,05007,GAP,,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
11,20-137694,2020-11-10,2020-12-10,['6'],mission de coordination sécurité et protection de la santé (csps) pour la création d'une résidence autonomie et logements sociaux dans le quartier saint louis à cannes,fns,cmp2006,appeloffre,initial,CCAS de Cannes,06414,Cannes Cedex,,"['Contrôle technique', 'Etude']","[72, 118]",non,non
12,20-137628,2020-11-10,2020-12-03,['6'],Numéro de la consultation : 2020-SPL-0004 contrat de Prévoyance Collectif pour l'ensemble du personnel de la société publique locale des Ports de Menton,fns,cmp2006,appeloffre,initial,PORTS DE MENTON,06500,MENTON,,['Assurance'],[20],non,non
13,20-137903,2020-11-10,2020-11-26,"['8', '51']","Travaux pour la fourniture et l'installation de fibre optique et matériels actifs sur le site de Charlemont, Citadelle de GIVET (08600)",mapa,cmp2006,appeloffre,rectificatif,COM COMMUNES ARDENNE RIVES de MEUSE,08600,Givet,,['Fibre optique'],[133],non,non
14,20-137906,2020-11-10,2020-12-04,['9'],Prestations de nettoyage des immeubles de la Chambre d'Agriculture de l'Ariège,fns,cmp2006,appeloffre,initial,CHAMBRE AGRICULTURE ARIEGE,09000,FOIX,,['Nettoyage de locaux'],[239],non,oui
15,20-138143,2020-11-10,2020-11-25,['9'],Travaux de renfort structurel sur les planchers des deux niveaux du bâtiment C de la Résidence de tourisme de Saint-Lizier,fns,cmp2006,appeloffre,initial,CONSEIL GENERAL de L'ARIEGE,09000,FOIX,,['Gros oeuvre'],[144],non,non
16,20-137896,2020-11-10,2020-12-01,['11'],Assistance à maitrise d'ouvrage dans le cadre d'acquisitions foncières,mapa,cmp2006,appeloffre,initial,SYNDICAT MIXTE DU DELTA DE L'AUDE,11100,NARBONNE,,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
17,20-137924,2020-11-10,2020-12-15,['11'],Traitement sanitaire et restauration d'une collection patrimoniale,mapa,cmp2006,appeloffre,initial,Département de l'Aude,11855,CARCASSONNE Cedex 9,,"[""Oeuvre d'art"", 'Prestations de services']","[247, 274]",non,non
18,20-118580,2020-11-10,2020-12-09,['12'],prestation de confection et livraison de repas en liaison froide pour adultes,fns,cmp2006,appeloffre,initial,CCAS DE RODEZ,12000,Rodez,,"['Repas, traiteur']",[304],non,non
19,20-137820,2020-11-10,2020-11-30,['13'],infogérance du système informatique et téléphonique de l'inseamm,mapa,cmp2006,appeloffre,initial,INSEAMM,13009,marseille,,['Informatique (prestations de services)'],[163],non,non
20,20-137709,2020-11-10,2021-02-01,['13'],REPARATION DES SELECTEURS RS20 INTEGRES DANS LES DISTRIBUTEURS AUTOMATIQUES DE LA RTM.,fns,cmp2006,attribution,initial,Régie des Transports Métropolitains,13013,Marseille,,['Informatique (prestations de services)'],[163],non,non
21,20-138133,2020-11-10,2020-12-20,['13'],La présente consultation concerne la réalisation de prestation d'expertise comptable au bénéfice de risingSUD.La mission confiée au cabinet d'expertise-comptable est effectuée dans le resp,fns,cmp2006,appeloffre,initial,risingSUD,13217,Marseille,,['Expertise comptable'],[446],non,non
22,20-137601,2020-11-10,2020-12-03,['13'],Assistance à maître d'ouvrage - Etudes pour la rénovation énergétique du bâtiment de la délégation régionale,mapa,cmp2006,appeloffre,initial,Inserm - Délégation PACA et Corse,13276,Marseille Cedex 9,,['Ingénierie'],[455],non,non
23,20-138149,2020-11-10,2021-02-07,['13'],Numéro de la consultation : 20FCS21 HABILLEMENT,fns,cmp2006,attribution,initial,COMMUNE DE PORT DE BOUC,13528,Port de Bouc Cédex,,['Habillement'],[150],non,non
24,20-137946,2020-11-10,2020-11-30,['13'],Externalisation de sauvegarde,mapa,cmp2006,appeloffre,initial,CEREQ,13567,Marseille CEDEX 02,,"['Informatique (prestations de services)', 'Informatique (maintenance serveurs et réseaux)']","[163, 454]",non,non
25,20-138036,2020-11-10,2020-12-02,"['13', '26', '30', '34', '84', '83']",ACQUISITION DE CARTES ACCREDITIVES POUR L'APPROVISIONNEMENT EN DIVERSES ENERGIES ET SERVICES POUR LES VEHICULES,fns,cmp2006,appeloffre,initial,Ville de Salon de Provence,13663,Salon de provence,,"['Carte magnétique, carte à puce']",[403],non,non
26,20-138137,2020-11-10,2020-12-07,['13'],Numéro de la consultation : 2020-S-0056 MARTIGUES - MAINTENANCE DES GROUPES ÉLECTROGÈNES ET DES ONDULEURS DES BÂTIMENTS COMMUNAUX,fns,cmp2006,appeloffre,initial,COMMUNE DE MARTIGUES,13692,Martigues cedex,,"['Groupe électrogène', 'Maintenance', 'Onduleur']","[143, 196, 465]",non,non
27,20-137861,2020-11-10,2020-11-20,['14'],"Gestion (stockage, entretien, pose et dépose) de deux arches gonflables et de deux kits de signalétique (wingflags extérieurs et banderoles) pour le compte du Département du Calvados.",mapa,cmp2006,appeloffre,initial,DEPARTEMENT DU CALVADOS,14000,Caen,,['Signalétique'],[333],non,non
28,20-138092,2020-11-10,2020-12-17,['14'],"Travaux de modernisation du système de sécurité incendie des bâtiments "" Les Bleuets "", "" Les Primevères "", "" Les Genêts "" et Administration à la Maison d'accueil spécialisée de BOULON pour l&apo",fns,cmp2006,appeloffre,initial,CENTRE HOSPITALIER UNIVERSITAIRE,14033,Caen,,"['Détection incendie', 'Electricité (travaux)']","[90, 105]",non,non
29,20-137705,2020-11-10,2020-11-30,['14'],Fourniture d'une colonne vidéo d'endoscopie avec accessoires et consommables associés pour le service de consultation ORL du CHU de Caen Normandie,mapa,cmp2006,appeloffre,initial,CENTRE HOSPITALIER UNIVERSITAIRE,14033,Caen,,"['Laboratoire (fourniture)', 'Laboratoire (matériel)']","[181, 188]",non,non
30,20-138007,2020-11-10,2020-12-11,['14'],Assistance à maîtrise d'ouvrage pour le lancement d'une cartographie des risques à la Région Normandie,mapa,cmp2006,appeloffre,initial,Région Normandie,14035,CAEN,,"['Etude', ""Assistance à maîtrise d'ouvrage""]","[118, 433]",non,non
