a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-48273,2021-04-12,2021-05-17,['1'],service d'organisation et de gestion des centres de loisirs municipaux,fns,cmp2006,appeloffre,initial,Ville de Bourg-en-Bresse,01012,Bourg-en-Bresse Cedex,,['Prestations de services'],[274],non,non
21-48399,2021-04-12,2021-05-07,['3'],Prestations de lavage et désinfection des bacs à roues /sabots et colonnes des points d'apport volontaire 2021-2022,fns,cmp2006,appeloffre,rectificatif,SYND MIXTE COLLECTE TRAITEMENT ORDURES,03230,Chézy,,"['Collecte sélective', 'Nettoyage urbain', 'Ordures ménagères (prestations)']","[82, 240, 249]",non,non
21-48782,2021-04-12,2021-05-12,['6'],M.A.P.A. 2020-049 : Accord cadre à bons de commande pour travaux neufs en vue de l'extension du système de video protection de la Commune du CANNET.(2 LOTS),fns,cmp2006,attribution,initial,COMMUNE LE CANNET,06110,LE CANNET,,"['Génie civil', 'Matériel électrique', 'Surveillance', 'Télésurveillance']","[141, 203, 331, 415]",non,non
21-33748,2021-04-12,2021-05-03,['6'],réhabilitation d'aires de jeux pour enfants - 2 lots,fns,cmp2006,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice cedex 3,,['Aire de jeux'],[400],non,oui
21-48547,2021-04-12,2021-05-18,['6'],"ENTRETIEN, SECURISATION DES BIENS ET PETITS TRAVAUX SUR LE PERIMETRE DE L'OPERATION D'INTERET NATIONAL (OIN) ECO-VALLEE",fns,cmp2006,appeloffre,rectificatif,EPA ECOVALLEE PLAINE DU VAR,06205,Nice,,"['Clôture', 'Réseaux divers', 'Signalisation', 'Voirie et réseaux divers']","[64, 306, 322, 366]",non,non
21-48736,2021-04-12,2021-05-05,"['6', '13']","Convention d'autorisation d'occupation temporaire du domaine public aéroportuaire (emplacement) ayant pour objet l'exploitation d'un "" food truck "".",mapa,cmp2006,appeloffre,initial,Société Aéroports de la Côte d'Azur,06206,Nice Cedex 3,,"['Repas, traiteur']",[304],non,non
21-48704,2021-04-12,2021-05-12,['6'],21N0052-ACQUISITION D'UN PLAN 'THERMOGRAPHIQUE' NULERISUE DES DEPERDITIONS DE CHALEUR DES TOITURES SUR LE TERRITOIRE URBANISE DE LA METROPOLE NICE COTE D'AZUR,fns,cmp2006,appeloffre,initial,METROPOLE NCA,06364,NICE CEDEX 4,,"['Matériel de transmission', 'Prestations de services', 'Numérisation']","[210, 274, 463]",non,non
21-48580,2021-04-12,2021-05-17,['6'],"Travaux d'entretien, travaux préparatoires et travaux divers de la Communauté d'Agglomération Cannes Pays de Lérins.",fns,cmp2006,appeloffre,initial,C.A.P.L.,06414,Cannes Cedex,,['Génie civil'],[141],oui,non
21-48304,2021-04-12,2021-05-17,['6'],formation à la sécurité et prévention des risques pour le personnel de la casa,fns,cmp2006,appeloffre,initial,Cté Agglomération Sophia Antipolis,06901,Sophia Antipolis cedex,,['Formation'],[410],non,non
21-48521,2021-04-12,2021-05-05,['7'],"Concession De Service Public Pour La Gestion Et L'Exploitation Du Theatre, Des Salles De Cinema, De La Salle D'Exposition Et Des Salles "" A La Location "" De La Ville De Vals-Les-Ba",dsp,dsp,appeloffre,initial,COMMUNE DE VALS LES BAINS,07600,Vals Les Bains,,['Prestations de services'],[274],non,non
