,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-108944,2020-09-04,2020-09-25,['1'],déconstruction de la maison chauvot et aménagement de l'espace public,fns,cmp2006,appeloffre,initial,COMMUNE DE PONT DE VEYLE,01290,Pont de Veyle,,"['Espaces verts', 'Ferronnerie', 'Maçonnerie', 'Mur de soutènement', 'Serrurerie', 'Terrassement', 'Travaux de viabilité']","[116, 126, 195, 233, 321, 341, 353]",non,oui
1,20-109063,2020-09-04,2020-10-23,['1'],"Marché de prestations de services Entretien et maintenance des installations électromécaniques du STEASALot 1 : électromécaniqueLot 2 : Instrumentaiton, Automatismes, Telegestion",fns,cmp2006,appeloffre,initial,STEASA,01500,Amberieu en bugey,,['Assainissement'],[18],non,non
2,20-109165,2020-09-04,2020-10-02,"['1', '69']","insertion au travers de travaux d'espaces verts, d'opérations de nettoiement ou de manutention.",fns,cmp2006,appeloffre,initial,C-C-DOMBES-SAONE-VALLEE,01600,Trévoux,,['Prestations de services'],[274],oui,non
3,20-108190,2020-09-04,2020-11-30,['2'],"Fourniture de chaleur régulée et services associés dont garantie totale des installations pour la Ville de Saint-Quentin, la Communauté d'Agglomération du Saint-Quentinois et le Cc",joue,directive24,attribution,initial,COMMUNE DE SAINT QUENTIN,02107,Saint-Quentin,"[('2020-08-24', 'Idex Energies', (1047898.21, 'EUR'), None)]","['Chauffage (exploitation, entretien)', 'Combustible']","[59, 438]",non,oui
4,20-109080,2020-09-04,2020-10-02,"['2', '51', '59', '60', '80']",Numéro de la consultation : Travaux d'entretien et de grosses réparations de la voirie communale - MAPA no 20 VOI 03,fns,cmp2006,appeloffre,initial,COMMUNE DE GUISE,02120,GUISE,,['Voirie et réseaux divers'],[366],non,non
5,20-108004,2020-09-04,2020-10-09,['2'],Fourniture de dispositifs médicaux et consommables pour hémodialyse pour le centre hospitalier de Soissons,joue,directive24,appeloffre,initial,Centre Hospitalier de Soissons,02209,Soissons,,['Consommables médicaux'],[69],non,non
6,20-108983,2020-09-04,2020-09-21,['2'],Remplacement de la canalisation d'eau potable rue Delacroix à Chauny,fns,cmp2006,appeloffre,initial,CA Chauny-Tergnier-La Fère,02300,CHAUNY,,['Réseaux divers'],[306],non,non
7,20-108276,2020-09-04,2020-09-15,['2'],220102,joue,autre,rectificatif,rectificatif,CENTRE HOSPITALIER GENERAL ST QUENTIN,02321,Saint quentin,,['Matériel médical'],[212],non,non
8,20-108914,2020-09-04,2020-10-16,['2'],Travaux de canalisation et reprise de branchement sur le territoire de l'USESAProgramme 2020 / partie 3 sous charte qualité des réseaux d'eau potable,fns,cmp2006,appeloffre,initial,USESA,02400,CHATEAU THIERRY,,"['Alimentation en eau potable', 'Canalisations']","[6, 48]",non,non
9,20-108879,2020-09-04,2020-09-28,['3'],Mission de maitrise d'oeuvre pour la mise en sécurité du pont de Chazeuil sur l'Allier RD46 (commune de Varennes sur Allier),fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,,['Ingénierie'],[455],non,non
10,20-109362,2020-09-04,2020-11-30,['5'],Aménagement de bureaux et salle de réunion dans un local brut d'un bâtiment existant,fns,cmp2006,appeloffre,initial,CDG 05,05000,GAP,,"['Carrelage', 'Climatisation', 'Cloison, faux plafond', 'Démolition', 'Electricité (travaux)', 'Isolation', 'Maçonnerie', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Ventilation', 'Porte automatique, portail']","[53, 62, 63, 87, 105, 169, 195, 222, 264, 270, 360, 412]",non,non
11,20-109220,2020-09-04,2020-10-05,['5'],TRAVAUX DE RÉHABILITATION DU MORGON,fns,cmp2006,appeloffre,initial,DEPARTEMENT DES HAUTES-ALPES,05008,GAP,,"['Espaces verts', 'Signalisation', 'Terrassement']","[116, 322, 341]",oui,oui
12,20-109291,2020-09-04,2020-10-30,['6'],Travaux de réfection et de consolidation de sentier de la Boucle de Prals en vésubie dans le Parc national du Mercantour,fns,cmp2006,appeloffre,initial,Parc national du Mercantour,06006,Nice,,['Travaux forestiers'],[350],non,non
13,20-109151,2020-09-04,2020-10-04,['6'],20N0025 - DÉVELOPPEMENT DE L'ACTIVITÉ PHYSIQUE A DES FINS DE SANTÉ CHEZ LES SENIORS FRAGILES ET NON DÉPENDANTS DU MOYENS ET HAUT PAYS.,fns,cmp2006,appeloffre,initial,METROPOLE NCA,06364,NICE CEDEX 4,,['Réactifs'],[301],non,non
14,20-109037,2020-09-04,2020-11-04,['6'],19V1742 ORGANISATION DE L'ETAPE DU TOUR DE FRANCE 2020,fns,cmp2006,attribution,initial,COMMUNE DE NICE,06364,NICE CEDEX 4,[],['Evénementiel'],[445],non,non
15,20-107959,2020-09-04,2020-11-02,['6'],maitrise d'oeuvre pour la construction d'un parc de stationnement vehicules,joue,directive24,attribution,initial,Commune de Théoule-sur-Mer,06590,THEOULE-SUR-MER,,"[""Maîtrise d'oeuvre"", ""Mission d'ordonnancement, pilotage, coordination (OPC)"", 'Ingénierie']","[197, 234, 455]",non,non
16,20-108910,2020-09-04,2020-10-05,"['7', '42', '43', '26']",Mapa pour la réalisation de bulletins municipaux,mapa,cmp2006,appeloffre,initial,Ville de Saint-Agrève,07320,Saint agrève,,['Impression'],[160],non,non
17,20-106842,2020-09-04,2020-09-21,"['8', '51', '2', '10', '55']","acquisition d'une moto marine destinée aux secours nautiques et sa remorque de transport, neuves ou de démonstration",mapa,cmp2006,appeloffre,initial,SDIS des Ardennes,08000,Prix-Les-Mézières,,"[""Matériel de secours et d'incendie""]",[217],non,non
18,20-109283,2020-09-04,2020-10-04,['8'],ACQUISITION DE VEHICULES LEGERS PARTICULIERS ET UTILITAIRES,fns,cmp2006,appeloffre,initial,CTRE HOSP INTERCOMMUNAL NORD ARDENNES,08011,Charleville Mézières cedex,,['Véhicules (acquisition)'],[475],non,non
19,20-109261,2020-09-04,2020-10-04,['8'],Acquisition d'un véhicule lourd,mapa,cmp2006,appeloffre,initial,CTRE HOSP INTERCOMMUNAL NORD ARDENNES,08011,Charleville Mézières cedex,,['Véhicules (acquisition)'],[475],non,non
20,20-109337,2020-09-04,2020-11-13,['10'],Remise en peinture des circulations et des cages d'escalier du collège Le Noyer Marchand à Romilly sur Seine,fns,cmp2006,attribution,initial,DEPARTEMENT DE L AUBE,10000,TROYES,"[('2020-09-04', 'LEROY-SEB DECO SARL', (37452.44, 'EUR'), None)]","[""Tous corps d'état""]",[345],non,non
21,20-107907,2020-09-04,2020-10-16,"['10', '52', '2', '8', '51', '75', '89', '21', '54']",marchés d'assurances pour la Communauté de Communes de la Région de Bar-sur-Aube-.,joue,directive24,appeloffre,initial,COMMUNAUTE COMMUNES REG BAR SUR AUBE,10202,BAR SUR AUBE CEDEX,,['Assurance'],[20],non,non
22,20-107661,2020-09-04,2020-11-02,['12'],routes departementales surveillance des ponts et soutenements - visites et controles subaquatiques,joue,directive24,attribution,initial,Conseil Départemental de l AVEYRON,12450,Flavin,"[('2019-08-23', 'CTSM', (72640.0, 'EUR'), None)]","[""Ouvrage d'infrastructure""]",[253],non,non
23,20-109347,2020-09-04,2020-09-15,['12'],route départementale no 511opération de sécurité sur la rd511 - nouvelle voie - tranche 1canton tarn et caussescommune de severac d'aveyron (rectificatif),fns,cmp2006,appeloffre,rectificatif,Conseil Départemental de l AVEYRON,12450,Flavin,,['Voirie'],[365],non,non
24,20-108284,2020-09-04,2020-11-02,['12'],"realisation de travaux courants de petits terrassements, de confortation, d'assainissement et reparation de chaussee subdivision sud - secteur de saint-sernin-sur-rance",joue,directive24,attribution,initial,Conseil Départemental de l AVEYRON,12450,Flavin,,['Terrassement'],[341],non,non
