a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-143025,2020-11-23,2021-01-06,['1'],Réfection de la toiture du site routier de ST Rambert en Bugey suite à un sinistre,fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,"['Acier', 'Bois']","[3, 38]",non,non
20-143211,2020-11-23,2020-12-21,['1'],Etude prospective pour la construction d'une programmation pluriannuelle des investissements,mapa,cmp2006,appeloffre,initial,CA du Bassin de Bourg en Bresse,01008,BOURG EN BRESSE CEDEX,,['Etude'],[118],non,non
20-142966,2020-11-23,2020-12-15,['1'],Mise en séparatif des réseaux d'assainissement sur la commune de Nivigne et Suran (01250),fns,cmp2006,appeloffre,initial,CA du Bassin de Bourg en Bresse,01008,BOURG EN BRESSE CEDEX,,['Assainissement'],[18],non,non
20-143117,2020-11-23,2020-12-28,"['2', '80', '59']",rénovation des structures et des réseaux des bâtimentsde l'uios de saint-quentin relance,fns,cmp2006,appeloffre,initial,UIOS,02323,Saint-quentin cedex,,"['Electricité (travaux)', 'Gros oeuvre', 'Maçonnerie', 'Plomberie (travaux)', 'Ventilation', 'Amiante (désamiantage)']","[105, 144, 195, 270, 360, 479]",oui,oui
20-143325,2020-11-23,2020-12-14,['3'],Contrat assurance statutaire,mapa,cmp2006,appeloffre,initial,EHPAD FRANCOIS MITTERRAND,03800,gannat,,['Assurance'],[20],non,non
20-142924,2020-11-23,2020-12-10,['4'],"Contrat de Concession de service portant sur la gestion et l'exploitation de la cafétéria "" le Biface "" au Musée de Préhistoire des gorges du Verdon à Quinson",dsp,dsp,appeloffre,initial,Département des Alpes de Hte Provence,04995,Digne-Les-Bains,,['Restauration collective'],[66],non,non
20-143507,2020-11-23,2020-12-15,['4'],"Fourniture de Pains et viennoiseries pour le CHI de Manosque : Centre hospitalier Louis Raffali, site de Saint André à Manosque et site de Saint Michel à Forcalquier",fns,cmp2006,appeloffre,initial,Centre Hospitalier de Digne-les-Bains,04995,Digne Les Bains,,['Denrées alimentaires'],[88],non,non
20-143378,2020-11-23,2020-12-21,['5'],construction d'une salle multi-activités,fns,cmp2006,appeloffre,initial,Ingénierie Territoriale Hautes-Alpes,05500,BUISSARD,,['Bâtiment'],[33],oui,non
20-143330,2020-11-23,2020-12-23,['6'],"PRESTATION DE CRÉATION DU SITE INTERNET "" CREACANNES """,fns,cmp2006,appeloffre,initial,C.A.P.L.,06414,Cannes Cedex,,['Informatique (prestations de services)'],[163],non,non
20-143161,2020-11-23,2020-12-18,['6'],Location longue durée d'une Berline de marque Peugeot Nouvelle 508 GT Hybrid,mapa,cmp2006,appeloffre,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,,['Véhicules (location)'],[474],non,non
20-143030,2020-11-23,2021-02-14,['6'],ENTRETIEN ET REPARATION DES VEHICULES DU SICTIAM HORS GARANTIES ET CONTRAT D'ENTRETIEN CONCESSIONNAIRE (Relance du lot 1),fns,cmp2006,appeloffre,initial,SICTIAM,06905,Sophia Antipolis Cedex,,"['Maintenance', 'Véhicules']","[196, 359]",non,non
