a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-72224,2020-06-05,2020-06-30,['1'],ACQUISITION D'UN AUTOCAR D'OCCASION POUR LES BESOINS DE L'EXPLOITATION DE LA RDTA,fns,cmp2006,appeloffre,initial,R.D.T. Ain,01000,Bourg en Bresse,,['Véhicules (acquisition)'],[475],non,non
20-72288,2020-06-05,2020-07-24,['1'],Exploitation de l'établissement thermal de la commune de Divonne les Bains,fns,cmp2006,appeloffre,initial,Ville de Divonne les Bains,01220,Divonne les bains,,['Prestations de services'],[274],non,non
20-71047,2020-06-05,2020-08-31,['2'],maîtrise d'oeuvre pour la restructuration de l'itep de sissonne,joue,directive24,attribution,initial,Groupe ephese,02350,LIESSE NOTRE DAME,,"[""Maîtrise d'oeuvre""]",[197],non,non
20-72359,2020-06-05,2020-06-29,['2'],Aménagement d'une aire de jeux au Parc Saint Joseph de Château Thierry-.,fns,cmp2006,appeloffre,initial,COMMUNE DE CHATEAU THIERRY,02400,CHATEAU-THIERRY,,"[""Tous corps d'état""]",[345],non,non
20-72785,2020-06-05,2020-06-26,['5'],TRAVAUX MAISON SERRES,fns,cmp2006,appeloffre,initial,COMMUNE DE CROTS,05200,CROTS,,['Bâtiment'],[33],non,non
20-72289,2020-06-05,2020-08-05,['6'],fourniture de consommables pour matériels de péage des parcs de stationnement de la régie parcs d'azur.,fns,cmp2006,attribution,initial,REGIE PARCS D AZUR,06000,Nice,,"[""Matériel d'imprimerie""]",[211],non,non
20-70356,2020-06-05,2020-07-03,['6'],emission et gestion des chèques emploi service universel,joue,directive24,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice cedex 3,,['Prestations de services'],[274],non,non
20-71232,2020-06-05,2020-06-19,['6'],fourniture d'équipement de protection individuelle et virucides dans le cadre de la lutte contre l'épidémie du covid 19,joue,directive24,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice cedex 3,,['Consommables médicaux'],[69],non,non
20-71086,2020-06-05,2020-07-21,['6'],20V0329 FOURNITURES DE FONTAINES A BOIRE ET ACCESSOIRES- RELANCE,joue,directive24,appeloffre,initial,COMMUNE DE NICE,06364,Nice cedex 4,,['Equipement hydraulique'],[111],non,oui
20-71463,2020-06-05,2020-07-09,['6'],"Embellissement des rues Foch, Vagliano et du 24 août- Phase 1 : Réfection de la rue du Maréchal Foch",joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"['Eclairage public', 'Espaces verts', 'Voirie']","[102, 116, 365]",non,oui
20-72644,2020-06-05,2020-07-02,['6'],Numéro de la consultation : 20200327 Prestations de déménagement,fns,cmp2006,appeloffre,initial,COMMUNE DE CANNES,06406,CANNES,,['Déménagement'],[86],non,non
20-70429,2020-06-05,2020-08-21,['6'],fourniture de titres restaurant au bénéfice des agents de la carf,joue,directive24,attribution,initial,C.A. de la Riviera Française,06500,Menton,"[('2020-04-29', 'EDENRED FRANCE', (82000.0, 'EUR'), 'Fourniture et livraison de titres de restaurant au bénéfice des agents de la CARF')]",['Titres restaurant'],[416],non,non
20-71053,2020-06-05,2020-07-02,['6'],Maintenance et extension des installations de traitement climatique des bâtiments communaux de la Ville de Menton,joue,directive24,attribution,initial,Commune de Menton,06500,Menton,"[('2020-04-24', 'CEPITELLI CLIMAT CONFORT', (800000, 'EUR'), 'Maintenance et extension des installations de traitement climatique des bâtiments communaux')]","['Maintenance', 'Prestations de services']","[196, 274]",non,non
20-72499,2020-06-05,2020-06-26,['6'],travaux de rénovation énergétique de l'école du village,fns,cmp2006,appeloffre,initial,Ville de la Roquette-sur-Siagne,06550,La Roquette sur Siagne,,"['Chauffage (travaux)', 'Climatisation', 'Cloison, faux plafond']","[61, 62, 63]",non,non
20-69407,2020-06-05,2020-07-06,['6'],mission de suivi animation du programme opérationnel de prévention et d'accompagnement des copropriétés (popac) sur le territoire de la casa,joue,directive24,appeloffre,initial,Cté Agglomération Sophia Antipolis,06901,Sophia antipolis cedex,,['Ingénierie'],[455],non,non
20-22931,2020-06-05,2020-07-10,['6'],service de nettoyage et de multiservices pour les locaux du site du centre de recherche inria sophia antipolis-méditerranée,joue,directive24,appeloffre,initial,INRIA,06902,Sophia Antipolis,,['Nettoyage de locaux'],[239],non,oui
20-72794,2020-06-05,2020-07-10,['7'],"Finitions de doublages, cloisonnementsRalisation de Faux plafonds et Peinture",fns,cmp2006,appeloffre,initial,Syndicat départ. d'équipt de l'Ardèche,07003,Privas,,"[""Tous corps d'état""]",[345],non,non
20-72530,2020-06-05,2020-06-26,['10'],Réhabilitation d'un immeuble rue du Pont Chevalier - Contrôleur Technique et coordonnateur SPS-.,mapa,cmp2006,appeloffre,initial,Commune de VENDEUVRE SUR BARSE,10140,VENDEUVRE SUR BARSE,,['Contrôle technique'],[72],non,non
20-72725,2020-06-05,2020-06-26,['11'],CONCEPTION ET RÉALISATION DE LA MISE EN LUMIÈRE DE PLACES ET RUES POUR LES FÊTES DE FIN D'ANNÉE,fns,cmp2006,appeloffre,initial,COMMUNE DE NARBONNE,11108,NARBONNE CEDEX,,['Illumination'],[170],non,non
20-71060,2020-06-05,2020-07-15,['11'],Prestations de services en assurances,joue,directive24,attribution,initial,COMMUNE DE CASTELNAUDARY,11491,CASTELNAUDARY,"[('2019-12-31', 'SMACL', (97490, 'EUR'), 'dommages aux biens'), ('2019-12-30', 'PNAS', (28935, 'EUR'), 'RESPONSABILITE CIVILE'), ('2019-12-31', 'SMACL', (65032, 'EUR'), 'FLOTTE AUTOMOBILE')]",['Assurance'],[20],non,non
20-71045,2020-06-05,2020-07-07,['11'],"Maîtrise d'oeuvre partielles d'infrastructures, se rapportant à des études hydrauliques et des projets d'aménagements pour la prévention des inondations des bassins versants Orbiel Trap",joue,directive24,appeloffre,initial,SYNDICAT MIXTE AUDE CENTRE,11600,CONQUES SUR ORBIEL,,"['Etude', ""Maîtrise d'oeuvre"", 'Ouvrage hydraulique']","[118, 197, 255]",non,non
