a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-77328,2021-06-10,2021-07-09,['1'],Mission de coordination et mission d'assistance au maître d'ouvrage pour les opérations de mise en conformité des systèmes de secours et d'incendie sur les bâtiments du Département de l,joue,directive24,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,"['Assistance technique', ""Assistance à maîtrise d'ouvrage""]","[19, 433]",non,non
21-79001,2021-06-10,2021-07-08,['1'],Maintenance des onduleurs des Caisses d'Allocations Familiales de la région Auvergne / Rhône-Alpes,fns,cmp2006,appeloffre,initial,CAF de l'Ain,01014,Bourg en bresse cedex,,['Onduleur'],[465],non,non
21-78613,2021-06-10,2021-06-22,['1'],marchés relatifs à l'exécution des travaux de création d'une maison de santé pluridisciplinaire à gex.,fns,cmp2006,appeloffre,initial,Mairie de Gex,01170,gex,,"['Bâtiment', 'Menuiserie', 'Métallerie', 'Serrurerie']","[33, 222, 223, 321]",non,non
21-77782,2021-06-10,2021-07-09,['1'],"Entretien des espaces verts, fauchage et débroussaillage et l'entretien des terrains de sport - Lot no 1 : Entretien des espaces verts",joue,directive24,appeloffre,initial,Commune de Valserhone,01206,Valserhône cedex,,['Espaces verts'],[116],non,non
21-77536,2021-06-10,2021-06-23,"['1', '69', '75', '38', '73', '74', '42', '39', '26']",Acquisition et installation d'une machine de traction et compression neuve avec ses capteurs au profit de la division Métrologie de l'atelier Industriel de l'Aéronautique d'Ambérie (rectificatif),fns,cmp2006DEFENSE,appeloffre,rectificatif,AIA Ambérieu en Bugey,01500,Ambérieu en bugey,,['Matériel de précision'],[215],non,non
21-78570,2021-06-10,2021-07-22,"['1', '75', '38', '39', '69', '74', '73', '13', '33']","Confection de "" cône de protection radôme "", de "" protection empennage central "" et de "" protection empennage arrière "".",fns,cmp2006DEFENSE,appeloffre,rectificatif,AIA Ambérieu en Bugey,01500,Ambérieu en bugey,,['Textile'],[343],non,non
21-76105,2021-06-10,2021-07-16,"['1', '69']",fourniture de bacs roulants,joue,directive24,appeloffre,initial,C-C-DOMBES-SAONE-VALLEE,01602,Trévoux cedex,,"['Conteneur, poubelles']",[71],non,oui
21-79166,2021-06-10,2021-06-25,['1'],"Nettoyage des vitres, menuiseries et divers des bâtiments communaux.Dépoussiérage des structures métallique, des conduits de ventilation, des panneaux décoratif et des luminaires.",fns,cmp2006,appeloffre,rectificatif,MAIRIE,01630,Saint-genis-pouilly.fr,,['Vitrerie'],[363],non,non
21-77366,2021-06-10,2021-08-17,['2'],"Prestations d'élagage, d'abattage et de dessouchage sur les dépendances vertes du domaine départemental",joue,directive24,attribution,initial,DEPARTEMENT DE L'AISNE,02000,Laon,"[('2021-06-07', 'SOTRAVEER', (139873.25, 'EUR'), 'Secteur de Laon - Soissons'), ('2021-06-07', 'AISNE PAYSAGE SERVICES POTEAU ESPACES VERTS', (119730.0, 'EUR'), 'Secteur de Saint Quentin'), ('2021-06-07', 'AISNE PAYSAGE SERVICES POTEAU ESPACES VERTS', (65902.0, 'EUR'), 'Secteur de Vervins')]",['Espaces verts'],[116],non,non
21-77749,2021-06-10,2021-07-19,['2'],La présente consultation a pour objet l'entretien et le nettoyage des divers sites du Département de l'Aisne.-.,joue,directive24,appeloffre,initial,DEPARTEMENT DE L'AISNE,02000,Laon,,['Nettoyage de locaux'],[239],non,non
21-77615,2021-06-10,2021-09-10,['2'],Assistance technique à la gestion de la plateforme de compostage de Pommiers-.,joue,directive24,appeloffre,initial,Valor'Aisne,02000,LAON,,['Assistance technique'],[19],non,non
21-75535,2021-06-10,2021-06-16,['2'],prestations relatives à la location avec option d'achat de tracteurs routiers neufs pour l'exploitation de centres de transfert,joue,autre,rectificatif,rectificatif,Valor'Aisne,02000,LAON,,"['Equipement industriel', 'Location (matériels)', 'Informatique (assistance)']","[112, 185, 453]",non,oui
21-78855,2021-06-10,2021-06-29,['2'],"Travaux de déplombage, désamiantage, curage et démolition des bâtiments ilot 8 : 61, 61b, 63, 63b rue Saint Martin à CHATEAU-THIERRY",fns,cmp2006,appeloffre,rectificatif,SEDA,02007,Laon cedex,,"['Démolition', 'Amiante (désamiantage)']","[87, 479]",non,non
21-77880,2021-06-10,2021-07-21,['2'],Création d'un nouveau centre de supervision urbain (CSU) à Soissons (02),joue,directive24,appeloffre,initial,Mairie de Soissons,02200,SOISSONS,,"['Informatique (matériel)', 'Informatique (prestations de services)', 'Logiciel', 'Maintenance']","[162, 163, 186, 196]",non,non
21-78967,2021-06-10,2021-07-16,['2'],Installation d'un système fixe d'extinction automatique à gaz dans les deux salles serveurs principales du centre hospitalier de Soissons,mapa,cmp2006,appeloffre,initial,Centre Hospitalier de Soissons,02209,Soissons,,['Sécurité incendie'],[332],non,non
21-78817,2021-06-10,2021-07-28,['2'],Travaux de pose de canalisation et reprise de branchement sur le territoire de l'USESAProgramme 2021 / partie 3 sous charte qualité des réseaux d'eau potable,fns,cmp2006,appeloffre,initial,USESA,02400,CHATEAU THIERRY,,"['Alimentation en eau potable', 'Canalisations']","[6, 48]",non,non
