,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-106885,2020-08-30,2020-10-01,['1'],"Prestations de nettoyage et bionettoyage du rez-de-chaussée, des communs et circulation des étages pour le Centre Hospitalier du Haut Bugey",joue,directive24,appeloffre,initial,CH DE BOUR EN BRESSE FLEYRIAT,01012,Bourg-en-bresse cedex,,"['Nettoyage de locaux', 'Prestations de services']","[239, 274]",non,non
1,20-106564,2020-08-30,2020-10-15,['4'],Mission De Maîtrise D'oeuvre Urbaine Et Sociale (Mous) Pour L'Accompagnement Au Relogement Dans Le Cadre Du Npnru De Manosque,joue,directive24,appeloffre,initial,DURANCE LUBERON VERDON AGGLOMERATION,04100,Manosque,,['Etude'],[118],non,non
2,20-106722,2020-08-30,2020-10-29,['4'],Préparation Et Fourniture De Repas En Liaison Froide,joue,directive24,attribution,initial,COMMUNE DE MANOSQUE,04100,Manosque,"[('2020-07-31', 'TERRES DE CUISINE', (2400000, 'EUR'), 'Restaurants scolaires et centres de loisirs'), ('2020-07-31', 'LES BOCAUX DE MAMIE', (240000, 'EUR'), 'Pôles multi-accueil')]",['Restauration collective'],[66],non,non
3,20-106628,2020-08-30,2020-11-25,['5'],Accord-cadre multi-attributaire à Marchés subséquents pour l'Acquisition de véhicules neufs et d'occasions,joue,directive24,attribution,initial,Ville de Gap,05007,Gap,"[('2020-08-27', 'Man Truck & Bus France', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Atis', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Azur Trucks Distribution', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Pb Environnement', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Negocyal', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Safa', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Gap Auto', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Scag', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Access Auto', (370000, 'EUR'), ""Véhicules neufs et d'occasions inférieurs à 3.5 T - Citadines et utilitaires""), ('2020-08-27', 'Man Truck & Bus France', (490000, 'EUR'), ""Véhicules neufs et d'occasions supérieurs à 3.5 T - Camions et utilitaires""), ('2020-08-27', 'Iveco Provence', (490000, 'EUR'), ""Véhicules neufs et d'occasions supérieurs à 3.5 T - Camions et utilitaires""), ('2020-08-27', 'Azur Trucks Distribution', (490000, 'EUR'), ""Véhicules neufs et d'occasions supérieurs à 3.5 T - Camions et utilitaires""), ('2020-08-27', 'Faun Environnement', (490000, 'EUR'), ""Véhicules neufs et d'occasions supérieurs à 3.5 T - Camions et utilitaires""), ('2020-08-27', 'Daga Mercedes Benz', (490000, 'EUR'), ""Véhicules neufs et d'occasions supérieurs à 3.5 T - Camions et utilitaires""), ('2020-08-27', 'Gap Auto', (490000, 'EUR'), ""Véhicules neufs et d'occasions supérieurs à 3.5 T - Camions et utilitaires""), ('2020-08-27', 'Scag', (490000, 'EUR'), ""Véhicules neufs et d'occasions supérieurs à 3.5 T - Camions et utilitaires"")]",['Véhicules (acquisition)'],[475],non,non
4,20-106607,2020-08-30,2020-10-28,['6'],19N0941-LOCATION D'OUTILS ET D'ENGINS DE VOIRIE SANS CHAUFFEUR,joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06000,Nice,,"['Machines-outils', 'Terrassement', 'Véhicules']","[194, 341, 359]",non,non
5,20-106552,2020-08-30,2020-09-28,['6'],"AOO 2020-042 : Entretien et maintenance du parc automobile des véhicules légers de moins de 3,5 tonnes de la Ville du Cannet (6 lots)",joue,directive24,appeloffre,initial,COMMUNE LE CANNET,06110,LE CANNET,,['Véhicules'],[359],non,non
6,20-106587,2020-08-30,2020-10-03,"['6', '13', '83']","Fourniture de poteaux d'arrêt de bus, pose et dépose, maintenance et signalisation horizontale pour le réseau de bus sillages (3 lots)",joue,directive24,appeloffre,initial,C.A. PAYS DE GRASSE,06130,GRASSE,,"['Abris', 'Mobilier urbain', 'Nettoyage urbain', 'Peinture (travaux)']","[1, 231, 240, 264]",non,non
7,20-86401,2020-08-30,2020-09-29,['6'],acquisition d'engins de déneigement type pousseur,joue,directive24,appeloffre,initial,Département des Alpes-Maritimes,06201,Nice Cedex 3,,['Déneigement'],[98],non,non
8,20-106627,2020-08-30,2020-11-25,['6'],"Embellissement des rues Foch, Vagliano et du 24 août- Phase 1 : Réfection de la rue du Maréchal Foch",joue,directive24,attribution,initial,COMMUNE DE CANNES,06406,Cannes,"[('2020-08-24', ""Eurovia Provence Alpes Cote D'Azur"", (478424.75, 'EUR'), 'Voirie réseaux divers espaces verts'), ('2020-08-25', ""Ineo Provence Et Cote D'Azur"", (37188.6, 'EUR'), 'Eclairage public')]","['Eclairage public', 'Espaces verts', 'Voirie']","[102, 116, 365]",non,oui
9,20-106591,2020-08-30,2020-10-05,"['8', '51']",prestation de bio nettoyage et de vitrerie pour le ch bélair,joue,directive24,appeloffre,initial,CENTRE HOSPITALIER BELAIR,08000,Charleville Mézières,,"['Nettoyage de locaux', 'Vitrerie']","[239, 363]",non,non
