,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,21-5805,2021-01-16,2021-03-14,['1'],Mission de maitrise d'oeuvre pour la restructuration / extension du collège les côtes à péronnas,joue,directive24,attribution,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,"[""Maîtrise d'oeuvre""]",[197],non,non
1,21-5620,2021-01-16,2021-03-31,['2'],Fourniture de titres repas à destination des agents de la ville de LAON.,joue,directive24,attribution,initial,Ville de Laon,02000,Laon,"[('2020-12-17', 'EDENRED France SAS', (1500000, 'EUR'), 'fourniture de titres repas à destination des agents de la ville')]",['Titres restaurant'],[416],non,non
2,21-6040,2021-01-16,2021-12-31,['2'],groupement de commandes pour la fourniture et l 'acheminement de l 'électricité,joue,directive24,attribution,initial,USEDA,02007,Laon,,"['Electricité, gaz (fourniture)']",[443],non,non
3,21-5665,2021-01-16,2021-04-13,['3'],prestation de services en assurances - Risques Statutaires 2021-2026 (6 ans ),joue,directive24,attribution,initial,DEPARTEMENT DE L ALLIER,03016,Moulins,"[('2021-01-13', 'Sofaxis', (279300, 'EUR'), None)]",['Assurance'],[20],non,non
4,21-5795,2021-01-16,2021-04-13,['5'],Fourniture Et Livraison De Pieces Detachees D'Origine Pour L'Entretien Des Vehicules Legers Et Engins Agricoles,joue,directive24,attribution,initial,DEPARTEMENT DES HAUTES-ALPES,05008,Gap,,['Pièces détachées'],[266],non,non
5,21-5574,2021-01-16,2021-02-03,['6'],missions plongeurs pour les ports geres par la ccinca,joue,directive24,appeloffre,initial,CCI de Nice Côte d'Azur,06005,nice,,['Prestations de services'],[274],non,non
6,21-2410,2021-01-16,2021-02-14,['6'],accord-cadre pour la fourniture d'électricité et services associés - sites de la ville et du ccas de mougins de profil c5 (puissance souscrite inférieure ou égale à 36 kva) - groupement de commande,joue,directive24,attribution,initial,Mairie de Mougins,06251,Mougins,"[('2020-12-15', 'ELECTRICITE DE FRANCE', (1760000, 'EUR'), ""Accord-cadre pour la fourniture d'électricité et services associés - sites de la Ville et du CCAS de Mougins de profil C5 (puissance souscrite inférieure ou égale à 36 kVA) - Groupement de commande""), ('2020-12-15', 'TOTAL DIRECT ENERGIE', (1760000, 'EUR'), ""Accord-cadre pour la fourniture d'électricité et services associés - sites de la Ville et du CCAS de Mougins de profil C5 (puissance souscrite inférieure ou égale à 36 kVA) - Groupement de commande"")]","['Electricité, gaz (fourniture)']",[443],non,non
7,21-5916,2021-01-16,2021-02-18,['6'],20N0721 - Aménagement de voiries de la zone commerciale.,joue,directive24,appeloffre,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,,"['Arrosage', 'Eclairage public', 'Végétaux', 'Voirie', 'Voirie et réseaux divers']","[13, 102, 358, 365, 366]",non,oui
8,21-5858,2021-01-16,2021-02-13,['6'],20N0780- PROCEDURES D'URBANISME,joue,directive24,appeloffre,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,,"['Etude', 'Prestations de services']","[118, 274]",non,non
9,21-5892,2021-01-16,2021-02-23,['6'],20V1396 PLATS PREPARES A DESTINATION DES PROJETS D'ACCUEIL INDIVIDUALISES (P.A.I),joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,['Denrées alimentaires'],[88],non,oui
10,21-6007,2021-01-16,2021-02-23,['6'],20V1185 - Achat de petit matériel de sport pour salle de gymnase scolaire,joue,directive24,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,['Equipement sportif'],[113],non,non
11,21-5758,2021-01-16,2021-02-22,['6'],MISE A DISPOSITION DE PERSONNEL INTERIMAIRE POUR LES BESOINS DE LA SEMEC,joue,directive24,appeloffre,initial,S.E.M.E.C,06403,Cannes Cedex,,['Mise à disposition de personnel'],[461],non,non
12,21-6079,2021-01-16,2021-04-13,['6'],Prestations de services d'assurance,joue,directive24,attribution,initial,COMMUNE DE CANNES,06406,Cannes,,['Assurance'],[20],non,non
13,21-5952,2021-01-16,2021-02-15,['6'],"Maintenance préventive, curative et évolutive du système de régulation du trafic",joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"['Maintenance', 'Informatique (maintenance serveurs et réseaux)']","[196, 454]",non,non
14,21-5934,2021-01-16,2021-02-12,"['6', '83', '13', '75']",ETUDE ET PERENNISATION DE LA CONNAISSANCE DES PLUS HAUTES EAUX CONNUES,joue,directive24,appeloffre,initial,C.A.P.L.,06414,Cannes Cedex,,"['Etude', 'Ingénierie']","[118, 455]",non,non
15,21-5602,2021-01-16,2021-03-14,['6'],Prestations de nettoyage dans divers bâtiments communaux Lot no04 : Nettoyage du Stade nautique,joue,directive24,attribution,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,"[('2021-01-12', 'LHMS - LEONETTI HYGIENE MAINTENANCE SERVICE', (237223.68, 'EUR'), 'Prestations de nettoyage dans divers bâtiments communaux - Lot no04 : nettoyage du stade nautique')]",['Prestations de services'],[274],non,non
16,21-5575,2021-01-16,2021-02-15,['6'],"Travaux d'installation, de modification et d'extension de la signalisation directionnelle et du jalonnement piétonnier",joue,autre,rectificatif,rectificatif,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,,['Prestations de services'],[274],non,non
17,21-5909,2021-01-16,2021-03-14,['6'],Prestations de maintenance des équipements de la fontaine de la place Général de Gaulle,joue,directive24,attribution,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,"[('2021-01-12', 'SUEZ', (134865, 'EUR'), 'Prestations de maintenance des équipements de la Fontaine de la Place De Gaulle')]",['Prestations de services'],[274],non,non
18,21-5927,2021-01-16,2021-02-16,['6'],acquisition de papier standard de reprographie,joue,directive24,appeloffre,initial,Cté Agglomération Sophia Antipolis,06901,Sophia antipolis cedex,,"['Articles à usage unique', 'Papeterie']","[15, 262]",non,non
19,21-6001,2021-01-16,2021-02-10,['6'],Assistance à maitrise d'ouvrage technique juridique et financière en matière d'aménagement numérique du territoire des Alpes-Maritimes (Avis d'attribution),joue,directive24,attribution,initial,SICTIAM,06905,Sophia Antipolis Cedex,,"['Assistance technique', 'Fibre optique', ""Assistance à maîtrise d'ouvrage"", 'Assistance juridique']","[19, 133, 433, 434]",non,non
20,21-5893,2021-01-16,2021-04-02,['8'],prestations de salage et deneigement du reseau routier departemental-.,joue,directive24,attribution,initial,Conseil Départemental des Ardennes,08011,CHARLEVILLE MEZIERES cedex,,['Prestations de services'],[274],non,non
21,21-5155,2021-01-16,2021-02-25,['10'],prestations de services de télécommunications,joue,directive24,attribution,initial,Ville de Nogent-sur-Seine,10000,Nogent-sur-Seine,"[('2020-12-28', 'ORANGE', (75523, 'EUR'), ""Téléphonie fixe - abonnements, compléments d'abonnements et consommations ""), ('2020-12-22', 'BOUYGUES TELECOM', (20757, 'EUR'), ""Téléphonie mobile - abonnements, compléments d'abonnements et consommations ""), ('2020-12-28', 'ORANGE', (118178, 'EUR'), 'accès à Internet et VPN -')]",['Télécommunications'],[338],non,non
22,21-5797,2021-01-16,2021-02-15,['10'],AQUISITION DE VEHICULES ET RENOUVELLEMENT DU PARC AUTOMOBILE DE LA REGIE DU SDDEA RELANCE DU LOT N°6-.,joue,directive24,appeloffre,initial,Régie du SDDEA,10000,TROYES,,['Pièces détachées'],[266],non,non
23,21-5772,2021-01-16,2021-03-14,"['13', '83', '84']",MISSIONS D'ANALYSE DES OPERATIONS FINANCEES PAR LA METROPOLE,joue,directive24,attribution,initial,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,,['Audit'],[21],non,non
24,21-6135,2021-01-16,2021-02-02,['13'],Location avec option d'achat de structures modulaires pour le pôle nautique Piscine d'hiver - Commune de Miramas,joue,autre,rectificatif,rectificatif,Commune de Miramas,13140,Miramas,,['Bâtiments modulaires'],[27],non,non
25,21-5729,2021-01-16,2021-04-13,['13'],Evaluation Structurelle Et Des Pathologies Des Batiments Du Gpmm,joue,directive24,attribution,initial,GRAND PORT MARITIME DE MARSEILLE,13226,Marseille,"[('2021-01-13', 'Ginger Cebtp', (600000, 'EUR'), None), ('2021-01-13', 'Sites', (600000, 'EUR'), None), ('2021-01-13', 'Qcs Services', (600000, 'EUR'), None)]",['Etude'],[118],non,non
26,21-6183,2021-01-16,2021-02-23,['13'],Numéro de la consultation : 202009003 Entretien Et Travaux De Plomberie Dans Les Batiments Du Gpmm,joue,directive24,appeloffre,initial,GRAND PORT MARITIME DE MARSEILLE,13226,Marseille,,['Plomberie (travaux)'],[270],non,non
27,21-5924,2021-01-16,2021-02-22,['13'],Entretien et maintenance des installations d'ascenseurs et appareils de levage équipant certains bâtiments à usages divers de la Ville de Marseille - 2 lots.,joue,directive24,appeloffre,initial,Ville de Marseille,13233,Marseille cedex 20,,['Appareil élévateur'],[11],non,oui
28,21-5743,2021-01-16,2021-04-13,['13'],"Prestations D'Analyses Bacteriologiques Et D'Audits Restauration, Pour L Aphm",joue,directive24,attribution,initial,APHM,13292,Marseille,"[('2020-12-30', 'Lda 13', (124123.08, 'EUR'), None)]","['Analyses médicales, biologiques', 'Audit', 'Prestations de services']","[8, 21, 274]",non,non
29,21-5578,2021-01-16,2021-03-14,['13'],prestation de nettoyage des bâtiments communaux,joue,directive24,modification,modification,Mairie de Pélissanne,13330,Pelissanne,"[('2019-06-24', 'CELIA SERVICE SAS ', (248833.5, 'EUR'), 'ENTRETIEN DES BATIMENTS COMMUNAUX ')]",['Nettoyage de locaux'],[239],non,non
