a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-57008,2021-05-01,2021-05-31,['1'],"réalisation de prestations topographiques, foncières et de relevés de réseaux (rectificatif)",joue,autre,rectificatif,rectificatif,CA du Bassin de Bourg en Bresse,01008,BOURG EN BRESSE CEDEX,,"['Prestations de services', 'Réseaux divers', 'Topographie']","[274, 306, 344]",non,non
21-54625,2021-05-01,2021-06-02,"['3', '63']","fournitures de bureau, scolaires, de protection des ouvrages, d'arts plastiques et de papier impression",joue,directive24,appeloffre,initial,Vichy Communauté,03200,Vichy,,['Articles de bureau et articles scolaires'],[16],non,non
21-57785,2021-05-01,2021-05-29,['6'],Travaux de revêtements de sols souples sur l'ensemble du patrimoine de Côte d'Azur Habitat,joue,directive24,attribution,initial,Côte d'Azur Habitat,06200,Nice,"[('2021-04-22', 'EITB', (1000000, 'EUR'), 'Travaux de revêtement de sols souples - Agences Antibes, Carros, Las Planas, St Augustin et Siège'), ('2021-04-22', 'EITB', (1000000, 'EUR'), 'Travaux de revêtement de sols souples - Agences Bon Voyage, Le Forum et Menton/Ariane')]",['Revêtements de sols'],[308],non,non
21-57469,2021-05-01,2021-07-31,['6'],"Marché d'exploitation, de conduite et de maintenance des installations de chauffage et d'eau chaude sanitaire sur certaines résidences raccordées sur le réseau de chauffage urbain de la vill",joue,directive24,appeloffre,initial,Côte d'Azur Habitat,06200,Nice,,"['Chauffage (exploitation, entretien)']",[59],non,non
21-57278,2021-05-01,2021-07-04,['6'],fourniture et livraison de denrées alimentaires pour le restaurant scolaire.,joue,directive24,attribution,initial,ville de Villefranche- sur- Mer,06236,Villefranche-sur-Mer,,['Denrées alimentaires'],[88],non,non
21-57012,2021-05-01,2021-05-31,"['6', '83']",Fourniture des denrées alimentaires nécessaires au fonctionnement des cuisines de restauration scolaire et aux actions de protocole de la Commune,joue,directive24,appeloffre,initial,Mairie de Villeneuve-Loubet,06270,Villeneuve-loubet,,"['Restauration collective', 'Denrées alimentaires', ""Produits de l'agriculture"", 'Surgelés']","[66, 88, 276, 330]",non,oui
21-57773,2021-05-01,2021-06-29,['6'],"20V0698 - Prestations de traçage de stands, de fourniture, de pose et de dépose de revêtements et textiles événementiels pour les besoins de la Régie autonome Acropolis-Nikaia de la Ville de Nice",joue,directive24,attribution,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,"[('2021-02-17', 'SARL FULL ON', (487482, 'EUR'), 'Accord-cadre à bons de commandeMini : Sans miniMaxi : Sans maxiEn valeur en EUR H.T.')]",['Prestations de services'],[274],non,non
21-57647,2021-05-01,2021-05-31,['6'],Fourniture de rosiers,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,"[""Produits de l'agriculture"", 'Végétaux']","[276, 358]",non,oui
21-57820,2021-05-01,2021-06-01,['6'],Modernisation et embellissement du stade des Hespérides - Construction d'un club house,joue,directive24,appeloffre,initial,COMMUNE DE CANNES,06406,Cannes,,['Bâtiment'],[33],oui,non
21-57303,2021-05-01,2021-07-27,"['6', '83', '13']",Maîtrise d'oeuvre pour la reconstruction des pontons permanents des plages de la Croisette,joue,directive24,attribution,initial,COMMUNE DE CANNES,06406,Cannes,"[('2021-04-28', 'Ingerop Conseil Et Ingenierie', (572322, 'EUR'), None)]","['Etude', ""Maîtrise d'oeuvre"", 'Ingénierie']","[118, 197, 455]",non,non
