a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
21-33132,2021-03-17,2021-04-21,['1'],"formation "" autorisations de conduite d'engins """,mapa,cmp2006,appeloffre,initial,Département de l'Ain,01000,Bourg en bresse,,['Formation'],[410],non,non
21-35868,2021-03-17,2021-04-07,"['1', '69', '38', '42']",RENOVATION ET MISE EN CONFORMITE DE L'ACCESSIBILITE DU GYMNASE INTERCOMMUNAL ET DU CENTRE SPORTIF A ST-DIDIER-SUR-CHALARONNERELANCE D'UN LOT DECLARÉ INFRUCTUEUX: LOT N°2 - ' COUVERTURE,fns,cmp2006,appeloffre,rectificatif,CC Val de Saône Centre,01090,MONTCEAUX,,"['Couverture', 'Equipement sportif', 'Etanchéité']","[74, 113, 117]",non,non
21-35609,2021-03-17,2021-06-14,['1'],Accord-cadre pour fournitures scolaires,fns,cmp2006,attribution,initial,COMMUNE D OYONNAX,01100,OYONNAX,"[('2021-03-04', 'Papeteries Pichon', (210000, 'EUR'), None)]",['Articles de bureau et articles scolaires'],[16],non,non
21-35429,2021-03-17,2021-05-17,['1'],Fourniture de produits et de services de télécommunications,fns,cmp2006,attribution,initial,CTE DE COMMUNES DE LA PLAINE DE L AIN,01150,Chazey sur ain,"[('2021-03-15', 'Stella Telecom', (21967.42, 'EUR'), None), ('2021-03-15', 'SFR SA', (29442.4, 'EUR'), None), ('2021-03-15', 'Stella Telecom', (120395.28, 'EUR'), None)]",['Télécommunications'],[338],non,non
21-35574,2021-03-17,2021-04-21,['2'],Fourniture d'une semi remorque spécifique pour la collecte du verre en apport volontaire-.,fns,cmp2006,appeloffre,initial,SIRTOM du LAONNOIS,02000,LAON,,['Transport'],[347],non,non
21-34202,2021-03-17,2021-04-20,['3'],Travaux d'aménagement du deuxième pont sur l'Allier à Moulins et ses aménagements annexes - Lot no3 Modification de la passe à poisson rive droite au Pont Règemortes,joue,directive24,appeloffre,initial,Communauté d'agglomération de Moulins,03000,MOULINS,,['Ouvrage hydraulique'],[255],non,non
21-34975,2021-03-17,2021-04-19,['4'],mission de maîtrise d'oeuvre pour la rénovation de l'immeuble communal sis pré de foire à valensole,mapa,cmp2006,appeloffre,initial,Commune de Valensole,04210,Valensole,,"[""Maîtrise d'oeuvre""]",[197],non,non
21-35599,2021-03-17,2021-04-13,['4'],COLLEGES DE FORCALQUIER ET BANON - PROGRAMME TRAVAUX 2021,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,"['Gros oeuvre', 'Menuiserie', 'Plomberie (travaux)', 'Revêtements de sols']","[144, 222, 270, 308]",non,non
21-35413,2021-03-17,2021-04-20,['4'],Numéro de la consultation : 20SGB009 TRAVAUX D'AMENAGEMENT ET DE RENOVATION IMMEUBLE DSD,fns,cmp2006,appeloffre,initial,Département des Alpes de Hte Provence,04995,DIGNE-LES-BAINS,,"['Charpente', 'Cloison, faux plafond', 'Menuiserie', 'Peinture (travaux)', 'Voirie et réseaux divers']","[57, 63, 222, 264, 366]",non,non
21-35552,2021-03-17,2021-05-07,['6'],CHU DE NICE - Hôpital de l'Archet 2 Niveau 1 Aile C - Travaux de restructuration du service d'onco-hémato-pédiatrique - Relance du lot no5,fns,cmp2006,appeloffre,initial,C.H.U. de Nice,06003,Nice cedex 1,,['Electricité (travaux)'],[105],non,non
