,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,19-170267,2019-11-12,2019-12-06,['69'],Numéro de la consultation : 2019-AMO-0014 Construction d'une maison pour tous à Charly (69),fns,cmp2006,appeloffre,annulation,SEM DE CONSTRUCTION DU DPT DE L AIN,01000,Bourg-en-Bresse,,['Bâtiment'],[33],non,non
1,19-168748,2019-11-12,2019-12-13,"['1', '69', '75', '73', '74', '26', '7', '38', '42']",Prestations nécessaires à la conception et au développement d'application de gestion et de services associés,joue,directive24,appeloffre,initial,ACG-SYNERGIES,01000,Bourg-en-Bresse,,['Informatique (prestations de services)'],[163],non,non
2,19-170407,2019-11-12,2019-12-02,"['1', '69']","travaux sur les réseaux de distribution hta, bt, branchements, éclairage public et réseau de communication",mapa,cmp2006,appeloffre,initial,Régie Services Energie,01330,Ambérieux en dombes,,['Electricité (travaux)'],[105],non,non
3,19-169983,2019-11-12,2019-12-02,['1'],Marché de maîtrise d'oeuvre pour la réhabilitation et la mise aux normes de l'ancien Hôtel de l'Ain,fns,cmp2006,appeloffre,initial,Mairie de Saint Trivier de Courtes,01560,Saint trivier de courtes,,"[""Maîtrise d'oeuvre""]",[197],non,non
4,19-169891,2019-11-12,2020-01-12,['1'],fourniture et pose de stationnement vélos sur le territoire de la ccmp,fns,cmp2006,attribution,initial,Cté de Cnes de Miribel et du Plateau,01700,miribel,,['Mobilier urbain'],[231],non,non
5,19-169822,2019-11-12,2019-12-06,"['2', '51', '59', '60', '62', '80']",Numéro de la consultation : 19 SERV 04. Mise en place d'une signalétique urbaine et touristique,fns,cmp2006,appeloffre,initial,COMMUNE DE GUISE,02120,GUISE,,"['Panneaux', 'Signalisation', 'Signalétique']","[261, 322, 333]",non,non
6,19-170203,2019-11-12,2019-12-12,['2'],FOURNITURE DE PRESTATION DE VISITES PÉRIODIQUES ET CONTRÔLES TECHNIQUES POUR L'ENSEMBLE DES VÉHICULES DE LA RTA,fns,cmp2006,attribution,initial,R.T.A,02430,GAUCHY,,"['Contrôle technique', 'Véhicules']","[72, 359]",non,non
7,19-170124,2019-11-12,2019-12-12,['2'],MARCHE DE PRESTATIONS D'ACCOMPAGNEMENT DE LA RTA DANS LA CONDUITE DU CHANGEMENT,fns,cmp2006,attribution,initial,R.T.A,02430,GAUCHY,,['Formation'],[410],non,non
8,19-170146,2019-11-12,2019-12-12,['2'],Marché de services de délégué à la protection des données (data protection officier),fns,cmp2006,attribution,initial,R.T.A,02430,GAUCHY,,['Informatique (prestations de services)'],[163],non,non
9,19-170185,2019-11-12,2019-12-12,['2'],"ACCORD-CADRE D'ASSISTANCE, DE CONSEIL JURIDIQUE ET DE REPRÉSENTATION EN JUSTICE EN DROIT PUBLIC DES AFFAIRES (LOT N°1) ET EN DROIT SOCIAL (LOT N°2).",fns,cmp2006,attribution,initial,R.T.A,02430,GAUCHY,,['Assistance juridique'],[434],non,non
10,19-167537,2019-11-12,2019-12-02,['3'],"médiathèque valery larbaud - création d'un nouvel accès place de la victoire et réaménagement intérieur du rez-de-chaussée, reprise de la façade.",fns,cmp2006,appeloffre,initial,Ville de Vichy,03200,Vichy,,"['Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Démolition', 'Electricité (travaux)', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Ravalement', 'Revêtements de sols', 'Ventilation']","[57, 61, 63, 87, 105, 222, 264, 269, 299, 308, 360]",non,oui
11,19-170175,2019-11-12,2019-12-12,['4'],Numéro de la consultation : VILMI19T31 TRAVAUX DE CRÉATION D'UN SYSTÈME D'ARROSAGE AUTOMATIQUE POUR LE TERRAIN SPORTIF DE LA PONSONNE,mapa,cmp2006,appeloffre,initial,DURANCE LUBERON VERDON AGGLOMERATION,04100,Manosque,,['Arrosage'],[13],non,non
12,19-170344,2019-11-12,2019-12-13,['4'],Numéro de la consultation : Audit/SDI Audit patrimonial et schéma directeur immobilier psychiatrique,fns,cmp2006,appeloffre,initial,Centre Hospitalier de Digne-les-Bains,04995,DIGNE LES BAINS,,['Audit'],[21],non,non
13,19-170195,2019-11-12,2019-12-03,"['5', '4', '38']",ENTRETIEN DES ASCENSEURS ET EQUIPEMENTS MECANIQUES DES BATIMENTS COMMUNAUX - RELANCE du Lot no 1 : Escalators du Relais de la Guisane,mapa,cmp2006,appeloffre,initial,Ville de Briançon,05100,BRIANCON,,['Ascenseur'],[17],non,non
14,19-170176,2019-11-12,2019-12-02,['6'],Travaux de mise à niveau de l'installation Sprinkler de l'Université,mapa,cmp2006,appeloffre,initial,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,06100,Nice,,['Plomberie (travaux)'],[270],non,non
15,19-170190,2019-11-12,2019-12-16,['6'],"Travaux de réfection des infrastructures de câblage et de rénovation du siège de la CPAM des Alpes Maritimes, et du bâtiment situé avenue Romain Rolland à Nice",fns,cmp2006,appeloffre,initial,CPAM Nice,06100,Nice,,"['Ascenseur', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Peinture (travaux)', 'Revêtements de sols']","[17, 61, 63, 264, 308]",oui,oui
16,19-170196,2019-11-12,2019-12-05,['6'],"19N0679 - MIPIM 2020- Conception, fabrication et aménagement d'un stand",fns,cmp2006,appeloffre,initial,Métropole Nice Côte d'Azur,06364,Nice cedex 4,,['Prestations de services'],[274],non,non
17,19-169784,2019-11-12,2019-12-03,['6'],travaux d'extension du réseau de distribution d'eau potable - chemin des costes - commune de la turbie.,mapa,cmp2006,appeloffre,initial,C.A. de la Riviera Française,06500,Menton,,"['Alimentation en eau potable', ""Travaux dans l'eau""]","[6, 349]",non,non
18,19-170380,2019-11-12,2019-12-10,['6'],Transport de personnes en autocars pour des excursions et des séjours,fns,cmp2006,appeloffre,initial,CENTRE COMMUNAL D ACTION SOCIALE,06602,Antibes cedex,,['Transport'],[347],non,non
19,19-170046,2019-11-12,2019-12-09,['6'],Acquisition de livres scolairesIl s'agit de livres d'enseignement (livres des élèves et livres des maîtres) ainsi que les fichiers et cahiers d'exercices ou d'activités correspon,fns,cmp2006,appeloffre,initial,Ville d'Antibes Juan-les-Pins,06606,Antibes cedex,,['Livres'],[184],non,non
20,19-170125,2019-11-12,2019-12-04,['6'],travaux d'installation d'une centrale photovoltaïque en autoconsommation et revente de surplus sur le bâtiment du business pôle 1 de la communauté d'agglomération Sophia antipolis,fns,cmp2006,appeloffre,initial,Cté Agglomération Sophia Antipolis,06901,Sophia Antipolis cedex,,['Photovoltaïque'],[476],non,non
