;a00_cle_idweb;g04_01_date_publication;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_061_criteres_sociaux;g04_062_criteres_environnementaux;g04_09_resume_objet
0;19-142231;2019-09-21;01003;BOURG EN BRESSE CEDEX;DEPARTEMENT DE L AIN;"[""Ouvrage d'art""]";autre;joue;rectificatif;rectificatif;non;non;reconstruction du pont de fleurville (rectificatif)
1;19-142727;2019-09-21;01700;miribel;Cté de Cnes de Miribel et du Plateau;['Signalisation', 'Voirie et réseaux divers'];directive24;joue;attribution;initial;non;non;accord-cadre à bons de commande pour des travaux de voirie réseaux divers (entretien et aménagement) et de signalisation horizontale.
2;19-142799;2019-09-21;01700;miribel;Cté de Cnes de Miribel et du Plateau;"['Berge', 'Espaces verts', ""Maîtrise d'oeuvre"", 'Protection, chutes de pierres', 'Ingénierie']";directive24;joue;attribution;initial;non;non;maitrise d'oeuvre pour la restauration des berges du canal de miribel
3;19-140054;2019-09-21;02007;Laon;USEDA;['Electricité, gaz (fourniture)'];directive24;joue;attribution;initial;non;non;groupement de commande pour la fourniture et l 'acheminement d'électricité et de services associés sur le territoire de l'useda
4;19-140053;2019-09-21;02007;laon;USEDA;['Electricité, gaz (fourniture)'];directive24;joue;attribution;initial;non;non;accord cadre pour la fourniture et l 'acheminement de gaz alimentant les points de livraison du groupement
5;19-140052;2019-09-21;02007;laon;USEDA;['Ingénierie'];directive24;joue;attribution;initial;non;non;assistance à maitrise d'ouvrage technique financière et juridique relative à l 'aménagement numérique du département de l 'Aisne
6;19-142441;2019-09-21;02860;CHAMOUILLE;SYND MIXTE PLAN EAU VALLEES AILETTE BI;['Repas, traiteur'];directive24;joue;appeloffre;initial;non;non;Marché public de services pour la fourniture de repas livrés selon le procédé dit de restauration différée en liaison froide pour le restaurant satellite de CAP'AISNE, base nautique avec hé-.
7;19-142758;2019-09-21;04360;Moustiers Sainte Marie;COMMUNE MOUSTIERS SAINTE MARIE;['Mobilier urbain'];directive24;joue;appeloffre;initial;non;non;Déconstruction, enlèvement d'habitats légers de loisirs et fourniture de mobil home
8;19-142297;2019-09-21;06000;Nice;METROPOLE NICE COTE D AZUR;['Véhicules (acquisition)'];directive24;joue;appeloffre;initial;non;oui;19N0408 ACQUISITION DE VEHICULES LEGERS ET UTILITAIRES NECESSAIRES A LA METROPOLE NICE COTE D'AZUR
9;19-142825;2019-09-21;06270;Villeneuve Loubet;SDIS (06);['Prestations de services', 'Véhicules'];directive24;joue;attribution;initial;non;non;Prestations de services de carrosserie pour les véhicules du SDIS 06
10;19-142591;2019-09-21;06364;Nice cedex 4;COMMUNE DE NICE;['Travaux de viabilité'];directive24;joue;appeloffre;initial;non;oui;Travaux de purge, confortement et soutènement de talus dans le cadre des pouvoirs de police administrative enmatière de sécurité publique
11;19-140527;2019-09-21;06901;Sophia antipolis cedex;Cté Agglomération Sophia Antipolis;"[""Maîtrise d'oeuvre""]";directive24;joue;appeloffre;initial;non;non;accord cadre de maîtrise d'oeuvre sur ouvrages et réseaux d'eaux pluviales, ouvrages littoraux et ouvrages gemapi
12;19-142688;2019-09-21;08011;CHARLEVILLE MEZIERES cedex;Conseil Départemental des Ardennes;['Espaces verts', 'Maintenance'];directive24;joue;appeloffre;initial;non;non;ENTRETIEN DES ESPACES VERTS DANS LES PROPRIETES GEREES PAR LE CONSEIL DEPARTEMENTAL-.
13;19-142845;2019-09-21;09250;Luzenac;CC DE LA HAUTE ARIEGE;['Prestations de services'];directive23;joue;appeloffre;initial;non;non;Exploitation des stations de sport d'hiver de la Communauté de Communes de la Haute-Ariègeà Mijanes, Ascou-Pailhères, Goulier - Station de ski nordique domaine du Chioula et
14;19-142618;2019-09-21;10000;TROYES;DEPARTEMENT DE L AUBE;['Etude'];directive24;joue;attribution;initial;non;non;AMENAGEMENT FONCIER AGRICOLE, FORESTIER ET ENVIRONNEMENTAL D'AVANT-LES-MARCILLY.
15;19-142777;2019-09-21;10003;Troyes cedex;Centre hospitalier de Troyes;['Sécurité incendie'];directive24;joue;appeloffre;initial;oui;oui;Changement du Système de sécurité Incendie de l'Institut de Formation en Soins Infirmiers.
16;19-142766;2019-09-21;11890;Carcassonne;OFFICE PUBLIC DE L HABITAT DE L AUDE;['Bâtiment'];directive24;joue;attribution;initial;non;non;Conception Realisation Pour La Construction De 50 Logements Et 10 Lots A Bâtir 'Le Faubourg De Surzac' A Capendu
17;19-142828;2019-09-21;12027;Rodez;Centre Hospitalier Jacques Puel;['Surveillance', 'Sécurité incendie'];directive24;joue;attribution;initial;non;non;AO 2019-08 : Prestation de surveillance et de sécurité incendie pour le compte du Groupement Hospitalier de territoire du Rouergue.
18;19-142715;2019-09-21;12104;Millau cedex;COM DE COMMUNES DE MILLAU GDS CAUSSES;['Véhicules (location)'];directive24;joue;attribution;initial;non;non;Exécution de services publics de transports scolaires pour assurer à titre principal à l'intention des élèves Millau Grands Causses la desserte d'Ets scolaires de la Communauté de Communes
19;19-142884;2019-09-21;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Transport'];directive23;joue;appeloffre;initial;non;non;Délégation de Service Public pour l'exploitation du réseau de transport : Libebus, Réseau des Bus de l'Etang étendu à Carry-le-Rouet, Sausset-Les-Pins et Châteauneuf-les-Martigues
20;19-142605;2019-09-21;13207;Marseille;ETS PUB FONCIER P A C A;['Assistance technique'];autre;joue;rectificatif;rectificatif;non;non;gestion de biens immobiliers bâtis pour le compte de l'etablissement public foncier de provence alpes côte d'azur dans le cadre de deux opérations en copropriété dégradée (rectificatif)
21;19-142595;2019-09-21;13233;Marseille cedex 20;Ville de Marseille;['Transport'];directive24;joue;appeloffre;initial;non;oui;Transport en autocars des enfants scolarisés dans les écoles de Marseille vers les piscines la Martine et la Castellane
22;19-142466;2019-09-21;13256;Marseille cedex 20;CONSEIL DEPARTEMENTAL 13;['Bâtiment'];autre;joue;rectificatif;rectificatif;non;non;Travaux liés à la délocalisation du Service Prestations Urgentes et Atelier sur la Traverse Santi
23;19-116334;2019-09-21;13284;Marseille Cedex 7;Université d'Aix-Marseille;['Ascenseur', 'Maintenance', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;maintenance des ascenseurs de l'université d'aix marseille
24;19-142622;2019-09-21;13331;Marseille;DIRMM;['Conteneur, poubelles', 'Collecte sélective', 'Ordures ménagères (prestations)', 'Déchets non ménagers (prestations)'];autre;joue;rectificatif;rectificatif;non;non;stockage, évacuation et traitement des déchets issus des centre de balisage opérationnels de marseille et de sète, du service des phares et balises de méditerranée (rectificatif)
25;19-142874;2019-09-21;13481;Marseille;Région Provence Alpes Côte d'Azur;"['Prestations de services', ""Assistance à maîtrise d'ouvrage""]";directive24;joue;attribution;initial;non;non;évaluation d'impact du fonds social européen
26;19-142632;2019-09-21;13626;Aix-en-Provence cedex 1;SA CO GI VA;['Ascenseur', 'Bardage', 'Bâtiment', 'Carrelage', 'Electricité (travaux)', 'Espaces verts', 'Etanchéité', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Plomberie (travaux)', 'Serrurerie', 'Voirie et réseaux divers'];directive24;joue;appeloffre;initial;non;non;Résidence ANTARES - Construction de 62 logements collectifs situés rue Fresse de Monval / rue Pierre Ambroggiani - ZAC de la Haute Duranne à Aix en Provence.
27;19-143774;2019-09-21;13640;La roque d'anthéron;Institut Medico Educatif Le Colombier;['Charpente', 'Cloison, faux plafond', 'Menuiserie', 'Peinture (travaux)', 'Serrurerie'];cmp2006;fns;appeloffre;initial;non;non;travaux de réhabilitation, restructuration et extension de l'ime le colombier - reconsultation des lots infructueux
28;19-142716;2019-09-21;13771;Fos sur mer cedex;Ville de Fos-sur-Mer;['Location (matériels)'];directive24;joue;appeloffre;initial;non;non;ORGANISATION D'ACTIVITES SPORTIVES ET LUDIQUES POUR LES BESOINS DE LA VILLE DE FOS-SUR-MER - LOT 4 LOCATION DE JEUX VIDÉO DE TYPE ARCADE
29;19-133153;2019-09-21;14050;CAEN;Communauté Urbaine Caen la mer;['Câblage', 'Génie civil', 'Terrassement'];directive24;joue;attribution;initial;non;non;Réalisation du Boulevard Urbain Nord entre la RD 7 à Biéville-Beuville et la RD 60 à Hérouville-Saint-Clair - relance lots no 1 et 2
30;19-133245;2019-09-21;14050;CAEN;Communauté Urbaine Caen la mer;['Câblage', 'Génie civil', 'Terrassement'];directive24;joue;attribution;initial;non;non;Réalisation du Boulevard Urbain Nord entre la RD 7 à Biéville-Beuville et la RD 60 à Hérouville-Saint-Clair
31;19-142857;2019-09-21;17086;La Rochelle;VILLE LA ROCHELLE;['Maintenance', 'Prestations de services'];autre;joue;rectificatif;rectificatif;non;non;Controles Reglementaires Des Installations Techniques Et Batiments De La Ville De La Rochelle
32;19-142754;2019-09-21;17700;Surgeres;SYNDICAT MIXTE CYCLAD;['Ordures ménagères (prestations)'];directive24;joue;appeloffre;initial;non;oui;Traitement De L'Excédent Des Déchets Ménagers
33;19-142455;2019-09-21;20179;Ajaccio cedex 1;CCIACS;['Ingénierie'];directive25;joue;attribution;initial;non;non;auscultations des chaussées des aéroports de corse du sud
34;19-142426;2019-09-21;20179;Ajaccio cedex 1;CCIACS;['Voyage'];directive24;joue;attribution;initial;non;non;prestation de service d'agence de voyage pour la fourniture des titres de transports, de solutions hébergements et prestations associées pour les besois de la cciacs
35;19-142371;2019-09-21;20179;Ajaccio cedex 1;CCIACS;['Nettoyage de locaux'];directive24;joue;appeloffre;initial;non;non;prestations de nettoyage des installations de l'aéroport de figari sud corse
36;19-143701;2019-09-21;21070;Dijon;DIR PJJ GRAND CENTRE;['Audit', 'Etude'];cmp2006;fns;appeloffre;initial;non;non;Evaluation des activités et de la qualité des prestations des établissements et services relevant de la protection judiciaire de la jeunesse - application du code de l'action sociale et des familles
37;19-142227;2019-09-21;21130;Auxonne;MAIRIE D'AUXONNE;['Assurance'];autre;joue;rectificatif;rectificatif;non;non;souscription aux contrats d'assurances de la commune d'auxonne (rectificatif)
38;19-142583;2019-09-21;25034;BESANCON;Ville de Besançon;['Publicité, Communication'];autre;joue;rectificatif;rectificatif;non;non;Régie publicitaire des magazines de la Ville de Besançon et de Grand Besançon Métropole (rectificatif)
