,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-122162,2020-10-06,2020-10-16,"['1', '69', '75']",Accord cadre multi-attributaires relatif à des prestations d'accompagnement dans le cadre de recrutements,fns,cmp2006,appeloffre,initial,ACG-SYNERGIES,01000,Bourg-en-Bresse,,['Prestations de services'],[274],non,non
1,20-121818,2020-10-06,2020-11-09,['2'],Prestations relatives au transport de déchets recyclables entre l'EcoCentre à Grisolles et les centres de tri de Villeneuve Saint Germain et d'Urvillers-.,fns,cmp2006,appeloffre,initial,Valor'Aisne,02000,LAON,,['Transport'],[347],non,non
2,20-122043,2020-10-06,2020-10-23,['2'],20003FVD FOURNITURE DE CADEAUX A DESTINATION DES SENIORS,fns,cmp2006,appeloffre,initial,COMMUNE DE SAINT QUENTIN,02100,SAINT-QUENTIN,,['Colis'],[65],non,non
3,20-121933,2020-10-06,2020-11-16,['3'],Travaux sur réseaux d'assainissement non visitables et ouvrages annexes,fns,cmp2006,appeloffre,initial,Communauté d'agglomération de Moulins,03000,MOULINS,,['Assainissement'],[18],non,non
4,20-122033,2020-10-06,2020-11-02,['3'],Travaux de mise en place pour la télégestion et le monitoring sur les collèges et bâtiments du département de l'Allier (03),fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L ALLIER,03016,MOULINS,,"['Electricité (travaux)', 'Télégestion']","[105, 352]",non,non
5,20-121804,2020-10-06,2020-11-02,['4'],Numéro de la consultation : VILMF20F06 ACQUISITION DE PRODUITS ET DE MATERIELS POUR LES SPORTS D'EAU,fns,cmp2006,appeloffre,initial,COMMUNE DE MANOSQUE,04100,Manosque,,['Equipement de piscine'],[120],non,non
6,20-121639,2020-10-06,2021-01-03,['6'],"Numéro de la consultation : 20200331 Location, pose et maintenance des fontaines à eau sur le réseau pour la Ville de Cannes comprenant des fontaines avec filtre à eau et en col de cygne",fns,cmp2006,attribution,initial,COMMUNE DE CANNES,06406,CANNES,"[('2020-09-28', 'SEQUOIA PART SA', (140000, 'EUR'), None)]",['Location (matériels)'],[185],non,non
7,20-121659,2020-10-06,2020-10-27,['6'],20V0706 - Acquisition Récompense Coupes et trophées 2020.,fns,cmp2006,appeloffre,initial,COMMUNE DE NICE,06593,Nice cedex 4,,['Equipement sportif'],[113],non,oui
8,20-122097,2020-10-06,2020-12-31,"['7', '26', '30', '84']",Marché de prestations de service d'assurances pour les besoins du SICTOBA,fns,cmp2006,appeloffre,initial,SICTOBA,07460,Beaulieu,,['Assurance'],[20],non,non
9,20-122268,2020-10-06,2020-11-04,['9'],Numéro de la consultation : 200602 Réalisation de la sous-traitance d'analyses de biologie médicale pour le GCS,fns,cmp2006,appeloffre,initial,CTRE HOSPITALIER INTERCOM VAL D ARIEGE,09017,FOIX CEDEX,,"['Analyses médicales, biologiques']",[8],non,non
