a00_cle_idweb,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g04_09_resume_objet,g04_061_criteres_sociaux,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_062_criteres_environnementaux,g04_01_date_publication
19-140886,02300,CHAUNY,CA Chauny-Tergnier-La Fère,"['Etude', 'Prestations de services']",Programme Local de l'Habitat - mise en oeuvre,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141223,02830,SAINT-MICHEL,Commune de Saint Michel,"['Matériel agricole, horticole']",Acquisition d'une tondeuse auto portée,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141386,03500,Saint-Pourçain-sur-Sioule,CC Saint Pourcain Sioule Limagne,['Voies ferrées'],Réalisation de prestations d'entretien et de maintenance courante des voies ferrées de la Communauté de communes Saint-Pourçain Sioule Limagne,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141035,04100,Manosque,COMMUNE DE MANOSQUE,"['Etude', 'Sécurité incendie']",Numéro de la consultation : VILMF19S29 ÉLABORATION D'UN SCHÉMA COMMUNAL DE DÉFENSE EXTÉRIEURE CONTRE L'INCENDIE,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-140872,05007,GAP,Communauté d'agglomérat. du gapençais,['Voirie'],Aménagement du Pôle d'Echange Multimodal et Quartier de la Gare. Lot no4: Eclairage public et feux de signalisation,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140860,06000,Nice,SYNDICAT DEP DE L ELECT ET DU GAZ,['Titres restaurant'],achat de titres-restaurant pour les agents territoriaux du SDEG 06,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141076,06007,Nice cedex 1,REGIE REGIONALE DES TRANSPORTS DE PACA,['Transport'],Prestations de transport de colis et de marchandises palettisées ou sur chariots roulants ferroviaires pour la RRT PACA.,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141056,06206,Nice Cedex 3,Société Aéroports de la Côte d'Azur,['Prestations de services'],sélection de prestataires pour l'assistance en escale (services des catégories 3 et 5) sur l'aéroport nice cote d'azur,non,cmp2006,mapa,appeloffre,rectificatif,non,2019-09-17
19-141075,06273,Villeneuve Loubet Cedex,SDIS (06),"['Matériel de sécurité', ""Matériel de secours et d'incendie""]",Fourniture de matériels de reconnaissance avec leurs accessoires et pièces détachées,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140229,06364,Nice cedex 4,Métropole Nice Côte d'Azur,['Prestations de services'],19V1311 NETTOYAGE TEXTILE,non,directive24,joue,appeloffre,initial,oui,2019-09-17
19-140645,06370,Mouans-Sartoux,Ville de Mouans-Sartoux,"['Alimentation en eau potable', 'Assainissement', 'Délégation de service public']","concession de service sous forme de délégation de service public en vue de la gestion des services publics de l'eau potable, de l'assainissement collectif et non collectif ville de mouans-sartoux",non,dsp,dsp,attribution,initial,oui,2019-09-17
19-141175,06606,Antibes cedex,Ville d'Antibes Juan-les-Pins,['Prestations de services'],La présente consultation concerne la mission de maîtrise d'oeuvre pour la création d'un système d'affichage vidéo dans la salle Azur Aréna à Antibes.,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141027,10700,Arcis-sur-Aube,EHPAD RESIDENCE PIERRE D ARCIS,['Denrées alimentaires'],Marché à bons de commande multi-attributaires sans minimum et maximum d'achat pour l'achat de denrées alimentaires,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141366,11200,Lézignan-Corbières,Commune de Lézignan-Corbières,"['Impression', 'Informatique (matériel)']",location et maintenance du parc de photocopieurs des services et des écoles de la commune,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141529,11801,Carcassonne,DRSID Lyon,['Revêtements de sols'],L'objet de la consultation concernent l'exécution des travaux pour le remplacement du plancher technique local R.,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141313,11801,Carcassonne,DRSID Lyon,['Maintenance'],"Les prestation concerne l'éxécution de la maintenance préventive et corrective, de niveau 02 à 04 ( au sens de la norme AFNOR FD X 60-000) des nettoyeurs haute pression pour les sites suivant : l",non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141337,13014,Marseille,Ville de Marseille,['Impression'],Conception et impression de supports de communication pour la Mairie des 13ème et 14ème arrondissements de Marseille (2 lots),non,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141352,13100,Aix en provence,MINISTERE DE LA CULTURE,['Monuments historiques'],"Hautes Alpes Gap Cathédrale Saint-Arnoux Restauration des couvertures (bas-côté nord zone ouest et zone est, chapelle nord, couvertures de part et d'autre du clocher),",non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141089,13256,Marseille cedex 20,CONSEIL DEPARTEMENTAL 13,['Equipement sportif'],"Travaux d'aménagement d'une aire de jeux, d'une aire de fitness et d'un parcours santé à La Denise",non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141121,13256,Marseille,CONSEIL DEPARTEMENTAL 13,['Sanitaire'],Prestations d'analyses de contaminants chimiques dans les coquillages pour le Laboratoire Départemental d'Analyses des Bouches-du-Rhône,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141544,13390,AURIOL,Commune d'Auriol,"['Logiciel', 'Informatique (assistance)', 'Informatique (maintenance serveurs et réseaux)']",Acquisition et maintenance d'un logiciel de Ressources Humaines pour la Commune d'Auriol,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-140104,13591,Aix-en-provence cedex 3,Cour d'Appel d'Aix en Provence,['Restauration collective'],DÉLÉGATION DE SERVICE PUBLIC RELATIVE À LA RESTAURATION COLLECTIVE AU PROFIT DE LA COUR D'APPEL D'AIX-EN-PROVENCE,non,directive23,joue,attribution,initial,non,2019-09-17
19-141471,13637,ARLES,Communauté d'Agglomération ACCM,"[""Maîtrise d'oeuvre"", ""Mission d'ordonnancement, pilotage, coordination (OPC)"", 'Ingénierie']",Mission de maîtrise d'oeuvre concernant la réalisation de l'aire d'accueil des gens du voyage (20 à 25 places caravanes) sur la commune de Saint-Martin-de-Crau,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140082,14035,CAEN CEDEX,DEPARTEMENT DU CALVADOS,['Voirie'],2018ASP219 - Renforcements 2019 sur l'Agence Routière Départementale de Saint Pierre sur Dives,non,directive24,joue,attribution,initial,non,2019-09-17
19-141004,14280,Saint Contest,PARTELIOS HABITAT,['Maintenance'],"Marché d'entretien et de garantie totale des VMC, ballons d'eau chaude sanitaire, robinetterie et détecteurs avertisseurs autonomes de fumée",non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141359,14602,HONFLEUR Cédex,Mairie de Honfleur,['Assurance'],M18012 ASSURANCE STATUTAIRE,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141224,15015,AURILLAC CEDEX,Conseil départemental du Cantal,['Electricité (travaux)'],REMPLACEMENT DES CENTRALES INCENDIE DANS TROIS COLLEGES PUBLICS DU DEPARTEMENT DU CANTAL,non,cmp2006,fns,attribution,initial,non,2019-09-17
19-141547,16500,CONFOLENS,COMMUNE DE CONFOLENS,"[""Maîtrise d'oeuvre""]",Maîtrise d'oeuvre pour La rénovation des halles de Confolens,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141149,17076,La rochelle cedex 9,Semdas,['Bâtiment'],Travaux de réhabilitation et d'extension du bâtiment de la mairie d'Angoulins (17690),non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141480,17304,ROCHEFORT,CA ROCHEFORT OCEAN,"['Charpente', 'Espaces verts', 'Gros oeuvre', 'Mobilier urbain']",REQUALIFICATION DE LA ZONE DE SOLIDARITE DE PORT DES BARQUES,non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-17
19-141081,18020,BOURGES cedex,C.H. Jacques Coeur de Bourges,['Equipements spécialisés'],FOURNITURE DE CONSOLE(S) DE CONTREPULSION INTRA-AORTIQUE POUR UN SERVICE DE CARDIOLOGIE,oui,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141122,21075,Dijon,DIJON METROPOLE,['Espaces verts'],"Fourniture, plantation et entretien de jeunes plants forestiers dans le cadre de l'opération 'Foret des Enfants'",non,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141501,21208,Beaune cedex,BEAUNE COTE SUD COM BEAUNE CHAGNY NOLA,['Mobilier urbain'],Fourniture et pose de mobilier urbain avec conception pour la Communauté d'Agglomération Beaune Côte et Sud,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
