,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-127537,2020-10-16,2020-11-18,['1'],"Rénovation, valorisation touristique et culturelle de la cuivrerie de Cerdon - Lots no9, 10, 11 et 14",fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,"['Bâtiment', 'Monuments historiques']","[33, 236]",non,non
1,20-127195,2020-10-16,2021-11-17,['1'],Fourniture de réactifs de laboratoire pour microbiologie alimentaire - Fourniture de milieux de culture prêts à l'emploi,mapa,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01012,Bourg en bresse,,"['Produits chimiques', 'Réactifs']","[275, 301]",non,non
2,20-127153,2020-10-16,2021-11-17,['1'],acquisition de produits chimiques et de petits matériels plastiques pour chimie et microbiologie alimentaire,mapa,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01012,Bourg en bresse,,"['Laboratoire (matériel)', 'Produits chimiques']","[188, 275]",non,non
3,20-125880,2020-10-16,2020-11-16,['1'],prestations de nettoyage des bâtiments communaux de montréal-la-cluse (rectificatif),joue,autre,rectificatif,rectificatif,Commune de Montreal la Cluse,01460,Montréal-la-Cluse,,['Nettoyage de locaux'],[239],non,non
4,20-127774,2020-10-16,2020-11-18,['1'],La présente consultation concerne un marché de travaux d'entretien et de réfection de la voirie des réseaux associés et la mise en ouvre de signalisation horizontale avec entretien et réfection d,fns,cmp2006,appeloffre,initial,MAIRIE,01630,Saint-genis-pouilly,,['Voirie et réseaux divers'],[366],non,oui
5,20-125960,2020-10-16,2020-11-16,['1'],Prestation de services d'assurance des risques statutaires pour les collectivités et etablissements publics du departement de l'ain,joue,directive24,attribution,initial,CTRE DEP GEST FONCTION PUB TERRITORIAL,01960,PERONNAS,,['Assurance'],[20],non,non
6,20-126037,2020-10-16,2020-12-23,['2'],"Fourniture, livraison et pose de panneaux pour la signalisation verticale des routes départementales et autres voies de gestion départementale",joue,directive24,attribution,initial,DEPARTEMENT DE L'AISNE,02000,Laon,"[('2020-08-07', 'SIGNATURE - BERROUETTA', (1495138.0, 'EUR'), 'Lot unique')]",['Métallurgie'],[224],non,non
7,20-125950,2020-10-16,2020-11-16,['2'],fourniture et livraison de sel destiné au déneigement et au déverglaçage des routes départementales de l'aisne b20053-. (rectificatif),joue,autre,rectificatif,rectificatif,DEPARTEMENT DE L'AISNE,02000,Laon,,['Minéraux divers'],[228],non,non
8,20-127079,2020-10-16,2020-11-17,['2'],communauté de communes de la thiérache du centre - enlèvement et transport des déchets banals issus des déchetteries,fns,cmp2006,appeloffre,initial,Communauté de Communes de la Thiérache,02260,La Capelle,,['Déchets non ménagers (prestations)'],[404],non,non
9,20-125663,2020-10-16,2020-11-27,['3'],Il s'agit d'un marché alloti comprenant 3 lots :LOT 1 : Assurance du Patrimoine d'EVOLEALOT 2 : Responsabilité Civile ProfessionnelleLOT 3 : Responsabilité Civile des Mandataires Soc,joue,directive24,attribution,initial,EVOLEA,03000,MOULINS,"[('2020-09-16', 'AXA', (465746, 'EUR'), 'PATRIMOINE'), ('2020-09-21', 'Pilliot,', (786470, 'EUR'), 'RESPONSABILITE CIVILE PROFESSIONNELLE'), ('2020-09-24', 'SARRE ET MOZELLE', (1201, 'EUR'), 'RESPONSABILITE CIVILE MANDATAIRES SOCIAUX')]",['Assurance'],[20],non,non
10,20-127314,2020-10-16,2020-11-13,['3'],"Mission d'assistance comptable, financière et de gestion 2020-2023",fns,cmp2006,appeloffre,initial,Ville de Moulins,03016,Moulins cedex,,"['Audit', 'Prestations de services', 'Expertise comptable']","[21, 274, 446]",non,non
11,20-127473,2020-10-16,2020-11-09,['3'],ENTRETIEN DES SANITAIRES PUBLICS - PROPRETE,fns,cmp2006,appeloffre,initial,Ville de Montluçon,03106,Montlucon,,['Sanitaire'],[319],non,non
12,20-127284,2020-10-16,2020-11-09,['3'],Zone d'activité du Malcourlet - Aménagement de la zone 'B' - Commune de GANNAT,fns,cmp2006,appeloffre,initial,CC Saint Pourcain Sioule Limagne,03500,Saint-Pourçain-sur-Sioule,,"['Assainissement', 'Voirie']","[18, 365]",non,non
