a00_cle_idweb,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,g04_01_date_publication,g04_02_date_limite_reponse,g04_03_date_fin_diffusion,g04_04_classes,g04_07_dep_publication,g04_08_dep_prestation,g04_09_resume_objet,d01_01_denomination,d01_02_code_ident_national,d01_03_correspondant,d01_04_contact,d01_05_adjudicateur_nuts,d01_06_adresse,d01_07_cp,d01_08_ville,d01_09_pays,d01_10_tel,d01_11_poste,d01_12_fax,d01_13_mel,d01_14_url,d01_15_url_profil_acheteur,d01_16_url_information,d01_17_url_participation,d01_18_url_document,d01_19_url_outil_logiciel,d01_20_agit_pour_autre_compte_oui,d01_21_agit_pour_autre_compte_non,d01_22_loi_compte_autre_pays,d01_23_organisme_acheteur_central_oui,d01_24_organisme_acheteur_central_non,d05_03_type_marche,g04_051_descripteurs_codes,g04_052_descripteurs_libelles,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-111048,mapa,cmp2006,appeloffre,initial,2019-09-03,1569495600000.0,2019-09-26,,['1'],,prestations négociations foncières pour 9 propriétés opération 'rd 1005 création d'une ligne de bus à haut niveau de service (bhns) entre les communes de gex et Ferney-Voltaire',DEPARTEMENT DE L AIN,,MME GERBE NICOLINO Françoise,,,Service des affaires foncières et immobilièresBP 1011445 avenue Alsace Lorraine,01003,Bourg en bresse cedex,,04-74-47-49-91,,,francoise.gerbe@ain.fr,http://marchespublics.ain.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[274],['Prestations de services'],non,non
19-132510,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-14,,['1'],,Fourniture et livraison de véhicules utilitaires neufs (VU) pour le Département de l'Ain,DEPARTEMENT DE L AIN,,,,FRK21,"45, Avenue Alsace Lorraine BP 10114",01003,BOURG EN BRESSE CEDEX,,(+33) 4-74-45-93-60,,(+33) 4-74-45-93-99,alain.guillet@ain.fr,http://www.ain.fr/marchespublics.ain.fr,https://marchespublics.ain.fr,https://marchespublics.ain.fr,https://marchespublics.ain.fr,https://marchespublics.ain.fr,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[475],['Véhicules (acquisition)'],non,non
19-133080,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-20,,['2'],,Travaux d'entretien à l'ancien Tribunal de VERVINS-. (rectificatif),DEPARTEMENT DE L'AISNE,, Paul DENOEL,,,Rue Paul Doumer,02000,Laon,,,,,,,https://www.xmarches.fr/entreprise/detailConsultation.php?key=10855,,,,,,,,,,,[345],"[""Tous corps d'état""]",non,non
19-132478,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-09,,['2'],,"Fourniture, mise en service, installation et maintenance des services de télécommunication pour la ville de Soissons (02)",Mairie de Soissons,21020695900012,,,FR,Place de l'Hotel de Ville,02200,SOISSONS,,(+33) 3-23-59-90-00,,,commandepublique@ville-soissons.fr,http://www.ville-soissons.fr/,https://www.marchespublics.pro:443/1145,http://www.marchespublics.pro,http://www.marchespublics.pro,http://www.marchespublics.pro,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}","[171, 338, 339]","['Site internet', 'Télécommunications', 'Matériel de téléphonie']",non,non
19-133328,fns,cmp2006,appeloffre,initial,2019-09-03,1569861000000.0,2019-09-30,,['2'],,Reconversion du bâtiment 5 rue Jean Monnet à Chauny - lot 02 couverture bardage,CA Chauny-Tergnier-La Fère,, BOUCOUR Jean-Yves,,,"57, Bd Gambetta -BP 20086",02300,CHAUNY,,03-23-39-11-90,,03-23-39-11-90,direction@ctlf.fr,http://cactlf.e-marchespublics.com,http://cactlf.e-marchespublics.com,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[74],['Couverture'],non,non
19-133472,fns,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-30,,['2'],,Marché de maîtrise d'oeuvre relatif à l'interconnexion en eau potable entre Château-Thierry et Fère en Tardenois sous charte qualité,USESA,, Monsieur le Président,,,4 bis avenue Gustave Eiffel,02400,CHATEAU THIERRY,,03-23-71-02-80,,,eric.marginier@usesa.fr,http://usesa.e-marchespublics.com,http://usesa.e-marchespublics.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '12'}","[6, 118]","['Alimentation en eau potable', 'Etude']",non,non
19-133120,fns,cmp2006,attribution,initial,2019-09-03,,2019-11-05,,['3'],,"Fourniture et pose de bornes de recharge pour véhicules électriques et hybrides rechargeables de type : rapides AC/DC (lot 1), rapides DC (lot 2), normales AC (lot 3).",SDE 03,,"Mme GACHES Amandine, Chargée de missions IRVE",,,11 Les Sapins CS 70026,03401,Yzeure cedex,,04-70-46-87-30,,,sde03@sde03.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[203],['Matériel électrique'],non,non
19-133104,fns,cmp2006,appeloffre,initial,2019-09-03,1570532400000.0,2019-10-08,,"['5', '4']",,"Vérification et entretien des systèmes de sécurité incendie du Centre Hospitalier Intercommunal des Alpes du Sud (CHICAS), sites de GAP et de SISTERON - MSSI19",CTRE HOSPITALIER INTERCOM ALPES DU SUD,," Centre Hospitalier Intercommunal des Alpes du Sud Cellule Marchés, CHI DES ALPES DU SUD",,,1 PLace Muret BP 101,05007,Gap cedex,,04-92-40-28-04,,04-92-40-61-68,cellulemarches@chicas-gap.fr,http://chicas-gap.fr,http://Plateforme.achat-hopital.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '1'}",[332],['Sécurité incendie'],non,non
19-132562,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-03,,"['5', '4']",,"Fourniture de réactifs et consommables d'immunologie manuelle et éventuellement automatisée, pour les laboratoires de biologie médicale du CHICAS et du Centre Hospitalier des Escartons à BRIANCON",CTRE HOSPITALIER INTERCOM ALPES DU SUD,,,,FRL02,1 PLace Muret BP 101,05007,Gap cedex,,(+33) 4-92-40-28-04,,(+33) 4-92-40-61-68,cellulemarches@chicas-gap.fr,http://www.chicas-gap.fr,http://Plateforme.achat-hopital.com,,https://plateforme.achat-hopital.com/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=4248&orgAcronyme=05HGA01,http://Plateforme.achat-hopital.com,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}","[1, 181]","['Abris', 'Laboratoire (fourniture)']",non,non
19-133503,mapa,cmp2006,appeloffre,initial,2019-09-03,1568631600000.0,2019-09-16,,['5'],,Réalisation d'études techniques pour l'amélioration de l'autonomie énergétique des refuges des Hautes-Alpes au moyen d'énergies renouvelables.,SYME05,, RAIZIN STEPHANE,,,4 rue du Paradisier,05160,SAVINES LE LAC,,04-92-44-39-00,,04-92-20-00-56,marches@syme05.fr,http://syme05.sudest-marchespublics.com,http://syme05.sudest-marchespublics.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-133117,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-10-02,,['6'],,Travaux de Réfection des toitures terrasses Bloc EST et bloc OUEST du bâtiment Centre hospitalier intercommunal de la Vésubie,C.H.U. de Nice,,"M. GUEPRATTE Charles, DIRECTEUR GENERAL",,,4 Avenue Reine Victoria CS 91179,06003,Nice cédex 1,,04-92-03-46-84,,04-92-03-44-68,cell-cent-march@chu-nice.fr,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,,,,,,,,,,[117],['Etanchéité'],non,non
19-133383,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-10-14,,['6'],,Travaux de déplacement des installations techniques et des réseaux du site du petit Paris,C.H.U. de Nice,,"M. GUEPRATTE Charles, DIRECTEUR GENERAL",,,4 Avenue Reine Victoria CS 91179,06003,Nice cédex 1,,04-92-03-46-84,,04-92-03-44-68,cell-cent-march@chu-nice.fr,https://www.chu-nice.fr,https://www.marches-publics.gouv.fr,,,,,,,,,,,"[62, 105, 270, 366]","['Climatisation', 'Electricité (travaux)', 'Plomberie (travaux)', 'Voirie et réseaux divers']",non,non
19-133588,fns,cmp2006,appeloffre,initial,2019-09-03,1569358800000.0,2019-09-24,,['6'],,"MAPA 2019-083 Achat, livraison et installation de matériels radios et mise en service du réseau",COMMUNE LE CANNET,, Service des Marchés,,,31 BOULEVARD SADI CARNOT,06110,LE CANNET,,,,,marches@mairie-le-cannet.fr,http://www.lecannet.fr,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[204],['Matériel électronique'],non,non
19-133539,mapa,cmp2006,appeloffre,initial,2019-09-03,1568754000000.0,2019-09-17,,['6'],,MAPA 2019-092 FOURNITURE DE BARRIERES MOBILES ANTI INTRUSION,COMMUNE LE CANNET,, Service des Marchés,,,31 BOULEVARD SADI CARNOT,06110,LE CANNET,,,,,marches@mairie-le-cannet.fr,http://www.lecannet.fr,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[209],['Matériel de sécurité'],non,non
19-133118,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-10-03,,['6'],,TRAVAUX D'AMENAGEMENT DES LOCAUX DE ST LAURENT DU VAR - TRAVAUX D'ELECTRICITE? CVC ET PLOMBERIE,REGIE EAU D'AZUR,, Fanny BORREIL,,,Crystal Palace369 / 371 Promenade des Anglais - CS 53135,06203,Nice Cedex 3,,(+33) 4-89-98-14-81,,(+33) 4-89-98-14-82,marchespublics@eaudazur.com,http://eaudazur.com,,,,,,,,,,,,"[61, 62, 105, 270, 360]","['Chauffage (travaux)', 'Climatisation', 'Electricité (travaux)', 'Plomberie (travaux)', 'Ventilation']",non,non
19-132734,mapa,cmp2006,appeloffre,initial,2019-09-03,1571137200000.0,2019-10-15,,['6'],,Service de santé au travail pour les salariés de aca,Société Aéroports de la Côte d'Azur,,Département Achats,,,Rue Costes et Bellonte BP 3331,06206,Nice Cedex 3,,,,,,https://achats.nice.aeroport.fr/,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[274],['Prestations de services'],oui,oui
19-133516,mapa,cmp2006,appeloffre,initial,2019-09-03,1569855600000.0,2019-09-30,,['6'],,travaux de désamiantage de l'hôtel de ville,Ville de Tende,,Le Directeur du Service Marchés,,,1 place du général de Gaulle,06430,Tende,,04-93-04-35-00,,04-93-04-35-02,franca.isabelle@fr.oleane.com,,http://www.marches-securises.fr,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[479],['Amiante (désamiantage)'],non,non
